,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9,Exchange
0,ATVI,"Activision Blizzard, Inc",66.73,50454516632.15,,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,,NASDAQ
1,ADBE,Adobe Systems Incorporated,177.51,87502314415.14,,1986.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,,NASDAQ
2,ALXN,"Alexion Pharmaceuticals, Inc.",115.76,25861900389.44,,1996.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,,NASDAQ
3,ALGN,"Align Technology, Inc.",233.55,18725502769.2,,2001.0,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,,NASDAQ
4,ALNY,"Alnylam Pharmaceuticals, Inc.",125.59,12454862279.08,,2004.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,,NASDAQ
5,GOOG,Alphabet Inc.,1064.19,739401458505.09,,2004.0,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog,,NASDAQ
6,AABA,Altaba Inc.,70.29,61389744399.72,,,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba,,NASDAQ
7,AMZN,"Amazon.com, Inc.",1179.14,568194756429.5,,1997.0,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,,NASDAQ
8,AMOV,"America Movil, S.A.B. de C.V.",17.09,56445715745.69,,,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,,NASDAQ
9,AAL,"American Airlines Group, Inc.",51.06,24432162667.38,,,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,,NASDAQ
10,AMGN,Amgen Inc.,177.04,128515208198.0,,1983.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,,NASDAQ
11,ADI,"Analog Devices, Inc.",86.69,31957036461.72,,,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,,NASDAQ
12,ANSS,"ANSYS, Inc.",148.03,12561895818.19,,1996.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,,NASDAQ
13,AAPL,Apple Inc.,173.97,893216258640.0,,1980.0,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl,,NASDAQ
14,AMAT,"Applied Materials, Inc.",52.54,56033235649.1,,1972.0,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat,,NASDAQ
15,ACGL,Arch Capital Group Ltd.,92.01,12041718948.24,,,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl,,NASDAQ
16,ASML,ASML Holding N.V.,173.8,12318362465.2,70876654.0,1995.0,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml,,NASDAQ
17,TEAM,Atlassian Corporation Plc,47.03,10821797845.29,,2015.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/team,,NASDAQ
18,ADSK,"Autodesk, Inc.",108.4,23876923504.8,,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk,,NASDAQ
19,ADP,"Automatic Data Processing, Inc.",118.19,52416051188.7,,,Technology,EDP Services,http://www.nasdaq.com/symbol/adp,,NASDAQ
20,BIDU,"Baidu, Inc.",233.48,64328423608.8,275520060.0,2005.0,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu,,NASDAQ
21,BIIB,Biogen Inc.,327.94,69351746391.84,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/biib,,NASDAQ
22,BMRN,BioMarin Pharmaceutical Inc.,93.02,16336291186.54,,1999.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmrn,,NASDAQ
23,AVGO,Broadcom Limited,265.73,108412353738.42,,2009.0,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo,,NASDAQ
24,CHRW,"C.H. Robinson Worldwide, Inc.",86.21,12018130740.58,,1997.0,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/chrw,,NASDAQ
25,CA,CA Inc.,33.71,14109097811.74,,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca,,NASDAQ
26,CDNS,"Cadence Design Systems, Inc.",43.68,12333484800.0,,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdns,,NASDAQ
27,CBOE,"Cboe Global Markets, Inc.",126.37,14337665218.88,,2010.0,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cboe,,NASDAQ
28,CDW,CDW Corporation,68.45,10477150439.7,,2013.0,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cdw,,NASDAQ
29,CELG,Celgene Corporation,109.41,86140345420.71,,1987.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg,,NASDAQ
30,CERN,Cerner Corporation,69.42,23076242080.32,,1986.0,Technology,EDP Services,http://www.nasdaq.com/symbol/cern,,NASDAQ
31,CHTR,"Charter Communications, Inc.",322.31,80129629304.85,,,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr,,NASDAQ
32,CHKP,Check Point Software Technologies Ltd.,107.22,17795861372.88,,1996.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp,,NASDAQ
33,CINF,Cincinnati Financial Corporation,74.28,12187251447.0,,,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf,,NASDAQ
34,CTAS,Cintas Corporation,158.0,16796092830.0,,1983.0,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas,,NASDAQ
35,CSCO,"Cisco Systems, Inc.",38.19,188796928915.56,,1990.0,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco,,NASDAQ
36,CTXS,"Citrix Systems, Inc.",87.53,13188620212.84,,1995.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs,,NASDAQ
37,CME,CME Group Inc.,151.07,51408289510.72,,2002.0,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme,,NASDAQ
38,CGNX,Cognex Corporation,60.97,10558369882.06,,1989.0,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cgnx,,NASDAQ
39,CTSH,Cognizant Technology Solutions Corporation,72.08,42501657442.88,,1998.0,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh,,NASDAQ
40,CMCSA,Comcast Corporation,39.71,185595479369.3,,,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa,,NASDAQ
41,CPRT,"Copart, Inc.",44.11,10202818249.03,,1994.0,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt,,NASDAQ
42,CSGP,"CoStar Group, Inc.",294.86,10657859181.4,,1998.0,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp,,NASDAQ
43,COST,Costco Wholesale Corporation,192.73,84221006764.38,,,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost,,NASDAQ
44,CSX,CSX Corporation,52.93,47304762783.19,,,Transportation,Railroads,http://www.nasdaq.com/symbol/csx,,NASDAQ
45,CTRP,"Ctrip.com International, Ltd.",44.01,20160084956.4,458079640.0,2003.0,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctrp,,NASDAQ
46,XRAY,DENTSPLY SIRONA Inc.,66.48,15269319657.36,,1987.0,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray,,NASDAQ
47,FANG,"Diamondback Energy, Inc.",109.52,10751281491.28,,2012.0,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fang,,NASDAQ
48,DISH,DISH Network Corporation,48.57,22650979257.99,,1995.0,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dish,,NASDAQ
49,DLTR,"Dollar Tree, Inc.",106.29,25200988685.64,,1995.0,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dltr,,NASDAQ
50,ETFC,E*TRADE Financial Corporation,49.88,13367558726.68,,,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc,,NASDAQ
51,EBAY,eBay Inc.,38.37,40080194680.17,,1998.0,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay,,NASDAQ
52,EA,Electronic Arts Inc.,109.28,33650093503.84,,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea,,NASDAQ
53,EQIX,"Equinix, Inc.",457.85,35819298171.45,,2000.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqix,,NASDAQ
54,EXPE,"Expedia, Inc.",120.88,18433595841.76,,,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe,,NASDAQ
55,EXPD,"Expeditors International of Washington, Inc.",64.44,11451171654.0,,,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd,,NASDAQ
56,ESRX,Express Scripts Holding Company,71.55,40523988150.0,,1992.0,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx,,NASDAQ
57,FB,"Facebook, Inc.",180.18,523568620214.64,,2012.0,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb,,NASDAQ
