,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9,Exchange
0,ATVI,"Activision Blizzard, Inc",62.01,46885727204.55,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,,NASDAQ
1,ADBE,Adobe Systems Incorporated,176.85,87176972025.9,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,,NASDAQ
2,AMD,"Advanced Micro Devices, Inc.",10.83,10448768870.49,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,,NASDAQ
3,ALXN,"Alexion Pharmaceuticals, Inc.",107.36,23985259379.84,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,,NASDAQ
4,ALGN,"Align Technology, Inc.",258.27,20707495612.08,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,,NASDAQ
5,ALNY,"Alnylam Pharmaceuticals, Inc.",128.11,11879744325.32,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,,NASDAQ
6,GOOG,Alphabet Inc.,1021.66,709851524724.26,n/a,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog,,NASDAQ
7,AABA,Altaba Inc.,70.43,61512017329.24,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba,,NASDAQ
8,AMZN,"Amazon.com, Inc.",1160.55,559236752696.25,n/a,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,,NASDAQ
9,AMOV,"America Movil, S.A.B. de C.V.",17.5524,57972953835.8484,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,,NASDAQ
10,AAL,"American Airlines Group, Inc.",49.25,23566079345.25,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,,NASDAQ
11,AMGN,Amgen Inc.,172.28,125059873861.0,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,,NASDAQ
12,ADI,"Analog Devices, Inc.",85.67,31581027957.96,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,,NASDAQ
13,ANSS,"ANSYS, Inc.",146.53,12434605108.69,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,,NASDAQ
14,AAPL,Apple Inc.,169.48,870163197760.0,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl,,NASDAQ
15,AMAT,"Applied Materials, Inc.",52.91,56427835900.15,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat,,NASDAQ
