Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,1.308000,1.340000,1.308000,1.330000,0.885542,1125000
2006-01-04,1.338000,1.358000,1.336000,1.349200,0.898326,580000
2006-01-05,1.352000,1.380000,1.347200,1.378000,0.917502,2110000
2006-01-06,1.400000,1.424000,1.380400,1.385600,0.922562,300000
2006-01-09,1.392000,1.397200,1.380800,1.394400,0.928421,212500
2006-01-10,1.378400,1.378400,1.356000,1.358000,0.904186,2065000
2006-01-11,1.370800,1.378400,1.367600,1.372000,0.913506,130000
2006-01-12,1.384000,1.413600,1.384000,1.408000,0.937477,470000
2006-01-13,1.406000,1.435600,1.384800,1.434800,0.955320,580000
2006-01-17,1.384000,1.389600,1.336400,1.360000,0.905517,1325000
2006-01-18,1.350000,1.350000,1.336000,1.342400,0.893799,265000
2006-01-19,1.359200,1.383200,1.359200,1.383200,0.920964,35000
2006-01-20,1.400000,1.405600,1.380000,1.384000,0.921496,410000
2006-01-23,1.384000,1.384000,1.368000,1.372000,0.913506,440000
2006-01-24,1.396800,1.405600,1.380000,1.380000,0.918833,200000
2006-01-25,1.370000,1.394800,1.360400,1.373600,0.914572,115000
2006-01-26,1.400000,1.411200,1.400000,1.410000,0.938808,45000
2006-01-27,1.426800,1.440000,1.404000,1.404000,0.934813,590000
2006-01-30,1.396000,1.396000,1.388400,1.392800,0.927356,360000
2006-01-31,1.392000,1.392000,1.376000,1.390000,0.925492,780000
2006-02-01,1.398000,1.398000,1.372000,1.380000,0.918833,5380000
2006-02-02,1.376000,1.376000,1.332800,1.346000,0.896195,1000000
2006-02-03,1.340800,1.354400,1.320000,1.332800,0.887406,515000
2006-02-06,1.365200,1.379600,1.356000,1.373600,0.914572,255000
2006-02-07,1.356000,1.356000,1.336000,1.336000,0.889537,195000
2006-02-08,1.336000,1.360000,1.332000,1.360000,0.905517,425000
2006-02-09,1.361200,1.385600,1.361200,1.379200,0.918301,345000
2006-02-10,1.402000,1.408000,1.379600,1.392000,0.926823,1365000
2006-02-13,1.386000,1.400000,1.385200,1.385600,0.922562,470000
2006-02-14,1.398000,1.404000,1.378400,1.400000,0.932150,3060000
2006-02-15,1.396000,1.440000,1.386000,1.440000,0.958783,1225000
2006-02-16,1.460000,1.470000,1.458000,1.466000,0.976094,710000
2006-02-17,1.472000,1.472000,1.464800,1.470800,0.979290,760000
2006-02-21,1.476000,1.504800,1.465600,1.476800,0.983285,1270000
2006-02-22,1.480000,1.494000,1.470400,1.481200,0.986214,490000
2006-02-23,1.480800,1.482000,1.437600,1.442000,0.960114,485000
2006-02-24,1.450000,1.456000,1.428000,1.450000,0.965441,645000
2006-02-27,1.464000,1.464400,1.441200,1.441200,0.959582,155000
2006-02-28,1.441600,1.444000,1.423600,1.428000,0.950793,115000
2006-03-01,1.428000,1.472000,1.428000,1.466000,0.976094,5435000
2006-03-02,1.458000,1.486000,1.458000,1.482400,0.987013,1105000
2006-03-03,1.480000,1.498000,1.480000,1.498000,0.997400,1400000
2006-03-06,1.494000,1.500000,1.478000,1.478000,0.984084,475000
2006-03-07,1.472000,1.472000,1.432000,1.436000,0.956119,260000
2006-03-08,1.426000,1.429600,1.394400,1.423600,0.947863,385000
2006-03-09,1.433600,1.442000,1.408000,1.408000,0.937477,612500
2006-03-10,1.424000,1.449200,1.424000,1.440800,0.959315,445000
2006-03-13,1.450800,1.471200,1.432800,1.436000,0.956119,510000
2006-03-14,1.437600,1.468400,1.437600,1.463200,0.974230,345000
2006-03-15,1.476000,1.508000,1.474000,1.508000,1.004058,665000
2006-03-16,1.532000,1.532400,1.504000,1.504000,1.001395,555000
2006-03-17,1.510000,1.520000,1.465600,1.468000,0.977426,627500
2006-03-20,1.466000,1.489600,1.461600,1.475600,0.982486,1020000
2006-03-21,1.464800,1.469200,1.438400,1.442400,0.967435,110000
2006-03-22,1.442400,1.455200,1.439600,1.449200,0.971996,155000
2006-03-23,1.456000,1.470000,1.432000,1.437200,0.963947,995000
2006-03-24,1.438800,1.452000,1.438000,1.448400,0.971459,2175000
2006-03-27,1.431600,1.452400,1.420000,1.451600,0.973606,2687500
2006-03-28,1.416000,1.440400,1.406000,1.406000,0.943021,305000
