Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,22.000000,23.250000,21.920000,23.139999,19.180687,685600
2006-01-04,23.080000,23.490000,22.870001,23.010000,19.072939,275900
2006-01-05,23.030001,23.420000,22.959999,23.299999,19.313311,260700
2006-01-06,23.299999,23.299999,22.850000,22.860001,18.948599,402300
2006-01-09,22.760000,23.320000,22.709999,23.209999,19.238710,404900
2006-01-10,23.049999,23.340000,23.030001,23.250000,19.271870,702100
2006-01-11,23.370001,23.540001,23.139999,23.360001,19.363050,230800
2006-01-12,23.360001,23.500000,23.049999,23.139999,19.180687,141700
2006-01-13,23.150000,23.150000,22.620001,22.690001,18.807686,393800
2006-01-17,22.650000,22.650000,21.920000,22.120001,18.335217,421700
2006-01-18,22.080000,22.139999,21.490000,21.570000,17.879318,538100
2006-01-19,21.700001,22.430000,21.610001,22.219999,18.418106,279700
2006-01-20,22.240000,22.370001,21.959999,22.120001,18.335217,251100
2006-01-23,22.230000,22.570000,22.000000,22.469999,18.625332,231400
2006-01-24,22.570000,22.570000,22.280001,22.500000,18.650196,502800
2006-01-25,22.520000,22.980000,22.520000,22.660000,18.782818,325000
2006-01-26,22.889999,24.000000,22.840000,23.930000,19.835520,606600
2006-01-27,23.969999,24.500000,23.620001,23.709999,19.653162,487500
2006-01-30,23.809999,24.510000,23.790001,24.040001,19.926701,396300
2006-01-31,24.040001,24.170000,23.809999,23.850000,19.769203,429400
2006-02-01,24.100000,24.650000,24.030001,24.580000,20.374306,488200
2006-02-02,23.440001,23.600000,22.510000,22.940001,19.014910,1518600
2006-02-03,22.940001,24.570000,22.299999,24.010000,19.901827,1078700
2006-02-06,24.080000,24.080000,23.700001,23.940001,19.843809,618000
2006-02-07,23.719999,24.059999,23.540001,24.040001,19.926701,463000
2006-02-08,23.930000,24.129999,23.700001,23.910000,19.818939,743000
2006-02-09,24.100000,24.860001,24.100000,24.350000,20.183659,714600
2006-02-10,24.950001,26.850000,24.350000,24.580000,20.374306,1281400
2006-02-13,25.010000,25.400000,24.190001,25.059999,20.772173,910800
2006-02-14,25.270000,25.870001,25.209999,25.620001,21.236359,682100
2006-02-15,25.600000,25.700001,25.040001,25.120001,20.821909,803100
2006-02-16,25.129999,25.129999,24.139999,24.600000,20.390882,887100
2006-02-17,24.850000,24.990000,24.639999,24.799999,20.556664,387200
2006-02-21,24.799999,24.799999,24.420000,24.500000,20.307995,471500
2006-02-22,24.500000,24.600000,24.120001,24.240000,20.092480,388500
2006-02-23,24.180000,24.360001,23.870001,24.129999,20.001295,379100
2006-02-24,24.059999,24.469999,23.750000,24.290001,20.133923,537200
2006-02-27,24.360001,25.299999,24.340000,25.240000,20.921377,847500
2006-02-28,25.309999,25.379999,24.559999,24.910000,20.647839,550300
2006-03-01,24.840000,25.440001,24.840000,25.180000,20.871643,414100
2006-03-02,25.080000,25.340000,24.799999,25.000000,20.722446,303400
