Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,1378.800049,1393.199951,1336.800049,1392.400024,1039.189453,438100
2006-01-04,1395.800049,1407.000000,1385.199951,1394.400024,1040.682495,309900
2006-01-05,1398.000000,1401.000000,1388.599976,1396.199951,1042.025757,197000
2006-01-06,1400.000000,1405.400024,1388.000000,1402.199951,1046.503540,287100
2006-01-09,1397.000000,1399.800049,1391.400024,1395.599976,1041.577637,292400
2006-01-10,1363.599976,1412.199951,1363.599976,1408.000000,1050.832397,321200
2006-01-11,1420.000000,1421.800049,1412.000000,1416.599976,1057.250732,334600
2006-01-12,1420.000000,1420.000000,1401.000000,1405.199951,1048.742798,264400
2006-01-13,1400.000000,1419.000000,1388.000000,1401.000000,1045.608154,319500
2006-01-17,1385.199951,1387.800049,1372.000000,1380.800049,1030.532593,335400
2006-01-18,1381.000000,1386.000000,1368.199951,1372.199951,1024.113647,349200
2006-01-19,1374.000000,1375.400024,1360.000000,1362.000000,1016.501343,350600
2006-01-20,1361.599976,1361.599976,1334.000000,1334.199951,995.752869,513000
2006-01-23,1332.599976,1341.400024,1326.599976,1332.199951,994.260681,366200
2006-01-24,1339.400024,1342.000000,1328.800049,1330.800049,993.215881,311200
2006-01-25,1332.800049,1335.599976,1306.199951,1316.199951,982.319214,405700
2006-01-26,1320.000000,1344.199951,1320.000000,1328.800049,991.723083,364400
2006-01-27,1330.000000,1345.800049,1323.199951,1333.000000,994.857605,283700
2006-01-30,1335.000000,1337.000000,1318.400024,1321.400024,986.200195,340500
2006-01-31,1321.400024,1326.400024,1309.000000,1309.199951,977.095032,341900
2006-02-01,1312.000000,1328.599976,1309.400024,1325.400024,989.185486,369600
2006-02-02,1325.400024,1326.400024,1305.400024,1309.400024,977.244568,385400
2006-02-03,1308.000000,1314.000000,1293.400024,1307.000000,975.453064,290200
2006-02-06,1310.000000,1328.400024,1308.000000,1320.199951,985.304626,300800
2006-02-07,1320.199951,1328.599976,1308.400024,1316.000000,982.170044,264200
2006-02-08,1323.000000,1330.000000,1313.599976,1327.599976,990.827576,247000
2006-02-09,1329.000000,1365.199951,1323.000000,1342.400024,1001.873230,527600
2006-02-10,1347.199951,1360.000000,1342.599976,1358.000000,1013.516174,503700
2006-02-13,1358.000000,1364.000000,1344.000000,1358.800049,1014.112976,288600
2006-02-14,1362.000000,1373.800049,1352.400024,1367.800049,1020.830139,350000
2006-02-15,1364.000000,1369.400024,1347.599976,1365.800049,1019.337524,340100
2006-02-16,1364.800049,1367.400024,1349.400024,1363.599976,1017.695190,254400
2006-02-17,1357.199951,1357.199951,1335.400024,1348.400024,1006.351318,315200
2006-02-21,1347.199951,1348.000000,1336.400024,1345.199951,1003.962830,245600
2006-02-22,1353.599976,1365.199951,1348.000000,1358.199951,1013.665344,365800
2006-02-23,1351.599976,1353.400024,1330.800049,1344.000000,1003.067383,314500
2006-02-24,1347.400024,1349.599976,1337.199951,1339.400024,999.633972,210500
2006-02-27,1339.400024,1347.599976,1332.400024,1342.199951,1001.723389,261800
2006-02-28,1337.199951,1341.000000,1325.199951,1327.199951,990.528809,355100
2006-03-01,1325.800049,1337.000000,1319.199951,1324.400024,990.678467,265900
2006-03-02,1318.000000,1322.599976,1310.400024,1316.000000,984.395142,328800
2006-03-03,1312.000000,1316.000000,1305.199951,1309.599976,979.607788,303600
