Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,54.389999,54.849998,53.750000,54.730000,40.499554,3192200
2006-01-04,54.880001,55.200001,54.599998,54.669998,40.455158,2546000
2006-01-05,54.599998,54.900002,54.470001,54.820000,40.566147,2586400
2006-01-06,54.950001,55.049999,54.410000,54.840000,40.580944,2277200
2006-01-09,54.939999,54.939999,54.410000,54.650002,40.440350,2172800
2006-01-10,54.650002,55.990002,54.590000,55.740002,41.246941,5867600
2006-01-11,55.549999,56.090000,55.389999,55.549999,41.106342,3210300
2006-01-12,55.540001,55.570000,54.759998,54.799999,40.551350,2746500
2006-01-13,54.799999,55.000000,54.150002,54.680000,40.462559,2043500
2006-01-17,54.410000,54.450001,53.889999,54.380001,40.240547,2697700
2006-01-18,53.799999,54.090000,53.169998,53.480000,39.574562,3450100
2006-01-19,53.599998,53.709999,52.750000,52.860001,39.115788,3113600
2006-01-20,52.700001,52.790001,52.090000,52.209999,38.634777,2817100
2006-01-23,52.360001,52.680000,52.259998,52.349998,38.738384,1734400
2006-01-24,52.220001,52.410000,50.980000,51.279999,37.946590,4599300
2006-01-25,51.549999,51.790001,50.220001,50.560001,37.413803,4794100
2006-01-26,51.340000,53.400002,51.040001,52.500000,38.849373,5578000
2006-01-27,52.490002,52.759998,51.930000,52.029999,38.501579,2962900
2006-01-30,52.000000,52.360001,51.400002,52.189999,38.619965,2920400
2006-01-31,52.060001,52.160000,51.779999,52.049999,38.516384,5509700
2006-02-01,52.000000,53.240002,52.000000,52.099998,38.553379,6374200
2006-02-02,52.220001,52.540001,51.820000,52.099998,38.553379,4595900
2006-02-03,52.049999,52.590000,51.660000,52.009998,38.486782,3315000
2006-02-06,52.119999,52.790001,52.049999,52.639999,38.952980,3408400
2006-02-07,52.230000,52.430000,52.020000,52.070000,38.531181,1879600
2006-02-08,52.279999,52.279999,51.750000,52.139999,38.582977,2771600
2006-02-09,52.119999,52.980000,52.009998,52.590000,38.915974,2741600
2006-02-10,52.459999,53.099998,52.459999,52.919998,39.160152,1758300
2006-02-13,52.950001,53.209999,52.310001,52.639999,38.952980,1250400
2006-02-14,52.639999,54.169998,52.639999,53.650002,39.700371,4024400
2006-02-15,53.549999,53.939999,53.419998,53.910000,39.892769,2681500
2006-02-16,53.810001,54.160000,53.369999,54.160000,40.077755,4842600
2006-02-17,54.040001,54.389999,53.900002,54.299999,40.181358,2223400
2006-02-21,54.000000,54.080002,53.599998,53.810001,39.818764,3934300
2006-02-22,54.099998,54.830002,54.099998,54.700001,40.477352,3481100
2006-02-23,54.790001,54.790001,54.250000,54.490002,40.321960,2962800
2006-02-24,54.349998,54.980000,54.099998,54.900002,40.625355,3189400
2006-02-27,54.970001,55.240002,54.700001,54.950001,40.662350,2215700
2006-02-28,54.599998,54.980000,54.310001,54.779999,40.536552,2812800
2006-03-01,54.650002,54.959999,54.360001,54.750000,40.514347,3276300
2006-03-02,54.509998,54.900002,53.900002,54.650002,40.440350,5252700
2006-03-03,54.500000,54.779999,54.259998,54.540001,40.358952,3338100
2006-03-06,54.480000,54.799999,54.160000,54.250000,40.144371,1718900
2006-03-07,54.200001,54.380001,53.930000,54.250000,40.144371,1778900
2006-03-08,54.349998,54.490002,53.680000,54.349998,40.479519,2982800
2006-03-09,54.250000,54.689999,54.250000,54.389999,40.509296,2310300
2006-03-10,54.090000,54.709999,54.000000,54.560001,40.635933,2569600
2006-03-13,54.500000,54.980000,54.389999,54.549999,40.628483,2245100
2006-03-14,54.529999,55.000000,54.459999,54.779999,40.799786,2715500
2006-03-15,54.730000,54.930000,54.400002,54.849998,40.851910,2456000
2006-03-16,55.020000,55.150002,54.290001,54.459999,40.561447,3671700
2006-03-17,54.250000,54.900002,54.139999,54.820000,40.829571,4192000
2006-03-20,54.950001,55.070000,54.230000,54.549999,40.628483,2992900
2006-03-21,54.160000,54.360001,53.090000,53.599998,39.920929,3785200
2006-03-22,52.799999,53.689999,52.799999,53.580002,39.906025,2338300
2006-03-23,53.369999,53.750000,53.180000,53.410000,39.779415,2691700
2006-03-24,53.209999,53.570000,52.700001,53.230000,39.645336,1895600
2006-03-27,53.139999,53.150002,52.349998,52.529999,39.124004,3237500
2006-03-28,52.410000,52.459999,51.790001,52.049999,38.766491,3433800
2006-03-29,52.119999,52.730000,51.689999,52.400002,39.027149,3974900
2006-03-30,52.299999,52.509998,52.049999,52.139999,38.833534,3836800
2006-03-31,52.380001,52.380001,51.849998,52.110001,38.811188,2975300
2006-04-03,52.299999,52.709999,52.009998,52.369999,39.004822,2509900
2006-04-04,52.459999,52.570000,52.029999,52.270000,38.930340,2170200
2006-04-05,52.400002,52.680000,51.849998,51.990002,38.721806,2756600
2006-04-06,51.799999,51.980000,51.610001,51.799999,38.580299,2429100
2006-04-07,51.779999,52.139999,51.130001,51.220001,38.148312,2225200
2006-04-10,51.080002,51.320000,50.959999,51.090000,38.051495,1867900
2006-04-11,51.090000,51.160000,50.360001,50.500000,37.612061,4714800
2006-04-12,50.799999,51.049999,50.400002,50.560001,37.656750,4859800
2006-04-13,50.560001,50.700001,50.380001,50.599998,37.686535,2739500
2006-04-17,50.549999,50.880001,50.299999,50.419998,37.552464,1991800
2006-04-18,50.630001,52.090000,50.570000,51.950001,38.692005,5432400
2006-04-19,53.849998,55.099998,53.750000,54.820000,40.829571,9789700
2006-04-20,55.349998,55.630001,55.049999,55.430000,41.283894,5907100
2006-04-21,55.740002,56.000000,55.480000,55.650002,41.447746,3748300
2006-04-24,55.650002,55.910000,55.099998,55.650002,41.447746,3062400
2006-04-25,55.560001,56.099998,55.299999,55.630001,41.432846,2105700
2006-04-26,55.869999,56.000000,55.529999,55.820000,41.574360,2052300
2006-04-27,55.830002,56.320000,55.560001,55.950001,41.671173,2337100
2006-04-28,56.150002,56.549999,55.849998,56.490002,42.073364,3125200
2006-05-01,56.599998,56.860001,56.209999,56.430000,42.028687,3034100
2006-05-02,56.650002,56.950001,56.450001,56.790001,42.296818,2752100
2006-05-03,56.580002,57.000000,56.189999,56.720001,42.244675,2093100
2006-05-04,56.849998,57.000000,56.709999,56.880001,42.363842,1859300
2006-05-05,57.000000,57.119999,56.720001,56.869999,42.356388,2437000
2006-05-08,56.750000,57.689999,56.639999,57.610001,42.907543,2477600
2006-05-09,57.599998,57.650002,57.009998,57.340000,42.706440,2438600
2006-05-10,57.000000,57.470001,56.919998,57.330002,42.698994,1867100
2006-05-11,57.220001,57.459999,57.090000,57.310001,42.684105,2812800
2006-05-12,57.169998,57.250000,56.230000,56.380001,41.991436,2343200
2006-05-15,56.110001,57.209999,56.020000,57.099998,42.527687,2146900
2006-05-16,57.000000,57.439999,56.730000,57.340000,42.706440,1813200
2006-05-17,56.689999,57.139999,55.740002,56.180000,41.842484,2517000
2006-05-18,56.169998,56.950001,56.000000,56.610001,42.162739,3781700
2006-05-19,56.860001,56.919998,56.200001,56.389999,41.998905,2897200
2006-05-22,56.220001,56.660000,55.869999,56.180000,41.842484,2202700
2006-05-23,56.099998,56.349998,55.400002,55.520000,41.350925,3019000
2006-05-24,55.250000,55.889999,54.990002,55.360001,41.231758,2967600
2006-05-25,55.790001,55.790001,54.880001,55.630001,41.432846,2338300
2006-05-26,55.529999,55.650002,54.730000,55.009998,41.230480,1749400
2006-05-30,54.830002,55.020000,54.369999,54.639999,40.953178,1943300
2006-05-31,54.820000,55.150002,54.470001,55.009998,41.230480,2689400
2006-06-01,54.939999,55.480000,54.910000,55.250000,41.410355,2650500
2006-06-02,55.189999,55.340000,54.810001,55.110001,41.305435,2074700
2006-06-05,55.020000,55.220001,54.240002,54.240002,40.653366,2017700
2006-06-06,54.220001,54.490002,53.509998,54.209999,40.630871,2519100
2006-06-07,54.110001,54.849998,54.009998,54.360001,40.743301,1739800
2006-06-08,54.200001,54.820000,53.849998,54.650002,40.960667,2664500
2006-06-09,54.590000,54.860001,54.000000,54.360001,40.743301,2016000
2006-06-12,54.459999,54.459999,53.500000,53.599998,40.173676,1810800
2006-06-13,53.500000,53.599998,52.709999,52.830002,39.596550,4060600
2006-06-14,52.720001,53.360001,52.500000,53.349998,39.986301,2641500
2006-06-15,53.320000,53.970001,53.320000,53.900002,40.398537,2377300
2006-06-16,53.770000,54.130001,53.439999,53.509998,40.106213,2871000
2006-06-19,53.770000,53.930000,52.959999,53.299999,39.948822,1823800
2006-06-20,53.500000,53.820000,53.139999,53.139999,39.828899,2023800
2006-06-21,52.950001,53.889999,52.950001,53.369999,40.001286,1910000
2006-06-22,53.180000,53.669998,52.869999,53.040001,39.753941,1975500
2006-06-23,53.029999,53.299999,52.799999,52.910000,39.656506,1862200
2006-06-26,53.000000,53.680000,52.930000,53.610001,40.181175,1774700
2006-06-27,53.650002,53.970001,53.439999,53.700001,40.248623,2220800
2006-06-28,53.849998,54.130001,53.630001,53.950001,40.436005,2786000
2006-06-29,54.400002,54.720001,54.119999,54.669998,40.975643,2552200
2006-06-30,54.730000,54.930000,54.419998,54.730000,41.020611,3030500
2006-07-03,54.970001,55.110001,54.520000,55.029999,41.245472,1185900
