Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,46.599998,47.570000,46.509998,47.529999,35.753159,920600
2006-01-04,48.330002,49.619999,48.240002,49.380001,37.144768,797900
2006-01-05,50.099998,50.119999,49.700001,50.049999,37.648750,837700
2006-01-06,50.049999,50.380001,49.610001,50.310001,37.844326,536800
2006-01-09,49.810001,50.009998,49.349998,49.599998,37.310253,943500
2006-01-10,48.930000,49.240002,48.750000,49.099998,36.934139,555600
2006-01-11,49.230000,49.230000,48.709999,48.990002,36.851391,661800
2006-01-12,48.900002,48.900002,48.000000,48.029999,36.129257,491000
2006-01-13,48.639999,49.090000,48.459999,48.900002,36.783699,366000
2006-01-17,48.930000,48.939999,48.070000,48.340000,36.362457,412100
2006-01-18,48.720001,49.990002,48.689999,49.500000,37.235039,652100
2006-01-19,50.000000,50.310001,49.669998,50.049999,37.648750,633700
2006-01-20,50.250000,50.299999,49.340000,49.340000,37.114674,598600
2006-01-23,49.730000,49.779999,48.970001,49.200001,37.009369,473300
2006-01-24,49.259998,49.349998,48.860001,49.139999,36.964237,483100
2006-01-25,49.419998,49.540001,49.099998,49.480000,37.219994,502600
2006-01-26,49.599998,49.639999,48.840000,49.049999,36.896523,557800
2006-01-27,48.970001,48.990002,48.389999,48.509998,36.490330,658500
2006-01-30,48.650002,49.439999,48.650002,49.400002,37.159809,355100
2006-01-31,48.820000,49.330002,48.660000,48.990002,37.091660,387700
2006-02-01,48.840000,49.099998,48.529999,48.799999,36.947800,405300
2006-02-02,48.470001,48.810001,48.299999,48.599998,36.796379,394900
2006-02-03,48.299999,48.860001,48.290001,48.490002,36.713116,588500
2006-02-06,48.230000,48.660000,48.209999,48.410000,36.652531,198000
2006-02-07,48.139999,48.799999,48.119999,48.490002,36.713116,323200
2006-02-08,48.410000,48.580002,47.779999,48.369999,36.622253,302500
2006-02-09,51.520000,51.770000,50.630001,51.000000,38.613480,1692700
2006-02-10,52.250000,52.369999,51.410000,51.590000,39.060196,1142500
2006-02-13,51.799999,52.139999,51.360001,51.660000,39.113190,629900
2006-02-14,51.880001,52.709999,51.680000,52.689999,39.893028,681900
