Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,5.870000,6.146667,5.863333,6.141667,5.021548,1702800
2006-01-04,6.141667,6.230000,6.120000,6.175000,5.048800,1293600
2006-01-05,6.258333,6.280000,6.085000,6.116667,5.001106,1296400
2006-01-06,6.283333,6.375000,6.266667,6.326667,5.172806,2917200
2006-01-09,6.308333,6.601666,6.308333,6.541667,5.348595,2010400
2006-01-10,6.541667,6.780000,6.490000,6.698333,5.476687,2080800
2006-01-11,6.680000,6.708333,6.565000,6.598333,5.394927,1474800
2006-01-12,6.601666,6.665000,6.436666,6.455000,5.277734,1913200
2006-01-13,6.475000,6.505000,6.445000,6.468333,5.288636,1042800
2006-01-17,6.483333,6.581666,6.458333,6.531667,5.340420,1850400
2006-01-18,6.530000,6.738333,6.511667,6.738333,5.509394,2258800
2006-01-19,6.741667,6.780000,6.618333,6.631667,5.422180,1537200
2006-01-20,6.916667,7.401667,6.791667,7.316667,5.982251,6706000
2006-01-23,7.075000,7.121666,6.818333,7.008333,5.730150,3603600
2006-01-24,7.041667,7.221667,7.026667,7.166667,5.859605,1592400
2006-01-25,7.170000,7.170000,7.023334,7.083333,5.791471,916800
2006-01-26,7.116667,7.146667,7.066667,7.101666,5.806461,1342000
2006-01-27,7.058333,7.151667,7.001667,7.108333,5.833821,955200
2006-01-30,7.150000,7.236667,7.150000,7.200000,5.909052,1289200
2006-01-31,7.200000,7.238333,7.130000,7.181667,5.894007,1650400
2006-02-01,7.161667,7.161667,6.756667,6.988333,5.735336,4589200
2006-02-02,7.055000,7.148334,6.988333,7.046667,5.783210,1760800
2006-02-03,7.038333,7.115000,6.975000,6.975000,5.724395,1265200
2006-02-06,7.033333,7.708333,7.025000,7.458333,6.121066,5599600
2006-02-07,7.460000,7.500000,7.265000,7.275000,5.970604,2308800
2006-02-08,7.375000,7.375000,7.045000,7.180000,5.892637,1836000
2006-02-09,7.180000,7.420000,7.155000,7.258333,5.956926,2358400
2006-02-10,7.258333,7.336667,7.160000,7.291667,5.984282,2634000
2006-02-13,7.291667,7.301667,7.191667,7.216667,5.922729,3368400
2006-02-14,7.245000,7.638333,7.228333,7.598333,6.235965,2558400
2006-02-15,7.583333,7.585000,7.423333,7.486667,6.144318,2089600
2006-02-16,7.500000,7.616667,7.496666,7.568333,6.211343,2650800
2006-02-17,7.601666,7.740000,7.543334,7.711667,6.328975,1591200
2006-02-21,7.711667,7.756667,7.625000,7.716667,6.333080,1842400
2006-02-22,7.720000,7.895000,7.716667,7.816667,6.415151,1802400
2006-02-23,7.821667,7.858333,7.746666,7.825000,6.421989,907600
2006-02-24,7.833333,7.833333,7.773334,7.790000,6.393265,1322400
2006-02-27,7.823333,7.888333,7.773334,7.821667,6.419254,1153600
2006-02-28,7.796667,7.806667,7.706666,7.716667,6.333080,1111600
2006-03-01,7.741667,7.906667,7.710000,7.853333,6.445241,3299200
2006-03-02,7.853333,7.993333,7.845000,7.875000,6.463026,2138800
2006-03-03,7.866667,8.178333,7.850000,8.138333,6.679142,2590800
2006-03-06,8.000000,8.176666,7.975000,7.996666,6.562877,1714800
2006-03-07,7.991667,8.061666,7.945000,8.058333,6.613486,2106000
2006-03-08,8.041667,8.071667,7.856667,7.966667,6.538256,1474000
2006-03-09,7.966667,8.071667,7.966667,8.021667,6.583395,945600
2006-03-10,8.005000,8.141666,7.941667,8.106667,6.653153,883600
2006-03-13,8.148334,8.270000,8.081667,8.100000,6.647685,1452000
2006-03-14,8.083333,8.233334,8.041667,8.228333,6.753008,1510000
2006-03-15,8.258333,8.553333,8.203333,8.493333,6.970493,2263200
2006-03-16,8.550000,8.555000,8.335000,8.348333,6.851490,1505200
2006-03-17,8.366667,8.473333,8.341666,8.425000,6.914412,1333200
2006-03-20,8.475000,8.615000,8.433333,8.583333,7.044356,1549200
2006-03-21,8.550000,8.675000,8.458333,8.560000,7.025206,1226400
2006-03-22,8.533334,8.665000,8.475000,8.641666,7.092231,1273200
2006-03-23,8.641666,8.815000,8.608334,8.793333,7.216701,1540800
2006-03-24,8.830000,8.891666,8.710000,8.830000,7.246796,904000
2006-03-27,8.755000,8.805000,8.626667,8.795000,7.218071,1106800
2006-03-28,8.728333,8.878333,8.620000,8.663333,7.110012,1047600
