Date,Open,High,Low,Close,Adj Close,Volume
2011-03-30,18.700001,19.000000,18.150000,18.200001,9.456718,30086900
2011-03-31,18.049999,18.590000,17.910000,18.000000,9.352797,9582800
2011-04-01,18.010000,18.230000,17.889999,18.000000,9.352797,3199400
2011-04-04,18.070000,18.160000,17.799999,17.879999,9.290447,1846600
2011-04-05,17.879999,18.030001,17.650000,17.980000,9.342405,2353300
2011-04-06,18.010000,18.150000,17.879999,18.100000,9.404757,474900
2011-04-07,18.340000,18.350000,18.000000,18.010000,9.357994,702100
2011-04-08,18.010000,18.150000,17.879999,18.000000,9.352797,304500
2011-04-11,17.940001,18.100000,17.900000,18.059999,9.383975,486000
2011-04-12,18.100000,18.340000,17.870001,18.190001,9.451524,624600
2011-04-13,18.370001,18.370001,18.010000,18.100000,9.404757,199600
2011-04-14,18.010000,18.270000,18.000000,18.250000,9.482697,408000
2011-04-15,18.280001,18.690001,18.209999,18.500000,9.612597,963000
2011-04-18,18.500000,18.590000,17.959999,18.180000,9.446326,720700
2011-04-19,18.250000,18.320000,18.080000,18.200001,9.456718,405000
2011-04-20,18.389999,18.389999,18.100000,18.230000,9.472307,498200
2011-04-21,18.299999,18.350000,17.830000,18.110001,9.409952,1196100
2011-04-25,18.040001,18.250000,18.040001,18.059999,9.383975,280800
2011-04-26,18.209999,18.240000,17.900000,18.180000,9.446326,622700
2011-04-27,18.100000,18.200001,18.040001,18.180000,9.446326,275400
2011-04-28,18.110001,18.270000,17.860001,18.110001,9.409952,539400
2011-04-29,18.180000,18.190001,17.930000,18.080000,9.394367,196000
2011-05-02,18.070000,18.299999,17.930000,18.190001,9.451524,555700
2011-05-03,18.030001,18.350000,18.020000,18.270000,9.493092,377400
2011-05-04,18.230000,18.340000,17.750000,17.980000,9.342405,614000
2011-05-05,17.879999,18.090000,17.700001,17.940001,9.321621,412200
2011-05-06,18.170000,18.170000,17.910000,17.969999,9.337213,405600
2011-05-09,18.340000,18.559999,18.299999,18.500000,9.612597,965400
2011-05-10,18.600000,18.760000,18.480000,18.709999,9.721712,666400
2011-05-11,18.760000,18.760000,18.379999,18.480000,9.602207,371000
2011-05-12,18.799999,18.910000,18.040001,18.420000,9.571030,722000
2011-05-13,18.650000,18.650000,18.059999,18.270000,9.493092,810300
2011-05-16,18.420000,18.500000,17.590000,17.830000,9.264463,988800
2011-05-17,17.860001,17.900000,16.799999,17.180000,8.926726,980900
2011-05-18,17.370001,18.180000,17.180000,17.850000,9.274858,823900
2011-05-19,17.730000,18.000000,17.389999,17.770000,9.348510,369400
2011-05-20,17.760000,18.080000,17.760000,17.850000,9.390598,508200
2011-05-23,17.410000,17.990000,17.379999,17.600000,9.259075,309200
2011-05-24,17.680000,17.969999,17.530001,17.570000,9.243293,205900
2011-05-25,17.600000,17.709999,17.260000,17.370001,9.138076,285000
2011-05-26,17.320000,17.969999,17.320000,17.750000,9.337989,430700
2011-05-27,17.840000,18.490000,17.799999,18.190001,9.569465,622800
2011-05-31,18.049999,18.180000,17.900000,18.020000,9.480031,329100
2011-06-01,17.870001,18.100000,17.690001,17.930000,9.432682,770100
2011-06-02,17.950001,17.950001,17.709999,17.860001,9.395856,70100
2011-06-03,17.559999,17.969999,17.559999,17.850000,9.390598,75800
2011-06-06,17.850000,17.889999,17.330000,17.400000,9.153859,183600
2011-06-07,17.450001,17.469999,16.850000,16.920000,8.901339,219700
2011-06-08,16.940001,17.049999,16.740000,16.750000,8.811903,180600
2011-06-09,16.650000,16.950001,16.209999,16.290001,8.569906,250900
2011-06-10,16.430000,16.469999,15.480000,15.640000,8.227950,335300
2011-06-13,15.590000,15.790000,15.270000,15.510000,8.159560,560500
2011-06-14,15.620000,16.030001,15.620000,16.000000,8.417342,114700
2011-06-15,15.850000,16.250000,15.800000,15.970000,8.401559,210800
2011-06-16,15.790000,16.049999,15.630000,15.870000,8.348948,187600
2011-06-17,15.970000,16.010000,15.810000,15.950000,8.391039,200300
2011-06-20,15.930000,15.990000,15.620000,15.700000,8.259516,45000
2011-06-21,15.820000,16.299999,15.760000,16.000000,8.417342,244900
2011-06-22,15.970000,16.459999,15.970000,16.320000,8.585689,295200
2011-06-23,16.219999,16.290001,16.000000,16.100000,8.469950,146800
2011-06-24,16.010000,16.190001,15.990000,16.000000,8.417342,174100
2011-06-27,16.020000,16.250000,15.990000,16.120001,8.480473,24600
2011-06-28,16.420000,17.059999,16.250000,16.590000,8.727731,378500
2011-06-29,16.420000,17.680000,16.280001,17.129999,9.011816,515200
