Date,Open,High,Low,Close,Adj Close,Volume
2013-12-12,20.250000,23.420000,20.100000,22.700001,21.710081,6560000
2013-12-13,23.000000,24.580000,22.940001,23.830000,22.790794,322400
2013-12-16,24.000000,24.000000,22.770000,23.700001,22.666468,91400
2013-12-17,23.290001,23.719999,23.059999,23.459999,22.436932,218200
2013-12-18,23.440001,24.020000,23.110001,24.000000,22.953379,831900
2013-12-19,23.809999,24.000000,23.510000,23.700001,22.666468,382900
2013-12-20,23.549999,23.940001,23.500000,23.920000,22.876873,913000
2013-12-23,24.000000,24.650000,23.980000,24.170000,23.115971,525300
2013-12-24,24.080000,24.900000,24.080000,24.389999,23.326372,81900
2013-12-26,24.660000,25.620001,24.490000,25.500000,24.387970,433500
2013-12-27,25.750000,26.469999,25.540001,25.980000,24.847034,338900
2013-12-30,26.719999,26.719999,25.610001,25.809999,24.684448,601900
2013-12-31,26.080000,26.240000,25.639999,26.219999,25.076571,416800
2014-01-02,25.990000,26.000000,25.100000,25.370001,24.263636,213000
2014-01-03,25.809999,25.900000,25.350000,25.549999,24.435793,231200
2014-01-06,25.350000,25.590000,24.350000,24.389999,23.326372,569100
2014-01-07,24.500000,24.790001,24.260000,24.350000,23.288120,530700
2014-01-08,24.350000,24.580000,24.110001,24.350000,23.288120,419700
2014-01-09,24.389999,24.850000,24.330000,24.660000,23.584599,338700
2014-01-10,24.840000,25.250000,24.670000,24.780001,23.699366,298600
2014-01-13,24.650000,25.330000,24.580000,24.980000,23.890648,233700
2014-01-14,24.980000,24.980000,24.700001,24.889999,23.804565,64400
2014-01-15,24.820000,25.100000,24.700001,24.830000,23.747189,176200
2014-01-16,24.980000,25.000000,24.530001,24.820000,23.737623,270600
2014-01-17,24.879999,24.950001,24.400000,24.510000,23.441141,207800
2014-01-21,25.120001,26.320000,24.740000,24.879999,23.795006,626600
2014-01-22,24.600000,25.280001,24.500000,24.910000,23.823698,548200
2014-01-23,25.250000,25.250000,24.549999,24.980000,23.890648,159100
2014-01-24,24.650000,25.240000,23.709999,23.940001,22.895996,379800
2014-01-27,23.879999,23.920000,23.400000,23.639999,22.609079,245700
2014-01-28,24.020000,24.480000,23.540001,24.450001,23.383760,335300
2014-01-29,23.709999,24.420000,23.500000,24.200001,23.144659,363500
2014-01-30,24.120001,24.889999,23.910000,24.709999,23.632421,361400
2014-01-31,24.600000,24.780001,24.170000,24.709999,23.632421,257900
2014-02-03,24.840000,24.950001,23.610001,24.809999,23.728062,241000
2014-02-04,24.809999,25.290001,24.570000,24.990000,23.900211,446400
2014-02-05,23.040001,29.709999,23.040001,26.100000,24.961802,2551600
2014-02-06,27.000000,27.000000,25.629999,25.850000,24.722708,560800
2014-02-07,26.020000,26.020000,25.280001,25.610001,24.493174,247400
2014-02-10,25.740000,26.559999,25.000000,26.450001,25.296541,269500
2014-02-11,26.290001,26.790001,26.040001,26.719999,25.554764,249900
2014-02-12,26.889999,28.000000,26.660000,27.639999,26.434643,794300
2014-02-13,27.580000,28.090000,27.040001,28.000000,26.851809,464300
2014-02-14,28.180000,28.440001,27.900000,28.049999,26.899755,624700
2014-02-18,28.469999,28.780001,28.110001,28.370001,27.206640,349200
2014-02-19,28.230000,28.450001,28.219999,28.379999,27.216223,233300
2014-02-20,28.500000,28.580000,28.209999,28.299999,27.139507,473300
2014-02-21,28.299999,28.309999,28.200001,28.250000,27.091555,365900
2014-02-24,28.200001,28.340000,28.150000,28.260000,27.101149,915900
2014-02-25,28.299999,28.690001,28.129999,28.459999,27.292944,492800
2014-02-26,28.530001,28.680000,28.340000,28.520000,27.350485,409200
2014-02-27,28.469999,28.750000,28.150000,28.209999,27.053196,367200
2014-02-28,28.240000,28.500000,28.090000,28.160000,27.005243,716800
2014-03-03,28.160000,28.450001,27.290001,27.760000,26.621653,462500
2014-03-04,27.969999,28.740000,27.850000,28.459999,27.292944,1531000
2014-03-05,28.490000,28.740000,28.219999,28.500000,27.331305,932600
2014-03-06,28.559999,28.740000,28.480000,28.540001,27.369667,325500
2014-03-07,28.700001,29.320000,28.450001,29.190001,27.993010,317500
2014-03-10,29.280001,29.889999,29.030001,29.559999,28.347837,258800
2014-03-11,29.660000,29.840000,28.860001,28.910000,27.724489,399800
2014-03-12,28.680000,29.070000,28.410000,28.629999,27.455971,820400
2014-03-13,28.590000,28.830000,28.200001,28.240000,27.081964,431500
2014-03-14,28.240000,28.459999,27.360001,27.379999,26.257229,398500
2014-03-17,27.450001,27.660000,27.219999,27.450001,26.324360,168400
2014-03-18,27.469999,28.080000,27.260000,27.950001,26.803862,208300
2014-03-19,28.330000,28.600000,27.740000,28.020000,26.870991,387900
2014-03-20,27.969999,29.160000,27.520000,28.870001,27.686132,367200
2014-03-21,29.030001,29.980000,28.730000,29.889999,28.664305,1746300
2014-03-24,29.660000,29.690001,28.530001,29.110001,27.916294,613300
2014-03-25,29.270000,29.270000,28.330000,28.330000,27.168274,245200
2014-03-26,28.450001,28.450001,27.730000,27.870001,26.727140,284200
2014-03-27,27.879999,28.750000,27.610001,28.590000,27.417612,358400
2014-03-28,28.600000,28.750000,28.270000,28.480000,27.312126,233500
2014-03-31,28.590000,28.980000,28.290001,28.920000,27.734083,2756500
2014-04-01,28.930000,28.930000,28.570000,28.690001,27.513512,244700
2014-04-02,28.760000,29.040001,28.680000,28.879999,27.695719,732000
2014-04-03,28.900000,28.969999,28.400000,28.680000,27.503922,572200
2014-04-04,28.730000,28.790001,27.780001,27.860001,26.717552,233900
2014-04-07,27.740000,27.920000,27.129999,27.540001,26.410671,153900
2014-04-08,27.490000,27.540001,27.070000,27.219999,26.103790,443300
2014-04-09,27.270000,28.000000,27.160000,27.950001,26.803862,86100
2014-04-10,27.930000,28.070000,27.219999,27.370001,26.247641,119500
2014-04-11,27.230000,27.549999,26.910000,27.219999,26.103790,188800
2014-04-14,27.459999,27.840000,27.219999,27.690001,26.554520,438800
2014-04-15,27.850000,28.180000,27.559999,27.900000,26.755907,385800
2014-04-16,28.120001,28.139999,27.680000,27.889999,26.746315,127800
2014-04-17,27.900000,28.360001,27.740000,28.040001,26.890169,146900
2014-04-21,28.049999,28.290001,27.969999,28.190001,27.034014,167400
2014-04-22,28.280001,28.629999,27.990000,28.480000,27.312126,320200
2014-04-23,28.469999,28.799999,28.209999,28.389999,27.225815,238600
2014-04-24,28.549999,28.760000,27.959999,28.230000,27.072378,401000
2014-04-25,28.200001,28.219999,27.590000,27.980000,26.832628,159200
2014-04-28,28.010000,28.469999,27.360001,27.770000,26.631241,219700
