Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.902847,3.953643,3.885915,3.911313,2.491286,1033300
2006-01-04,3.979041,3.995973,3.962109,3.995973,2.545209,1182900
2006-01-05,4.021371,4.063702,4.004439,4.004439,2.550602,1644000
2006-01-06,3.979041,3.995973,3.936711,3.979041,2.534425,747700
2006-01-09,3.995973,4.055235,3.995973,4.055235,2.582956,924500
2006-01-10,3.945177,3.962109,3.894381,3.911313,2.491286,1068800
2006-01-11,3.767390,3.852051,3.725060,3.792788,2.415792,488800
2006-01-12,3.725060,3.725060,3.606535,3.648865,2.324121,804500
2006-01-13,3.615001,3.640399,3.572671,3.623467,2.307944,819700
2006-01-17,3.733526,3.809720,3.733526,3.784322,2.410400,403900
2006-01-18,3.615001,3.674263,3.530341,3.631933,2.313337,1587800
2006-01-19,3.708128,3.775856,3.699662,3.725060,2.372653,446800
2006-01-20,3.792788,3.792788,3.631933,3.657331,2.329514,657400
2006-01-23,3.598069,3.623467,3.538807,3.572671,2.275590,1111500
2006-01-24,3.682729,3.750458,3.640399,3.733526,2.378045,175800
2006-01-25,3.758924,3.775856,3.708128,3.708128,2.361868,16700
2006-01-26,3.733526,3.826652,3.733526,3.809720,2.426577,395700
2006-01-27,3.826652,3.970575,3.818186,3.835118,2.442754,530500
2006-01-30,3.835118,3.852051,3.767390,3.826652,2.437362,488700
2006-01-31,3.852051,3.868983,3.801254,3.843584,2.448146,403900
2006-02-01,3.852051,3.885915,3.818186,3.852051,2.453539,84400
2006-02-02,3.852051,3.885915,3.792788,3.792788,2.415792,282100
2006-02-03,3.598069,3.623467,3.538807,3.547273,2.259413,152800
2006-02-06,3.581137,3.657331,3.581137,3.648865,2.324121,126500
2006-02-07,3.648865,3.691195,3.623467,3.640399,2.318729,191200
2006-02-08,3.598069,3.682729,3.521875,3.674263,2.340299,385400
2006-02-09,3.826652,4.122964,3.826652,4.046770,2.577564,3753700
2006-02-10,3.885915,3.894381,3.767390,3.775856,2.405007,1044700
2006-02-13,3.741992,3.809720,3.741992,3.758924,2.394222,237500
2006-02-14,3.767390,3.860517,3.767390,3.852051,2.453539,345900
2006-02-15,3.758924,3.767390,3.665797,3.750458,2.388830,684700
2006-02-16,3.809720,3.928245,3.809720,3.911313,2.491286,641400
2006-02-17,3.885915,3.911313,3.792788,3.826652,2.437362,382700
2006-02-21,3.767390,3.792788,3.665797,3.699662,2.356476,161300
2006-02-22,3.606535,3.682729,3.581137,3.615001,2.302552,387500
2006-02-23,3.572671,3.598069,3.513409,3.538807,2.254020,459800
2006-02-24,3.555739,3.572671,3.488010,3.513409,2.237843,467400
2006-02-27,3.488010,3.530341,3.488010,3.513409,2.237843,148500
2006-02-28,3.513409,3.513409,3.445680,3.471078,2.210881,119900
2006-03-01,3.555739,3.716594,3.538807,3.716594,2.367260,1404600
2006-03-02,3.716594,3.741992,3.674263,3.691195,2.351083,250600
2006-03-03,3.623467,3.640399,3.538807,3.598069,2.291767,294000
2006-03-06,3.606535,3.640399,3.564205,3.581137,2.280982,142500
2006-03-07,3.538807,3.538807,3.369486,3.386418,2.156957,1280300
2006-03-08,3.369486,3.445680,3.361020,3.428748,2.183919,114200
2006-03-09,3.437214,3.496477,3.437214,3.445680,2.194704,130900
2006-03-10,3.445680,3.479544,3.437214,3.454146,2.200097,220500
2006-03-13,3.555739,3.657331,3.555739,3.657331,2.329514,518400
2006-03-14,3.640399,3.674263,3.615001,3.657331,2.329514,591400
2006-03-15,3.682729,3.716594,3.665797,3.699662,2.356476,63200
2006-03-16,3.801254,3.852051,3.767390,3.767390,2.399615,687100
2006-03-17,3.733526,3.767390,3.716594,3.758924,2.394222,384600
2006-03-20,3.725060,3.741992,3.708128,3.733526,2.378045,368100
2006-03-21,3.691195,3.767390,3.691195,3.716594,2.367260,421800
2006-03-22,3.657331,3.665797,3.615001,3.648865,2.324121,163100
2006-03-23,3.589603,3.606535,3.564205,3.606535,2.297160,171400
2006-03-24,3.606535,3.674263,3.598069,3.640399,2.318729,241700
2006-03-27,3.640399,3.657331,3.615001,3.640399,2.318729,210400
2006-03-28,3.631933,3.691195,3.615001,3.648865,2.324121,66400
2006-03-29,3.750458,3.894381,3.741992,3.877449,2.469716,777200
2006-03-30,3.911313,3.995973,3.852051,3.852051,2.453539,278800
2006-03-31,3.953643,4.004439,3.911313,3.945177,2.512855,139000
2006-04-03,4.055235,4.165294,4.038303,4.072167,2.593741,437200
2006-04-04,4.021371,4.046770,4.004439,4.021371,2.561387,260800
2006-04-05,4.021371,4.156828,4.004439,4.148362,2.642273,358600
2006-04-06,4.148362,4.165294,4.122964,4.148362,2.642273,348600
2006-04-07,4.148362,4.182226,4.122964,4.139896,2.636880,159100
2006-04-10,4.173760,4.199158,4.148362,4.165294,2.653057,173600
2006-04-11,4.190692,4.207624,4.131430,4.131430,2.631488,298100
2006-04-12,4.097566,4.148362,4.097566,4.148362,2.642273,360000
2006-04-13,4.106032,4.173760,4.106032,4.165294,2.653057,97500
2006-04-17,4.156828,4.190692,4.106032,4.131430,2.631488,93500
2006-04-18,4.156828,4.309217,4.156828,4.309217,2.744728,1050700
2006-04-19,4.334615,4.419275,4.326149,4.402343,2.804044,655200
2006-04-20,4.419275,4.436208,4.368479,4.410810,2.809437,163100
2006-04-21,4.343081,4.385411,4.317683,4.351547,2.771690,162700
2006-04-24,4.385411,4.436208,4.360013,4.385411,2.793259,269700
2006-04-25,4.368479,4.368479,4.317683,4.326149,2.755513,139200
2006-04-26,4.571664,4.673257,4.529334,4.622460,2.944247,1683500
2006-04-27,4.800248,5.020365,4.783315,5.020365,3.197689,1019900
2006-04-28,5.071161,5.079627,4.935704,4.935704,3.143765,401900
2006-05-01,5.037297,5.071161,4.927238,4.969568,3.165334,623200
2006-05-02,5.003433,5.079627,4.952636,5.079627,3.235435,315500
2006-05-03,5.079627,5.121957,5.028831,5.121957,3.262398,537300
2006-05-04,5.155821,5.215084,5.138889,5.181220,3.300144,668200
2006-05-05,5.079627,5.121957,5.020365,5.071161,3.230043,564800
2006-05-08,5.079627,5.147356,5.037297,5.071161,3.230043,859900
2006-05-09,4.927238,4.927238,4.766383,4.783315,3.046702,899300
2006-05-10,4.740985,4.774849,4.656325,4.673257,2.976601,372100
2006-05-11,4.859510,4.867976,4.757917,4.783315,3.046702,644000
2006-05-12,4.774849,4.783315,4.740985,4.766383,3.035917,350600
2006-05-15,4.630927,4.639393,4.495470,4.580130,2.917284,315600
2006-05-16,4.495470,4.503936,4.444674,4.478538,2.852576,214800
2006-05-17,4.470072,4.546266,4.402343,4.427742,2.820221,763000
2006-05-18,4.453140,4.529334,4.436208,4.444674,2.831006,223400
2006-05-19,4.487004,4.520868,4.376945,4.495470,2.863361,487800
2006-05-22,4.478538,4.478538,4.334615,4.427742,2.820221,693300
2006-05-23,4.436208,4.436208,4.351547,4.351547,2.771690,265300
2006-05-24,4.376945,4.376945,4.173760,4.275352,2.723158,651800
2006-05-25,4.351547,4.427742,4.292285,4.376945,2.787867,413500
2006-05-26,4.444674,4.444674,4.343081,4.385411,2.793259,148200
2006-05-30,4.317683,4.368479,4.283819,4.283819,2.728551,111000
2006-05-31,4.309217,4.317683,4.275352,4.292285,2.733943,140900
2006-06-01,4.309217,4.495470,4.309217,4.487004,2.857968,704800
2006-06-02,4.571664,4.605528,4.537800,4.588596,2.922677,160400
2006-06-05,4.478538,4.478538,4.275352,4.275352,2.723158,587000
2006-06-06,4.199158,4.275352,4.173760,4.207624,2.680019,375800
2006-06-07,4.216090,4.224556,4.122964,4.139896,2.636880,640600
2006-06-08,3.979041,3.979041,3.809720,3.860517,2.458931,563800
2006-06-09,3.936711,3.979041,3.852051,3.902847,2.485893,183100
2006-06-12,3.809720,3.818186,3.691195,3.725060,2.372653,338800
2006-06-13,3.708128,3.708128,3.648865,3.665797,2.334906,231600
2006-06-14,3.691195,3.826652,3.691195,3.716594,2.367260,163300
2006-06-15,3.716594,3.894381,3.716594,3.885915,2.475108,753500
2006-06-16,3.936711,3.995973,3.928245,3.945177,2.512855,125700
2006-06-19,3.919779,4.021371,3.894381,3.936711,2.507463,97200
2006-06-20,3.826652,3.826652,3.674263,3.699662,2.356476,311700
2006-06-21,3.767390,3.911313,3.767390,3.860517,2.458931,186200
2006-06-22,3.860517,3.953643,3.843584,3.928245,2.502070,154300
2006-06-23,3.911313,3.945177,3.894381,3.911313,2.491286,56300
2006-06-26,3.962109,4.012905,3.962109,3.987507,2.539817,62500
2006-06-27,4.055235,4.122964,3.945177,3.945177,2.512855,406900
2006-06-28,4.021371,4.021371,3.928245,3.979041,2.534425,264000
2006-06-29,4.097566,4.258420,4.072167,4.249955,2.706982,233700
2006-06-30,4.233023,4.233023,4.173760,4.207624,2.680019,124800
2006-07-03,4.131430,4.199158,4.114498,4.190692,2.669235,63300
2006-07-05,4.055235,4.055235,3.953643,4.029838,2.566779,245600
2006-07-06,4.012905,4.131430,3.970575,3.979041,2.534425,167400
2006-07-07,3.979041,4.038303,3.945177,3.953643,2.518248,368900
2006-07-10,4.021371,4.072167,3.979041,3.995973,2.545209,60700
