Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,59.990002,60.610001,59.349998,60.450001,48.919167,1397100
2006-01-04,60.450001,61.570000,60.439999,61.349998,49.647495,1233100
2006-01-05,61.349998,61.619999,60.759998,60.919998,49.299519,711300
2006-01-06,61.000000,62.130001,61.000000,62.049999,50.213978,713000
2006-01-09,62.000000,62.230000,61.910000,62.200001,50.335365,492400
2006-01-10,61.799999,62.380001,61.799999,62.299999,50.416286,732500
2006-01-11,62.299999,62.349998,60.959999,61.110001,49.453274,1086100
2006-01-12,60.900002,61.029999,60.400002,60.900002,49.283333,813800
2006-01-13,61.099998,61.450001,61.049999,61.430000,49.712238,542400
2006-01-17,61.180000,61.259998,60.700001,60.840000,49.234783,773800
2006-01-18,60.599998,60.990002,60.369999,60.820000,49.218605,969600
2006-01-19,60.810001,60.820000,60.099998,60.500000,48.959621,1052700
2006-01-20,60.230000,60.299999,58.700001,58.970001,47.721462,1364200
2006-01-23,59.180000,59.400002,58.900002,59.209999,47.915695,975400
2006-01-24,59.009998,59.520000,58.880001,59.459999,48.118019,1192100
2006-01-25,59.459999,59.459999,58.689999,59.110001,47.834766,1097400
2006-01-26,62.500000,64.500000,62.500000,64.410004,52.123791,2879400
2006-01-27,63.150002,64.699997,61.869999,64.199997,51.953854,2002500
2006-01-30,64.000000,64.599998,63.750000,63.840000,51.662525,1101000
2006-01-31,63.700001,64.800003,63.689999,64.800003,52.439430,1786300
2006-02-01,64.139999,64.570000,63.730000,63.849998,51.670620,1065500
2006-02-02,63.430000,63.939999,63.099998,63.639999,51.500683,978800
2006-02-03,63.599998,63.880001,63.080002,63.270000,51.201256,693600
2006-02-06,62.869999,63.180000,62.349998,63.070000,51.039394,1019100
2006-02-07,63.060001,63.490002,62.950001,63.490002,51.379284,787700
2006-02-08,63.490002,63.660000,62.970001,63.520000,51.403576,643500
2006-02-09,63.480000,64.260002,63.250000,63.930000,51.735352,780400
2006-02-10,63.849998,64.459999,63.830002,64.330002,52.059067,669800
2006-02-13,64.099998,64.519997,63.900002,64.400002,52.115707,533200
2006-02-14,64.449997,65.540001,64.400002,65.239998,52.795479,917200
2006-02-15,65.150002,65.489998,64.900002,65.290001,52.835938,773100
2006-02-16,65.040001,65.660004,64.800003,65.519997,53.022064,619700
2006-02-17,65.419998,65.489998,65.099998,65.360001,52.892586,562500
2006-02-21,65.550003,65.550003,64.099998,64.440002,52.148083,924300
2006-02-22,64.800003,65.769997,64.800003,65.760002,53.216286,1026000
2006-02-23,65.309998,65.599998,65.050003,65.459999,52.973518,647100
2006-02-24,65.459999,65.769997,65.250000,65.449997,52.965408,692000
2006-02-27,65.470001,65.699997,65.320000,65.449997,52.965408,898300
2006-02-28,64.760002,65.000000,63.849998,63.849998,51.670620,1094800
2006-03-01,63.650002,65.459999,63.650002,65.309998,52.852139,983900
2006-03-02,64.800003,65.190002,64.379997,64.989998,52.593159,913000
2006-03-03,64.980003,65.059998,64.389999,64.430000,52.139996,581200
2006-03-06,64.529999,64.599998,63.180000,63.459999,51.355007,698800
2006-03-07,63.459999,63.590000,62.380001,62.689999,50.731892,1356900
2006-03-08,62.500000,63.000000,62.150002,62.799999,50.995808,951100
2006-03-09,62.790001,63.419998,62.389999,62.860001,51.044529,833100
2006-03-10,62.389999,63.270000,62.110001,62.880001,51.060768,998200
2006-03-13,62.849998,63.740002,62.790001,63.599998,51.645416,749100
2006-03-14,63.560001,64.269997,63.389999,64.230003,52.157017,792500
