Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,22.735001,23.040001,22.684999,22.965000,12.940056,135200
2006-01-04,22.799999,22.870001,22.740000,22.850000,12.875256,122800
2006-01-05,22.670000,22.670000,22.504999,22.520000,12.689310,97200
2006-01-06,22.650000,22.815001,22.629999,22.799999,12.847085,63000
2006-01-09,22.735001,22.745001,22.545000,22.705000,12.793557,89800
2006-01-10,22.590000,22.684999,22.575001,22.650000,12.762559,104400
2006-01-11,22.315001,22.575001,22.209999,22.504999,12.680863,132200
2006-01-12,21.855000,22.045000,21.844999,21.940001,12.362498,100400
2006-01-13,22.305000,22.389999,22.209999,22.385000,12.613241,209400
2006-01-17,21.965000,22.240000,21.915001,22.150000,12.480828,139800
2006-01-18,22.225000,22.334999,22.035000,22.105000,12.455473,134800
2006-01-19,22.450001,22.490000,21.750000,22.325001,12.579435,300400
2006-01-20,22.420000,22.535000,22.350000,22.485001,12.669586,124000
2006-01-23,22.590000,22.645000,22.475000,22.590000,12.728755,127000
2006-01-24,22.540001,22.615000,22.450001,22.584999,12.725937,66000
2006-01-25,22.690001,22.815001,22.530001,22.790001,12.841452,71400
2006-01-26,22.600000,22.625000,22.525000,22.575001,12.720304,49200
2006-01-27,22.245001,22.350000,22.200001,22.309999,12.570982,59200
2006-01-30,22.125000,22.309999,22.120001,22.305000,12.568168,172400
2006-01-31,22.590000,22.900000,22.545000,22.900000,12.903430,426200
2006-02-01,22.700001,22.995001,22.684999,22.920000,12.914698,239000
2006-02-02,22.754999,23.000000,22.754999,22.834999,12.866806,118400
2006-02-03,22.674999,22.850000,22.625000,22.850000,12.875256,147400
2006-02-06,22.750000,22.934999,22.645000,22.900000,12.903430,249000
2006-02-07,22.389999,22.450001,22.209999,22.410000,12.627331,162800
2006-02-08,22.355000,22.469999,22.299999,22.450001,12.649871,64600
2006-02-09,22.850000,23.309999,22.840000,23.170000,13.055567,185600
2006-02-10,23.000000,23.094999,22.530001,22.950001,12.931602,184200
2006-02-13,22.790001,22.980000,22.750000,22.879999,12.892158,183400
2006-02-14,22.555000,22.745001,22.450001,22.719999,12.802005,163000
2006-02-15,22.930000,23.014999,22.870001,23.014999,12.968227,134800
2006-02-16,22.725000,22.934999,22.600000,22.924999,12.917517,122800
2006-02-17,22.809999,22.965000,22.809999,22.930000,12.920336,75600
2006-02-21,23.170000,23.215000,23.100000,23.100000,13.016127,48400
2006-02-22,23.150000,23.309999,23.150000,23.295000,13.126000,81000
2006-02-23,23.370001,23.459999,23.205000,23.309999,13.134451,70400
2006-02-24,23.275000,23.340000,23.205000,23.309999,13.134451,74800
2006-02-27,23.225000,23.445000,23.125000,23.424999,13.199246,77200
2006-02-28,23.879999,24.080000,23.840000,23.940001,13.489439,109000
2006-03-01,24.275000,24.670000,24.219999,24.670000,13.900770,883400
2006-03-02,24.344999,24.764999,24.344999,24.730000,13.934578,353600
2006-03-03,24.730000,24.959999,24.610001,24.910000,14.036002,226000
2006-03-06,25.285000,25.365000,25.135000,25.250000,14.227582,140600
2006-03-07,25.025000,25.275000,24.955000,25.260000,14.233218,253800
2006-03-08,24.825001,24.924999,24.625000,24.889999,14.369173,175800
2006-03-09,25.004999,25.145000,25.004999,25.049999,14.461538,217800
2006-03-10,24.740000,25.014999,24.730000,24.940001,14.398034,185600
2006-03-13,24.860001,25.030001,24.844999,25.030001,14.449996,98200
2006-03-14,24.770000,25.120001,24.750000,25.059999,14.467313,106600
2006-03-15,25.070000,25.200001,25.030001,25.195000,14.545250,104200
2006-03-16,25.750000,25.754999,25.625000,25.730000,14.854111,62400
2006-03-17,25.500000,25.785000,25.420000,25.674999,14.822359,209400
2006-03-20,25.465000,25.815001,25.379999,25.730000,14.854111,136800
2006-03-21,25.350000,25.365000,25.160000,25.170000,14.530820,101600
2006-03-22,25.155001,25.200001,25.100000,25.110001,14.496179,336400
2006-03-23,25.049999,25.049999,24.725000,24.865000,14.354739,160200
2006-03-24,24.820000,24.875000,24.750000,24.875000,14.360511,170800
2006-03-27,24.775000,24.795000,24.655001,24.719999,14.271028,89200
2006-03-28,24.530001,24.545000,24.320000,24.320000,14.040107,109800
2006-03-29,24.295000,24.389999,24.250000,24.355000,14.060312,87000
2006-03-30,24.430000,24.684999,24.430000,24.670000,14.242166,95200
2006-03-31,24.375000,24.415001,24.270000,24.299999,14.028558,128400
2006-04-03,23.875000,24.219999,23.840000,24.150000,13.941968,109400
2006-04-04,24.290001,24.700001,24.290001,24.674999,14.245053,168000
2006-04-05,24.309999,24.370001,24.195000,24.330000,14.045879,190400
2006-04-06,24.549999,24.645000,24.525000,24.610001,14.207525,58400
2006-04-07,24.375000,24.375000,24.170000,24.260000,14.005468,130000
2006-04-10,24.049999,24.135000,23.895000,24.070000,13.895782,87400
