Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,19.260000,19.370001,19.000000,19.270000,7.529052,2093200
2006-01-04,19.320000,19.360001,19.129999,19.180000,7.493887,1536400
2006-01-05,19.200001,19.360001,19.180000,19.350000,7.560305,1076700
2006-01-06,19.410000,19.639999,19.340000,19.490000,7.615008,1065200
2006-01-09,19.410000,19.469999,19.129999,19.309999,7.544678,1882500
2006-01-10,19.350000,19.540001,19.299999,19.469999,7.607193,1387500
2006-01-11,19.500000,19.549999,19.430000,19.510000,7.622822,1845800
2006-01-12,19.260000,19.440001,19.260000,19.389999,7.575934,1172000
2006-01-13,19.459999,19.500000,19.389999,19.469999,7.607193,832100
2006-01-17,19.480000,19.480000,19.299999,19.450001,7.599381,1045000
2006-01-18,19.440001,19.490000,19.059999,19.190001,7.497793,1071000
2006-01-19,19.170000,19.219999,19.010000,19.090000,7.458723,830900
2006-01-20,19.100000,19.230000,19.010000,19.100000,7.462630,1348800
2006-01-23,19.180000,19.240000,19.070000,19.120001,7.470441,678700
2006-01-24,19.200001,19.309999,19.160000,19.190001,7.497793,1228800
2006-01-25,19.299999,19.309999,18.940001,18.980000,7.415745,854200
2006-01-26,19.100000,19.299999,19.049999,19.100000,7.462630,664600
2006-01-27,19.030001,19.379999,18.959999,19.360001,7.564215,1037300
2006-01-30,19.750000,19.990000,19.709999,19.910000,7.779104,1887900
2006-01-31,19.950001,20.090000,19.700001,19.740000,7.712685,1564000
2006-02-01,19.620001,19.920000,19.620001,19.719999,7.704872,1060700
2006-02-02,19.750000,19.760000,19.530001,19.570000,7.646262,725100
2006-02-03,19.549999,19.670000,19.150000,19.230000,7.513420,1591200
2006-02-06,19.250000,19.450001,19.200001,19.340000,7.556399,1171200
2006-02-07,19.360001,19.459999,19.170000,19.389999,7.575934,1024800
2006-02-08,19.330000,19.540001,19.309999,19.459999,7.603283,977000
2006-02-09,19.799999,20.320000,19.799999,20.090000,7.849435,2269200
2006-02-10,19.950001,20.080000,19.650000,19.790001,7.732220,1948700
2006-02-13,19.750000,19.790001,19.459999,19.639999,7.673612,1427900
2006-02-14,19.650000,19.820000,19.530001,19.760000,7.720500,1586900
2006-02-15,19.809999,19.809999,19.580000,19.650000,7.677520,975200
2006-02-16,19.620001,19.780001,19.600000,19.690001,7.693149,933900
2006-02-17,19.629999,19.709999,19.320000,19.600000,7.657984,1438700
2006-02-21,19.580000,19.790001,19.559999,19.680000,7.689242,873900
2006-02-22,19.750000,19.770000,19.580000,19.620001,7.665798,838800
2006-02-23,19.620001,19.690001,19.500000,19.650000,7.677520,941100
2006-02-24,19.629999,19.740000,19.520000,19.580000,7.650173,581000
2006-02-27,19.650000,19.790001,19.559999,19.750000,7.716593,721600
2006-02-28,19.660000,19.730000,19.570000,19.650000,7.677520,1265700
2006-03-01,19.700001,20.090000,19.700001,19.950001,7.794734,1957900
2006-03-02,19.820000,19.820000,19.459999,19.469999,7.607193,2640400
2006-03-03,19.379999,19.690001,19.290001,19.530001,7.630635,2271500
2006-03-06,19.480000,19.870001,19.480000,19.600000,7.657984,1772100
2006-03-07,19.590000,19.790001,19.559999,19.790001,7.732220,1185100
2006-03-08,19.799999,20.000000,19.740000,19.889999,7.771291,1932100
2006-03-09,19.850000,20.000000,19.740000,19.900000,7.775200,907700
2006-03-10,19.959999,20.230000,19.950001,20.219999,7.900227,1003000
2006-03-13,20.209999,20.350000,20.090000,20.200001,7.892414,982100
2006-03-14,20.139999,20.360001,20.070000,20.320000,7.939298,1766400
2006-03-15,20.209999,20.309999,19.980000,20.230000,7.927543,1099100
2006-03-16,20.730000,20.889999,20.570000,20.690001,8.107805,2639700
2006-03-17,20.799999,20.850000,20.690001,20.760000,8.135234,1451400
2006-03-20,20.730000,20.780001,20.530001,20.719999,8.119558,1307100
2006-03-21,20.660000,20.860001,20.520000,20.750000,8.131314,1271800
2006-03-22,20.770000,20.930000,20.709999,20.860001,8.174421,1000100
2006-03-23,20.780001,20.820000,20.629999,20.790001,8.146990,1034700
2006-03-24,20.709999,20.799999,20.520000,20.730000,8.123477,682600
2006-03-27,20.620001,20.660000,20.410000,20.590000,8.068617,1374300
2006-03-28,20.540001,20.660000,20.379999,20.600000,8.072536,1140100
2006-03-29,20.639999,20.650000,20.370001,20.440001,8.009836,1121200
2006-03-30,20.379999,20.400000,20.139999,20.270000,7.943219,913700
2006-03-31,20.230000,20.400000,20.180000,20.340000,7.970650,1094400
2006-04-03,20.440001,20.490000,20.320000,20.430000,8.005914,1103000
2006-04-04,20.379999,20.430000,20.129999,20.410000,7.998078,1218300
2006-04-05,20.750000,20.879999,20.540001,20.780001,8.143070,2387100
2006-04-06,20.790001,20.840000,20.590000,20.639999,8.088211,1494000
2006-04-07,20.690001,20.770000,20.520000,20.600000,8.072536,2016700
2006-04-10,20.660000,20.700001,20.530001,20.600000,8.072536,991600
2006-04-11,20.650000,20.690001,20.360001,20.400000,7.994163,1026900
2006-04-12,20.459999,20.540001,20.410000,20.440001,8.009836,663300
2006-04-13,20.400000,20.440001,20.230000,20.299999,7.954971,527400
2006-04-17,20.260000,20.270000,20.110001,20.180000,7.907948,673000
2006-04-18,20.150000,20.350000,20.120001,20.330000,7.966729,1074600
2006-04-19,20.250000,20.440001,20.150000,20.200001,7.915786,2933100
2006-04-20,20.170000,20.570000,20.170000,20.490000,8.029428,1701400
2006-04-21,20.580000,20.600000,20.400000,20.540001,8.049022,1129400
2006-04-24,20.480000,20.770000,20.440001,20.670000,8.099966,1204500
2006-04-25,20.639999,20.830000,20.549999,20.680000,8.103884,1722200
2006-04-26,20.799999,20.950001,20.549999,20.549999,8.052938,1938000
2006-04-27,20.450001,20.590000,19.920000,19.959999,7.821736,2038900
2006-04-28,20.030001,20.040001,19.450001,19.530001,7.653234,2996500
2006-05-01,19.690001,19.860001,19.530001,19.580000,7.672824,2019700
2006-05-02,19.650000,19.660000,19.350000,19.510000,7.645399,1932800
2006-05-03,19.450001,19.629999,19.250000,19.629999,7.692420,1102900
2006-05-04,19.629999,19.780001,19.580000,19.709999,7.723770,1241100
2006-05-05,19.820000,19.870001,19.600000,19.730000,7.731606,1619000
2006-05-08,19.740000,20.170000,19.709999,19.840000,7.774715,2041000
2006-05-09,19.799999,19.910000,19.650000,19.889999,7.794307,852100
2006-05-10,19.820000,19.950001,19.750000,19.770000,7.747284,1268100
2006-05-11,19.760000,19.799999,19.389999,19.450001,7.621884,1335300
2006-05-12,19.440001,19.690001,19.389999,19.559999,7.664988,1273500
2006-05-15,19.629999,19.809999,19.450001,19.809999,7.762955,1320200
2006-05-16,19.790001,19.850000,19.670000,19.799999,7.759039,1119100
2006-05-17,19.700001,19.799999,19.420000,19.440001,7.617965,1194200
2006-05-18,19.430000,19.670000,19.240000,19.299999,7.563103,1979100
2006-05-19,19.389999,19.620001,19.200001,19.549999,7.661071,1279200
2006-05-22,19.480000,19.629999,19.340000,19.480000,7.633640,1352400
2006-05-23,19.480000,19.639999,19.440001,19.459999,7.625802,2654500
2006-05-24,19.430000,19.600000,19.420000,19.549999,7.661071,2779200
2006-05-25,19.600000,19.799999,19.459999,19.790001,7.755117,1946900
2006-05-26,19.799999,19.830000,19.660000,19.690001,7.715935,756200
2006-05-30,19.690001,19.700001,19.430000,19.600000,7.680663,1508800
2006-05-31,19.590000,19.700001,19.530001,19.660000,7.704179,1444600
2006-06-01,19.690001,19.799999,19.660000,19.770000,7.747284,819700
2006-06-02,19.760000,19.870001,19.700001,19.840000,7.774715,982800
2006-06-05,19.799999,19.799999,19.549999,19.559999,7.664988,1027800
2006-06-06,19.610001,19.660000,19.250000,19.459999,7.625802,1112900
2006-06-07,19.459999,19.650000,19.320000,19.500000,7.641478,1252700
2006-06-08,19.500000,19.600000,19.290001,19.400000,7.602290,1149300
2006-06-09,19.370001,19.549999,19.280001,19.360001,7.586614,577800
2006-06-12,19.379999,19.440001,19.299999,19.350000,7.582698,838800
2006-06-13,19.320000,19.400000,19.219999,19.309999,7.567020,1471000
2006-06-14,19.290001,19.320000,18.830000,18.879999,7.421577,2352600
2006-06-15,19.049999,19.350000,18.870001,19.299999,7.586676,2307700
2006-06-16,19.170000,19.340000,19.120001,19.150000,7.527713,1214000
2006-06-19,19.180000,19.340000,19.120001,19.170000,7.535574,968300
2006-06-20,19.160000,19.309999,19.139999,19.219999,7.555225,966800
2006-06-21,19.600000,19.719999,19.469999,19.660000,7.728189,1753700
2006-06-22,19.600000,19.700001,19.549999,19.639999,7.720327,1198300
2006-06-23,19.559999,19.639999,19.420000,19.469999,7.653501,961100
2006-06-26,19.469999,19.629999,19.430000,19.600000,7.704605,1264700
2006-06-27,19.600000,19.629999,19.520000,19.580000,7.696740,1587900
2006-06-28,19.600000,19.639999,19.530001,19.590000,7.700675,1183500
2006-06-29,19.629999,19.990000,19.610001,19.930000,7.834325,3002300
2006-06-30,19.980000,20.459999,19.959999,20.370001,8.007282,2594100
2006-07-03,20.240000,20.330000,20.070000,20.320000,7.987628,573600
2006-07-05,20.070000,20.330000,20.059999,20.240000,7.956183,1291700
2006-07-06,20.280001,20.549999,20.250000,20.520000,8.066251,2111900
2006-07-07,20.450001,20.549999,20.340000,20.389999,8.015144,1317000
2006-07-10,20.389999,20.670000,20.389999,20.580000,8.089835,991600
2006-07-11,20.750000,21.299999,20.639999,21.010000,8.258864,2662400
2006-07-12,20.879999,21.049999,20.580000,20.610001,8.101625,1671700
2006-07-13,20.510000,20.639999,20.260000,20.400000,8.019075,1398800
2006-07-14,20.389999,20.549999,20.200001,20.260000,7.964045,766400
2006-07-17,20.180000,20.520000,20.180000,20.480000,8.050522,1059100
2006-07-18,20.500000,21.080000,20.120001,21.040001,8.270656,3232000
2006-07-19,21.010000,21.250000,20.910000,21.100000,8.294243,1503900
2006-07-20,21.059999,21.290001,21.030001,21.049999,8.274587,1026900
2006-07-21,21.049999,21.219999,20.850000,21.209999,8.337482,1189700
2006-07-24,21.330000,21.590000,21.260000,21.510000,8.455410,3043600
2006-07-25,21.230000,21.639999,21.200001,21.549999,8.471130,1514500
2006-07-26,21.700001,21.830000,21.540001,21.590000,8.486858,2006200
2006-07-27,21.650000,21.830000,21.350000,21.400000,8.412168,1475300
2006-07-28,21.500000,21.730000,21.389999,21.549999,8.471130,1525900
