Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,26.910000,26.969999,26.410000,26.900000,23.506741,918200
2006-01-04,26.969999,27.590000,26.959999,27.459999,23.996099,1504700
2006-01-05,27.410000,27.799999,27.379999,27.790001,24.284472,1601400
2006-01-06,27.790001,28.200001,27.790001,28.120001,24.572847,1422100
2006-01-09,28.100000,29.059999,28.100000,29.010000,25.350574,3552800
2006-01-10,29.000000,29.000000,28.330000,28.780001,25.149590,1357100
2006-01-11,28.830000,29.250000,28.830000,29.190001,25.507870,1080100
2006-01-12,29.200001,29.340000,29.000000,29.139999,25.464180,1145900
2006-01-13,29.100000,29.250000,29.000000,29.120001,25.446705,912700
2006-01-17,28.900000,28.950001,28.379999,28.540001,24.939869,1172100
2006-01-18,28.450001,29.590000,28.200001,29.520000,25.796242,1779300
2006-01-19,29.520000,29.969999,29.510000,29.860001,26.093359,916100
2006-01-20,30.000000,30.030001,29.610001,29.690001,25.944799,1235400
2006-01-23,29.799999,29.820000,29.389999,29.469999,25.752550,856600
2006-01-24,29.469999,30.730000,29.440001,30.500000,26.652624,1272000
2006-01-25,30.559999,30.650000,29.959999,30.100000,26.303082,784500
2006-01-26,29.940001,30.170000,29.719999,30.120001,26.320560,792300
2006-01-27,30.120001,30.219999,30.000000,30.139999,26.338036,425900
2006-01-30,30.000000,30.500000,29.990000,30.459999,26.617668,552100
2006-01-31,30.709999,31.700001,30.709999,31.629999,27.640081,1663800
2006-02-01,31.629999,32.389999,31.450001,32.310001,28.234304,1382800
2006-02-02,32.310001,32.310001,31.790001,31.879999,27.858541,798600
2006-02-03,31.799999,31.860001,31.080000,31.160000,27.229368,864700
2006-02-06,31.260000,32.060001,31.260000,31.750000,27.744947,904600
2006-02-07,32.000000,32.770000,31.750000,32.000000,27.963409,986800
2006-02-08,31.900000,32.230000,31.500000,32.000000,27.963409,1260400
2006-02-09,32.049999,32.049999,30.860001,31.000000,27.089556,824900
2006-02-10,31.040001,31.150000,30.700001,30.850000,26.958473,1266700
2006-02-13,30.700001,30.900000,30.200001,30.200001,26.390467,1137300
2006-02-14,30.350000,30.570000,29.160000,29.410000,25.700119,2149600
2006-02-15,29.600000,29.879999,29.549999,29.610001,25.874893,876000
2006-02-16,29.620001,30.510000,29.469999,30.510000,26.661360,1106500
2006-02-17,30.510000,30.600000,30.299999,30.340000,26.512808,934900
2006-02-21,30.350000,30.629999,30.330000,30.500000,26.652624,1780200
2006-02-22,30.500000,30.760000,30.129999,30.760000,26.879827,1348500
2006-02-23,30.690001,30.930000,30.440001,30.889999,26.993425,713300
2006-02-24,30.840000,31.450001,30.840000,31.290001,27.342972,1065500
2006-02-27,31.290001,31.799999,31.280001,31.570000,27.587652,957400
2006-02-28,31.600000,31.700001,30.950001,31.350000,27.395401,763500
2006-03-01,31.350000,31.389999,29.830000,29.889999,26.119570,3206800
2006-03-02,29.980000,30.870001,29.900000,30.830000,26.940994,1009600
2006-03-03,30.830000,31.230000,30.520000,30.750000,26.871088,729500
2006-03-06,30.740000,31.250000,30.670000,30.940001,27.037119,912600
2006-03-07,30.900000,30.900000,30.000000,30.190001,26.381731,1007300
2006-03-08,30.090000,30.370001,29.549999,30.290001,26.469118,1297800
2006-03-09,30.299999,31.040001,30.139999,30.350000,26.521545,949300
2006-03-10,30.150000,30.500000,30.150000,30.190001,26.381731,939200
2006-03-13,30.250000,30.290001,29.680000,29.709999,25.962273,1351800
2006-03-14,29.700001,30.240000,29.629999,30.200001,26.390467,1010900
2006-03-15,31.150000,31.150000,29.299999,29.360001,25.656429,1817900
2006-03-16,29.400000,29.879999,29.180000,29.250000,25.560303,1180900
2006-03-17,29.400000,29.440001,29.080000,29.100000,25.429226,975300
2006-03-20,29.160000,29.799999,29.059999,29.760000,26.005970,993800
2006-03-21,29.600000,29.969999,29.219999,29.250000,25.560303,817000
2006-03-22,29.400000,29.700001,29.100000,29.120001,25.446705,959200
2006-03-23,29.020000,29.100000,28.650000,28.799999,25.167068,2075700
