Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,23.124769,23.537264,22.974770,23.512264,12.005996,1289200
2006-01-04,23.612265,23.687263,23.399767,23.612265,12.057060,471600
2006-01-05,23.124769,23.499765,23.124769,23.424767,11.961321,800000
2006-01-06,23.187267,23.499765,23.187267,23.437265,11.967703,944200
2006-01-09,23.437265,23.712263,23.374765,23.624763,12.063443,802100
2006-01-10,23.312267,23.487265,23.212269,23.474766,11.986851,428500
2006-01-11,23.387266,23.512264,23.349766,23.487265,11.993234,922300
2006-01-12,23.374765,23.462265,23.312267,23.387266,11.942173,795600
2006-01-13,23.287268,23.312267,23.074770,23.149769,11.820899,1179600
2006-01-17,22.874771,22.962271,22.749773,22.937271,11.712391,572800
2006-01-18,22.624773,22.874771,22.574774,22.812271,11.648563,746100
2006-01-19,22.624773,22.737272,22.312277,22.387276,11.431549,1192800
2006-01-20,22.037279,22.399776,21.924780,22.274776,11.374104,1795900
2006-01-23,22.274776,22.974770,22.274776,22.812271,11.648563,838300
2006-01-24,22.812271,23.287268,22.812271,23.212269,11.852815,1524700
2006-01-25,23.174768,23.324766,23.149769,23.249767,11.871959,580000
2006-01-26,23.124769,23.224768,22.937271,23.137268,11.814515,956200
2006-01-27,23.062269,23.362267,23.037270,23.237268,11.865579,857600
2006-01-30,23.187267,23.312267,23.112268,23.249767,11.871959,1196800
2006-01-31,23.249767,23.324766,23.162268,23.274767,11.884727,1095900
2006-02-01,23.187267,23.249767,23.162268,23.224768,11.859194,689800
2006-02-02,23.062269,23.224768,23.062269,23.187267,11.840049,848700
2006-02-03,22.937271,22.999769,22.749773,22.937271,11.712391,775000
2006-02-06,22.887272,22.987270,22.774773,22.812271,11.648563,1133300
2006-02-07,22.749773,23.049770,22.737272,22.974770,11.731538,860500
2006-02-08,22.687273,22.737272,22.424776,22.487276,11.482613,856300
2006-02-09,22.749773,22.824772,22.437275,22.512276,11.495378,2793000
2006-02-10,22.749773,22.987270,22.599773,22.849771,11.667711,1233800
2006-02-13,23.062269,23.099770,22.987270,23.024769,11.757070,1536000
2006-02-14,23.062269,23.087269,22.949770,22.962271,11.725157,1199300
2006-02-15,22.812271,23.374765,22.762272,23.262268,11.878344,1175200
2006-02-16,23.687263,23.899761,23.549765,23.812262,12.159185,1157800
2006-02-17,23.762262,23.937260,23.749762,23.874762,12.191101,1020600
2006-02-21,23.687263,23.749762,23.599764,23.737263,12.120888,1207200
2006-02-22,23.674763,23.924761,23.587265,23.899761,12.203866,958000
2006-02-23,23.774763,24.249758,23.749762,24.087259,12.299605,1414000
2006-02-24,23.999760,24.087259,23.899761,23.924761,12.216630,977400
