Date,Open,High,Low,Close,Adj Close,Volume
2007-05-15,7.250000,7.350000,7.000000,7.050000,7.050000,25569200
2007-05-16,7.025000,7.220000,7.025000,7.175000,7.175000,4930400
2007-05-17,7.200000,7.325000,7.060000,7.250000,7.250000,1979800
2007-05-18,7.250000,7.385000,7.175000,7.325000,7.325000,1927400
2007-05-21,7.325000,7.375000,7.200000,7.300000,7.300000,954800
2007-05-22,7.350000,7.350000,7.105000,7.300000,7.300000,713600
2007-05-23,7.250000,7.510000,7.175000,7.470000,7.470000,1836200
2007-05-24,7.425000,7.485000,7.300000,7.400000,7.400000,980600
2007-05-25,7.400000,7.495000,7.340000,7.475000,7.475000,981400
2007-05-29,7.500000,7.525000,7.305000,7.490000,7.490000,1783400
2007-05-30,7.450000,7.540000,7.400000,7.405000,7.405000,1286800
2007-05-31,7.370000,7.475000,7.350000,7.450000,7.450000,591200
2007-06-01,7.485000,7.485000,7.375000,7.425000,7.425000,562200
2007-06-04,7.425000,7.470000,7.360000,7.390000,7.390000,1166000
2007-06-05,7.340000,7.510000,7.340000,7.500000,7.500000,801200
2007-06-06,7.500000,7.520000,7.375000,7.390000,7.390000,701400
2007-06-07,7.390000,7.525000,7.255000,7.450000,7.450000,642800
2007-06-08,7.475000,7.505000,7.360000,7.470000,7.470000,187800
2007-06-11,7.470000,7.510000,7.470000,7.500000,7.500000,316000
2007-06-12,7.400000,7.695000,7.365000,7.695000,7.695000,819600
2007-06-13,7.650000,7.960000,7.585000,7.900000,7.900000,848000
2007-06-14,7.760000,7.950000,7.750000,7.945000,7.945000,658200
2007-06-15,7.910000,8.080000,7.800000,8.060000,8.060000,815000
2007-06-18,7.975000,8.200000,7.905000,7.920000,7.920000,678600
2007-06-19,7.850000,7.960000,7.805000,7.900000,7.900000,438200
2007-06-20,7.900000,8.160000,7.830000,7.995000,7.995000,983000
2007-06-21,8.000000,8.060000,7.850000,7.855000,7.855000,437600
2007-06-22,7.855000,7.980000,7.730000,7.875000,7.875000,2263600
2007-06-25,7.925000,8.100000,7.925000,8.010000,8.010000,1306600
2007-06-26,8.140000,8.200000,7.950000,8.015000,8.015000,734800
2007-06-27,8.030000,8.100000,7.965000,8.005000,8.005000,395600
2007-06-28,8.005000,8.050000,7.920000,7.945000,7.945000,219600
