Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,32.799999,32.900002,32.270000,32.750000,22.593117,368600
2006-01-04,32.820000,33.759998,32.820000,33.430000,23.062223,253300
2006-01-05,33.430000,33.470001,33.119999,33.160000,22.875961,132600
2006-01-06,33.200001,33.650002,33.200001,33.599998,23.179497,235100
2006-01-09,33.549999,33.549999,33.230000,33.369999,23.020830,106300
2006-01-10,33.369999,33.369999,32.730000,33.000000,22.765579,355000
2006-01-11,33.000000,33.130001,32.830002,33.000000,22.765579,238100
2006-01-12,33.009998,33.200001,32.840000,33.070000,22.813875,280200
2006-01-13,33.000000,33.310001,32.959999,33.310001,22.979446,164900
2006-01-17,33.150002,33.180000,32.669998,32.889999,22.689701,230300
2006-01-18,32.700001,33.009998,32.660000,32.889999,22.689701,113900
2006-01-19,32.980000,33.000000,32.430000,32.490002,22.413752,242800
2006-01-20,32.549999,32.630001,31.809999,31.940001,22.034328,230400
2006-01-23,32.049999,32.310001,31.969999,32.160000,22.186092,176100
2006-01-24,32.240002,32.439999,31.879999,32.029999,22.096413,137400
2006-01-25,32.029999,32.200001,31.969999,32.200001,22.213697,193600
2006-01-26,32.320000,32.680000,32.320000,32.560001,22.462042,143800
2006-01-27,32.540001,32.549999,32.189999,32.240002,22.241287,196300
2006-01-30,32.320000,32.380001,31.950001,32.020000,22.089512,324200
2006-01-31,31.969999,31.969999,31.530001,31.620001,21.813566,317300
2006-02-01,31.650000,31.879999,31.260000,31.629999,21.820471,328700
2006-02-02,31.530001,31.709999,31.320000,31.680000,21.854958,353700
2006-02-03,31.580000,31.610001,31.240000,31.450001,21.696291,231900
2006-02-06,31.520000,31.540001,31.000000,31.190001,21.516932,335000
2006-02-07,31.250000,31.260000,30.670000,30.920000,21.330664,353100
2006-02-08,31.000000,31.150000,30.809999,31.100000,21.454838,253400
2006-02-09,31.070000,31.070000,30.790001,30.830000,21.268570,343300
2006-02-10,30.750000,31.139999,30.750000,30.840000,21.275467,318600
2006-02-13,30.830000,31.219999,30.549999,31.080000,21.441040,298800
2006-02-14,31.120001,31.580000,30.980000,31.360001,21.634207,386700
2006-02-15,31.440001,31.730000,31.290001,31.400000,21.661797,384800
2006-02-16,31.230000,31.480000,31.030001,31.180000,21.510023,397700
2006-02-17,31.120001,31.290001,30.940001,31.059999,21.427238,243400
2006-02-21,31.020000,31.030001,30.580000,30.799999,21.247877,358600
2006-02-22,30.799999,31.320000,30.790001,31.200001,21.523821,499400
2006-02-23,31.010000,31.370001,30.700001,31.260000,21.565214,424800
2006-02-24,31.340000,31.340000,30.620001,30.850000,21.282372,805500
2006-02-27,30.809999,31.200001,30.809999,31.049999,21.420345,774100
2006-02-28,30.990000,31.049999,30.709999,30.920000,21.330664,1068900
2006-03-01,30.990000,31.389999,30.920000,31.270000,21.572111,748900
2006-03-02,31.120001,31.260000,30.379999,30.540001,21.068512,775300
2006-03-03,30.459999,30.559999,30.100000,30.320000,20.916742,521800
2006-03-06,30.320000,30.430000,30.170000,30.260000,20.875349,269500
2006-03-07,30.250000,30.430000,30.110001,30.240000,20.861549,1141700
2006-03-08,30.139999,30.450001,30.040001,30.320000,20.916742,733400
2006-03-09,30.450001,30.450001,29.719999,29.879999,20.613199,804800
2006-03-10,29.879999,30.480000,29.860001,30.350000,20.937443,691500
2006-03-13,31.750000,32.060001,30.920000,31.860001,21.979141,1287900
2006-03-14,31.910000,32.299999,31.850000,32.110001,22.151600,565600
2006-03-15,32.230000,32.590000,32.020000,32.549999,22.455143,542100
2006-03-16,32.529999,32.599998,32.200001,32.439999,22.379253,319400
2006-03-17,32.580002,32.689999,32.150002,32.470001,22.399952,281700
2006-03-20,32.500000,32.759998,32.360001,32.540001,22.448246,212100
2006-03-21,32.520000,32.889999,32.230000,32.299999,22.282677,427000
2006-03-22,32.349998,32.349998,31.730000,32.189999,22.206791,593200
2006-03-23,32.130001,32.200001,31.650000,31.770000,21.917049,466300
2006-03-24,31.809999,31.959999,31.540001,31.870001,21.986040,291700
2006-03-27,31.870001,31.980000,31.540001,31.959999,22.048120,406500
2006-03-28,31.990000,32.029999,31.799999,31.900000,22.006731,730400
2006-03-29,31.850000,32.349998,31.850000,32.290001,22.275774,840600
2006-03-30,32.299999,32.349998,32.090000,32.200001,22.213697,304800
2006-03-31,32.160000,32.259998,31.660000,31.840000,21.965334,580100
2006-04-03,32.000000,32.560001,31.879999,32.349998,22.317167,513100
2006-04-04,32.330002,32.410000,31.950001,32.119999,22.158495,264200
2006-04-05,32.090000,32.430000,32.080002,32.279999,22.268879,286800
2006-04-06,32.279999,32.279999,31.730000,31.840000,21.965334,484200
2006-04-07,31.940001,32.200001,31.250000,31.330000,21.613510,298000
2006-04-10,31.330000,31.330000,30.920000,30.969999,21.365152,547200
2006-04-11,31.030001,31.150000,30.860001,30.950001,21.351357,429700
2006-04-12,31.030001,31.260000,30.850000,31.070000,21.434141,386500
2006-04-13,31.100000,31.139999,30.950001,31.020000,21.399647,205400
2006-04-17,31.030001,31.150000,30.959999,31.059999,21.427238,186800
2006-04-18,31.080000,31.170000,31.000000,31.040001,21.413445,230900
2006-04-19,31.000000,31.700001,31.000000,31.590000,21.792875,416000
2006-04-20,31.600000,31.690001,31.280001,31.299999,21.592810,260300
2006-04-21,31.350000,31.430000,31.170000,31.290001,21.585918,360800
2006-04-24,31.190001,31.250000,30.969999,31.030001,21.406549,350000
2006-04-25,31.070000,31.280001,30.870001,30.900000,21.316862,183400
2006-04-26,30.930000,31.379999,30.930000,31.250000,21.558315,201300
2006-04-27,31.170000,32.169998,31.049999,31.910000,22.013626,582400
2006-04-28,31.900000,32.599998,31.870001,32.139999,22.172295,272500
2006-05-01,32.060001,32.599998,32.060001,32.139999,22.172295,358600
2006-05-02,32.160000,32.799999,31.900000,32.560001,22.462042,457700
2006-05-03,32.250000,32.669998,31.990000,32.250000,22.248180,423600
2006-05-04,32.000000,32.150002,31.900000,31.959999,22.048120,335100
2006-05-05,32.279999,32.700001,32.130001,32.500000,22.420660,356500
2006-05-08,32.290001,33.349998,32.290001,33.070000,22.813875,304800
2006-05-09,33.320000,33.480000,33.139999,33.200001,22.903557,277400
2006-05-10,33.139999,33.250000,32.880001,32.950001,22.731094,188500
