Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,26.670000,26.700001,26.059999,26.350000,22.557383,7877900
2006-01-04,26.510000,26.580000,26.299999,26.350000,22.557383,4739200
2006-01-05,26.580000,27.430000,26.540001,26.990000,23.105268,8426800
2006-01-06,27.059999,27.170000,26.780001,27.139999,23.233679,5625300
2006-01-09,26.889999,27.070000,26.809999,26.950001,23.071016,4788900
2006-01-10,26.760000,27.219999,26.670000,27.139999,23.233679,4759000
2006-01-11,27.410000,27.420000,26.860001,27.070000,23.173748,6078400
2006-01-12,27.110001,27.240000,26.870001,27.000000,23.113829,3863300
2006-01-13,26.959999,27.129999,26.549999,26.750000,22.899815,3603800
2006-01-17,26.590000,27.000000,26.530001,26.860001,22.993977,4117300
2006-01-18,27.000000,27.299999,26.900000,27.200001,23.285040,6256600
2006-01-19,27.000000,27.559999,27.000000,27.430000,23.515654,4506000
2006-01-20,27.340000,27.360001,26.780001,27.129999,23.258467,5017300
2006-01-23,27.000000,27.139999,26.430000,26.959999,23.112724,7655300
2006-01-24,27.000000,27.540001,26.969999,27.360001,23.455647,7704000
2006-01-25,27.590000,27.879999,27.180000,27.379999,23.472792,5383200
2006-01-26,27.770000,27.830000,27.440001,27.610001,23.669973,7280400
2006-01-27,28.480000,28.500000,27.920000,28.070000,24.064329,6949600
2006-01-30,28.200001,28.350000,27.850000,27.860001,23.884289,6519100
2006-01-31,27.889999,28.020000,27.620001,27.760000,23.798561,4906600
2006-02-01,27.650000,27.930000,27.450001,27.780001,23.815712,5362900
2006-02-02,28.100000,28.809999,28.100000,28.709999,24.612995,7969700
2006-02-03,28.459999,29.400000,28.450001,29.230000,25.058790,8860200
2006-02-06,29.190001,29.250000,28.270000,28.690001,24.595848,4207200
2006-02-07,28.620001,28.700001,28.240000,28.350000,24.304377,3295200
2006-02-08,28.230000,28.520000,27.850000,28.200001,24.175776,3619900
2006-02-09,28.379999,28.500000,27.799999,27.870001,23.892862,3193700
2006-02-10,27.980000,28.080000,27.639999,27.900000,23.918581,2534900
2006-02-13,27.950001,28.100000,27.700001,27.910000,23.927160,1870400
2006-02-14,27.930000,28.629999,27.719999,28.610001,24.527267,3558700
2006-02-15,28.510000,29.139999,28.280001,28.980000,24.844463,3189500
2006-02-16,28.830000,29.290001,28.790001,29.100000,24.947340,3364700
2006-02-17,29.000000,29.010000,28.379999,28.600000,24.518694,4616800
2006-02-21,28.600000,28.809999,28.030001,28.180000,24.158632,3190400
2006-02-22,28.340000,28.559999,28.100000,28.459999,24.398674,3192100
2006-02-23,28.379999,28.709999,28.360001,28.500000,24.432964,2944800
2006-02-24,28.500000,28.510000,28.000000,28.209999,24.184345,2487600
2006-02-27,28.129999,28.969999,28.120001,28.840000,24.724440,2699400
2006-02-28,28.600000,28.790001,28.299999,28.330000,24.287220,2535000
2006-03-01,28.500000,29.190001,28.440001,29.059999,24.913048,3490100
2006-03-02,29.000000,29.740000,28.870001,29.080000,24.930199,4247800
2006-03-03,29.070000,29.309999,28.639999,28.700001,24.604424,2747800
2006-03-06,28.750000,28.920000,28.320000,28.469999,24.407242,2234600
2006-03-07,28.299999,28.950001,28.139999,28.920000,24.793020,4109900
2006-03-08,29.100000,30.260000,29.000000,30.070000,25.778913,8475300
2006-03-09,30.240000,30.980000,29.950001,30.120001,25.821787,7825600
