Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,43.220001,43.750000,42.830002,43.720001,26.194435,621400
2006-01-04,43.650002,43.709999,42.860001,43.610001,26.128529,798100
2006-01-05,43.419998,43.700001,43.160000,43.240002,25.906857,383500
2006-01-06,43.490002,43.709999,43.259998,43.700001,26.182468,407300
2006-01-09,43.619999,43.700001,43.220001,43.660000,26.158491,548200
2006-01-10,43.400002,43.580002,43.220001,43.570000,26.104572,449400
2006-01-11,43.599998,43.669998,43.270000,43.580002,26.110559,587600
2006-01-12,43.450001,44.000000,43.320000,43.639999,26.146513,1039600
2006-01-13,43.639999,43.900002,43.500000,43.860001,26.278322,542700
2006-01-17,43.790001,44.230000,43.709999,44.080002,26.410133,790900
2006-01-18,44.000000,44.169998,43.750000,43.980000,26.350222,752200
2006-01-19,43.990002,44.099998,43.720001,43.860001,26.278322,544200
2006-01-20,43.720001,43.930000,43.250000,43.369999,25.984743,572700
2006-01-23,43.250000,43.560001,43.049999,43.250000,25.912846,396200
2006-01-24,43.250000,44.000000,43.200001,43.950001,26.332237,1009100
2006-01-25,43.950001,44.049999,42.439999,42.759998,25.619259,1231900
2006-01-26,42.900002,43.099998,42.400002,42.570000,25.505419,686700
2006-01-27,42.580002,43.099998,42.450001,42.480000,25.451502,573200
2006-01-30,42.400002,42.490002,42.209999,42.259998,25.319693,529600
2006-01-31,42.169998,42.439999,42.080002,42.200001,25.283745,564700
2006-02-01,42.200001,42.509998,42.189999,42.330002,25.361631,774400
2006-02-02,42.200001,42.290001,41.529999,41.740002,25.008144,828700
2006-02-03,41.500000,41.700001,41.169998,41.169998,24.666624,672900
2006-02-06,41.099998,42.040001,41.060001,42.029999,25.181879,999400
2006-02-07,41.950001,42.160000,41.840000,42.099998,25.223825,746300
2006-02-08,42.090000,42.150002,41.799999,42.040001,25.187885,1141600
2006-02-09,42.020000,42.349998,41.950001,41.990002,25.157930,692400
2006-02-10,41.980000,42.220001,41.950001,42.049999,25.193872,917800
