Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,5.740865,5.810290,5.655420,5.788929,3.947717,1564900
2006-01-04,5.778248,6.034584,5.772907,6.034584,4.115240,2671700
2006-01-05,6.018563,6.114689,5.991861,6.077307,4.144375,1840400
2006-01-06,6.168093,6.178773,6.077307,6.125370,4.177151,1013500
2006-01-09,6.141391,6.168093,6.050605,6.141391,4.188076,648300
2006-01-10,6.077307,6.093328,5.981181,6.071967,4.140732,935700
2006-01-11,6.098668,6.162752,6.077307,6.136051,4.184434,729700
2006-01-12,6.114689,6.168093,6.077307,6.120029,4.173508,440100
2006-01-13,6.066626,6.157412,6.045265,6.120029,4.173508,655700
2006-01-17,5.997201,6.002542,5.879714,5.949139,4.056971,749200
2006-01-18,5.895735,6.007882,5.820971,5.970500,4.071538,931200
2006-01-19,6.034584,6.087987,5.970500,6.087987,4.151657,727500
2006-01-20,6.087987,6.093328,5.938458,5.986521,4.082463,403200
2006-01-23,5.959819,6.039924,5.895735,5.959819,4.064253,300100
2006-01-24,5.933117,6.098668,5.933117,6.098668,4.158941,329000
2006-01-25,6.136051,6.162752,6.071967,6.120029,4.173508,299600
2006-01-26,6.173433,6.296261,6.114689,6.290920,4.290046,1580300
2006-01-27,6.301601,6.504534,6.280240,6.371026,4.344674,2725000
2006-01-30,6.365685,6.541916,6.355004,6.536576,4.457569,1655400
2006-01-31,6.515214,6.573958,6.435110,6.472492,4.413867,497700
2006-02-01,6.451130,6.525895,6.381706,6.413748,4.373808,576400
2006-02-02,6.461811,6.488513,6.349664,6.403068,4.366523,525000
2006-02-03,6.403068,6.408408,6.280240,6.360345,4.337390,219300
2006-02-06,6.344324,6.440450,6.301601,6.429769,4.384733,439200
2006-02-07,6.376366,6.424429,6.301601,6.301601,4.297330,379500
2006-02-08,6.248198,6.296261,6.178773,6.226836,4.246345,788800
2006-02-09,6.237517,6.435110,6.237517,6.392387,4.359241,2411300
2006-02-10,6.355004,6.392387,6.237517,6.301601,4.297330,272700
2006-02-13,6.264219,6.371026,6.194794,6.200135,4.228136,394300
2006-02-14,6.184114,6.312282,6.141391,6.274899,4.279121,778800
2006-02-15,6.232177,6.280240,6.104009,6.200135,4.228136,361100
2006-02-16,6.168093,6.285580,6.082647,6.285580,4.286405,578200
2006-02-17,6.285580,6.381706,6.221496,6.301601,4.297330,301800
2006-02-21,6.355004,6.429769,6.328303,6.355004,4.333748,1297200
2006-02-22,6.381706,6.541916,6.381706,6.515214,4.443001,983300
2006-02-23,6.488513,6.541916,6.440450,6.493853,4.428434,1546000
2006-02-24,6.525895,6.643383,6.499194,6.606000,4.504913,751600
2006-02-27,6.648723,6.755530,6.595320,6.659404,4.541330,299700
2006-02-28,6.659404,6.659404,6.493853,6.552597,4.468496,1198400
2006-03-01,6.606000,6.670084,6.573958,6.638042,4.526764,1352300
2006-03-02,6.638042,6.638042,6.520555,6.547256,4.464854,674200
2006-03-03,6.541916,6.541916,6.461811,6.499194,4.432076,167700
2006-03-06,6.488513,6.493853,6.381706,6.429769,4.384733,706300
2006-03-07,6.408408,6.408408,6.210815,6.274899,4.279121,797700
2006-03-08,6.194794,6.258878,6.098668,6.253538,4.264553,988500
