Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,12.235000,12.420000,12.170000,12.365000,6.084363,1519800
2006-01-04,12.375000,12.570000,12.365000,12.480000,6.140949,1275000
2006-01-05,12.495000,12.575000,12.385000,12.425000,6.113886,1088400
2006-01-06,12.555000,12.630000,12.455000,12.495000,6.148332,867400
2006-01-09,12.600000,12.690000,12.525000,12.655000,6.227061,780400
2006-01-10,12.735000,12.735000,12.650000,12.670000,6.234442,849400
2006-01-11,12.700000,12.700000,12.610000,12.650000,6.224601,677600
2006-01-12,12.655000,12.690000,12.525000,12.640000,6.219682,816600
2006-01-13,12.590000,12.745000,12.570000,12.690000,6.244282,522400
2006-01-17,12.750000,12.795000,12.595000,12.770000,6.283650,1135600
2006-01-18,12.750000,12.820000,12.615000,12.680000,6.239364,896800
2006-01-19,12.775000,12.800000,12.675000,12.775000,6.286109,999200
2006-01-20,12.845000,12.900000,12.760000,12.790000,6.293491,799600
2006-01-23,12.890000,12.950000,12.830000,12.860000,6.327934,843600
2006-01-24,12.870000,12.990000,12.870000,12.975000,6.384522,975200
2006-01-25,12.985000,13.000000,12.855000,12.915000,6.354998,798400
2006-01-26,12.900000,12.975000,12.755000,12.755000,6.276268,1251000
2006-01-27,12.750000,12.765000,12.530000,12.650000,6.333342,1242400
2006-01-30,12.735000,12.735000,12.575000,12.625000,6.320827,1058200
2006-01-31,12.580000,12.660000,12.545000,12.635000,6.325833,875600
2006-02-01,12.670000,12.700000,12.560000,12.590000,6.303302,826400
2006-02-02,12.590000,12.625000,12.480000,12.505000,6.260746,972400
2006-02-03,12.500000,12.530000,12.455000,12.515000,6.265754,680600
2006-02-06,12.525000,12.620000,12.500000,12.620000,6.318324,903400
2006-02-07,12.625000,12.650000,12.325000,12.360000,6.188150,1153200
2006-02-08,12.405000,12.460000,12.305000,12.395000,6.205675,787200
2006-02-09,12.640000,12.640000,12.350000,12.355000,6.185647,959600
2006-02-10,12.420000,12.425000,12.225000,12.365000,6.190656,973600
2006-02-13,12.375000,12.400000,12.190000,12.250000,6.133079,791800
2006-02-14,12.250000,12.250000,12.125000,12.220000,6.118059,914800
2006-02-15,12.230000,12.490000,12.225000,12.385000,6.200670,1043600
2006-02-16,12.470000,12.545000,12.425000,12.510000,6.263248,894800
2006-02-17,12.525000,12.665000,12.500000,12.505000,6.260746,772600
2006-02-21,12.620000,12.625000,12.405000,12.475000,6.245728,1016200
2006-02-22,12.495000,12.540000,12.450000,12.510000,6.263248,741400
2006-02-23,12.610000,12.610000,12.465000,12.520000,6.268257,864800
2006-02-24,12.555000,12.595000,12.470000,12.490000,6.253235,734800
2006-02-27,12.590000,12.590000,12.315000,12.395000,6.205675,1093000
2006-02-28,12.200000,12.210000,12.110000,12.140000,6.078007,1770600
2006-03-01,12.125000,12.130000,11.945000,11.950000,5.982882,2069800
2006-03-02,11.950000,12.070000,11.900000,11.950000,5.982882,2545800
2006-03-03,11.850000,12.130000,11.845000,12.075000,6.045463,16433000
2006-03-06,12.075000,12.100000,11.950000,11.975000,5.995396,3301000
2006-03-07,12.000000,12.125000,11.950000,12.060000,6.037953,2636800
2006-03-08,12.050000,12.100000,11.960000,12.065000,6.040458,1338600
2006-03-09,12.120000,12.125000,12.000000,12.020000,6.017928,1077600
2006-03-10,12.015000,12.110000,12.010000,12.075000,6.045463,1140000
