Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,15.540000,15.550000,14.930000,15.270000,9.320418,450100
2006-01-04,15.330000,15.350000,15.110000,15.350000,9.369244,431900
2006-01-05,15.380000,15.380000,15.020000,15.190000,9.271587,240600
2006-01-06,15.220000,15.300000,15.120000,15.290000,9.332625,443300
2006-01-09,15.260000,15.320000,15.010000,15.240000,9.302104,197100
2006-01-10,15.170000,15.330000,15.040000,15.330000,9.357038,241800
2006-01-11,15.330000,15.400000,15.200000,15.400000,9.399763,195400
2006-01-12,15.300000,15.510000,15.240000,15.300000,9.338728,302700
2006-01-13,15.280000,15.300000,14.990000,15.010000,9.161719,217600
2006-01-17,14.900000,14.930000,14.670000,14.880000,9.082371,127400
2006-01-18,14.900000,14.970000,14.800000,14.860000,9.070164,93100
2006-01-19,14.890000,15.010000,14.800000,15.010000,9.161719,106200
2006-01-20,15.030000,15.030000,14.660000,14.800000,9.033543,159000
2006-01-23,14.890000,15.000000,14.770000,14.990000,9.149513,57400
2006-01-24,15.000000,15.220000,14.920000,14.980000,9.143406,135700
2006-01-25,14.980000,15.020000,14.870000,14.970000,9.137306,95600
2006-01-26,15.000000,15.400000,14.970000,15.400000,9.399763,227300
2006-01-27,15.400000,15.800000,15.400000,15.610000,9.527944,131000
2006-01-30,15.600000,15.600000,15.390000,15.450000,9.430282,72400
2006-01-31,15.450000,15.450000,15.110000,15.350000,9.369244,146300
2006-02-01,15.350000,15.380000,15.120000,15.200000,9.277688,209600
2006-02-02,15.150000,15.150000,14.730000,14.880000,9.082371,213400
2006-02-03,14.850000,14.850000,14.250000,14.490000,8.844327,142900
2006-02-06,14.460000,14.720000,14.400000,14.690000,8.966402,130800
2006-02-07,14.650000,14.880000,14.560000,14.880000,9.082371,204700
2006-02-08,14.870000,15.110000,14.540000,15.040000,9.180030,307000
2006-02-09,15.040000,15.170000,14.630000,14.760000,9.009125,148900
2006-02-10,14.690000,14.880000,14.370000,14.720000,8.984712,137700
2006-02-13,15.100000,15.120000,14.720000,14.950000,9.125099,243100
2006-02-14,15.050000,15.050000,14.880000,15.000000,9.155616,183700
2006-02-15,14.990000,15.170000,14.950000,15.070000,9.198341,198400
2006-02-16,15.090000,15.100000,14.900000,14.960000,9.131203,142200
2006-02-17,15.020000,15.170000,14.960000,15.100000,9.216652,414900
2006-02-21,15.200000,15.200000,14.800000,14.920000,9.106786,176500
2006-02-22,14.850000,15.050000,14.770000,14.960000,9.131203,173300
2006-02-23,14.960000,15.000000,14.710000,14.730000,8.990813,147700
2006-02-24,14.770000,14.790000,14.620000,14.750000,9.003021,100600
2006-02-27,14.810000,15.240000,14.620000,15.190000,9.271587,317100
2006-02-28,15.250000,15.250000,14.820000,15.000000,9.155616,255400
2006-03-01,15.060000,15.840000,15.060000,15.420000,9.411976,374900
2006-03-02,15.380000,15.440000,15.040000,15.280000,9.326522,118700
2006-03-03,15.200000,15.210000,14.900000,15.040000,9.180030,178100
2006-03-06,15.040000,15.190000,14.820000,15.180000,9.265482,171300
2006-03-07,15.180000,15.370000,15.100000,15.220000,9.289898,328200
2006-03-08,15.220000,15.370000,14.960000,15.350000,9.369244,142800
2006-03-09,15.290000,15.600000,15.150000,15.560000,9.497424,162000
2006-03-10,15.640000,15.830000,15.500000,15.830000,9.662227,297800
2006-03-13,15.950000,16.049999,15.540000,15.690000,9.716726,230000
2006-03-14,15.610000,15.770000,15.250000,15.740000,9.747687,189400
2006-03-15,15.690000,16.230000,15.570000,16.090000,9.964440,324500
2006-03-16,16.180000,16.740000,16.180000,16.650000,10.311244,384600
2006-03-17,16.730000,17.000000,16.540001,16.889999,10.459877,907300
2006-03-20,16.860001,16.860001,16.420000,16.650000,10.311244,263800
2006-03-21,16.660000,16.860001,16.400000,16.670000,10.323635,200500
2006-03-22,16.500000,17.040001,16.379999,17.010000,10.534193,262300
2006-03-23,17.020000,17.150000,16.830000,17.139999,10.614699,563300
2006-03-24,17.160000,17.160000,16.510000,16.780001,10.391754,328900
2006-03-27,16.790001,16.900000,16.530001,16.680000,10.329823,298800
