Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,13.235000,13.527500,13.190000,13.522500,12.067211,1800000
2006-01-04,13.500000,13.607500,13.400000,13.597500,12.134137,1521200
2006-01-05,13.625000,13.765000,13.560000,13.657500,12.187682,1832400
2006-01-06,13.775000,13.895000,13.650000,13.767500,12.285842,694800
2006-01-09,13.770000,13.770000,13.632500,13.687500,12.214453,1232800
2006-01-10,13.625000,13.642500,13.502500,13.585000,12.122984,1129600
2006-01-11,13.500000,13.520000,13.377500,13.510000,12.056053,1239600
2006-01-12,13.510000,13.660000,13.475000,13.522500,12.067211,1270000
2006-01-13,13.585000,13.647500,13.515000,13.565000,12.105138,740800
2006-01-17,13.502500,13.590000,13.500000,13.532500,12.076134,814000
2006-01-18,13.520000,13.520000,13.330000,13.370000,11.931123,2700000
2006-01-19,13.375000,13.420000,13.292500,13.297500,11.866426,1704800
2006-01-20,13.297500,13.297500,12.932500,13.050000,11.645559,2054400
2006-01-23,13.050000,13.330000,13.050000,13.215000,11.792801,801200
2006-01-24,13.275000,13.445000,13.175000,13.427500,11.982435,1828800
2006-01-25,13.550000,13.625000,13.502500,13.605000,12.140828,1284800
2006-01-26,13.637500,13.745000,13.607500,13.677500,12.205532,1311200
2006-01-27,13.737500,13.940000,13.675000,13.935000,12.435319,1447200
2006-01-30,13.937500,14.017500,13.867500,14.017500,12.508943,1081200
2006-01-31,14.080000,14.235000,14.045000,14.105000,12.587021,1731200
2006-02-01,14.105000,14.405000,14.105000,14.402500,12.852506,1501600
2006-02-02,14.410000,14.457500,14.085000,14.215000,12.685185,1555200
2006-02-03,14.187500,14.187500,14.050000,14.107500,12.589253,1372000
2006-02-06,14.132500,14.277500,14.120000,14.277500,12.740958,1652800
2006-02-07,14.280000,14.925000,14.042500,14.787500,13.196069,5013600
2006-02-08,14.750000,14.805000,14.542500,14.712500,13.129145,3283600
2006-02-09,14.725000,14.985000,14.695000,14.922500,13.316540,2505600
2006-02-10,14.930000,15.005000,14.605000,14.980000,13.367853,2006800
2006-02-13,14.875000,14.937500,14.687500,14.925000,13.318773,1054800
2006-02-14,14.925000,15.117500,14.915000,15.062500,13.441475,2551600
2006-02-15,15.062500,15.367500,15.042500,15.305000,13.657876,1096000
2006-02-16,15.367500,15.507500,15.335000,15.475000,13.809582,1274800
2006-02-17,15.252500,15.690000,15.252500,15.640000,13.956825,1374800
2006-02-21,15.687500,15.690000,15.287500,15.432500,13.771655,1143200
2006-02-22,15.550000,15.607500,15.460000,15.512500,13.843047,1044800
2006-02-23,15.500000,15.680000,15.285000,15.637500,13.954590,1060000
2006-02-24,15.637500,15.665000,15.057500,15.297500,13.651188,2447600
2006-02-27,15.347500,15.540000,15.347500,15.442500,13.780580,786000
2006-02-28,15.277500,15.380000,15.160000,15.202500,13.566410,1014400
2006-03-01,15.390000,15.557500,15.362500,15.475000,13.809582,1207600
2006-03-02,15.475000,15.475000,15.280000,15.337500,13.686878,900000
2006-03-03,15.340000,15.457500,15.317500,15.355000,13.702496,516800
2006-03-06,15.325000,15.355000,15.100000,15.197500,13.561944,367600
2006-03-07,15.150000,15.175000,14.947500,15.077500,13.454863,1316800
2006-03-08,15.075000,15.200000,14.832500,15.135000,13.506175,1007600
2006-03-09,15.135000,15.310000,15.015000,15.102500,13.477171,594800
2006-03-10,15.097500,15.407500,15.000000,15.275000,13.631107,702400
2006-03-13,15.375000,15.422500,15.190000,15.205000,13.568641,528000
