Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,8.200000,8.300000,8.200000,8.262500,6.559623,1964400
2006-01-04,8.310000,8.415000,8.305000,8.357500,6.635043,1096800
2006-01-05,8.367500,8.467500,8.320000,8.385000,6.656877,1320400
2006-01-06,8.412500,8.450000,8.327500,8.362500,6.639016,900800
2006-01-09,8.372500,8.400000,8.315000,8.345000,6.625120,1188400
2006-01-10,8.320000,8.380000,8.262500,8.325000,6.609243,1033200
2006-01-11,8.345000,8.372500,8.287500,8.310000,6.597335,371600
2006-01-12,8.310000,8.362500,8.307500,8.342500,6.623137,1060800
2006-01-13,8.342500,8.370000,8.307500,8.342500,6.623137,761200
2006-01-17,8.280000,8.375000,8.252500,8.345000,6.625120,667200
2006-01-18,8.305000,8.520000,8.305000,8.502500,6.778590,1410400
2006-01-19,8.562500,8.592500,8.350000,8.397500,6.694879,1318000
2006-01-20,8.392500,8.432500,8.315000,8.340000,6.649038,573600
2006-01-23,8.325000,8.532500,8.307500,8.522500,6.794535,1193600
2006-01-24,8.507500,8.560000,8.445000,8.452500,6.738728,872800
2006-01-25,8.412500,8.492500,8.322500,8.375000,6.676943,938400
2006-01-26,8.387500,8.495000,8.377500,8.472500,6.754673,896800
2006-01-27,8.497500,8.525000,8.435000,8.495000,6.772611,730400
2006-01-30,8.470000,8.495000,8.352500,8.490000,6.768625,1776000
2006-01-31,8.500000,8.595000,8.380000,8.382500,6.682921,1067600
2006-02-01,8.405000,8.530000,8.390000,8.402500,6.698867,1147600
2006-02-02,8.375000,8.625000,8.375000,8.615000,6.868280,1346800
2006-02-03,8.612500,8.750000,8.605000,8.687500,6.926081,1367600
2006-02-06,8.712500,8.772500,8.592500,8.592500,6.850344,1124000
2006-02-07,8.567500,8.662500,8.515000,8.537500,6.806495,612000
2006-02-08,8.562500,8.580000,8.507500,8.535000,6.804501,792000
2006-02-09,8.527500,8.622500,8.527500,8.552500,6.818454,945600
2006-02-10,8.522500,8.577500,8.497500,8.545000,6.812475,764800
2006-02-13,8.525000,8.635000,8.500000,8.585000,6.844365,556000
2006-02-14,8.562500,8.612500,8.507500,8.582500,6.842371,470000
2006-02-15,8.585000,8.590000,8.465000,8.567500,6.830412,870800
2006-02-16,8.602500,8.687500,8.585000,8.677500,6.918110,386800
2006-02-17,8.687500,8.727500,8.650000,8.717500,6.950000,477600
2006-02-21,8.700000,8.730000,8.640000,8.655000,6.900170,693600
2006-02-22,8.700000,8.740000,8.660000,8.677500,6.918110,896800
2006-02-23,8.692500,8.752500,8.680000,8.702500,6.938041,593200
2006-02-24,8.652500,8.700000,8.607500,8.615000,6.868280,2082800
2006-02-27,8.812500,9.042500,8.422500,8.500000,6.776599,5465600
2006-02-28,8.475000,8.620000,8.420000,8.607500,6.862300,2513200
2006-03-01,8.637500,8.687500,8.540000,8.550000,6.816461,1501600
2006-03-02,8.517500,8.562500,8.482500,8.537500,6.806495,1465600
2006-03-03,8.497500,8.562500,8.490000,8.510000,6.784569,970800
2006-03-06,8.487500,8.522500,8.402500,8.445000,6.732751,818800
2006-03-07,8.425000,8.482500,8.420000,8.445000,6.732751,804400
2006-03-08,8.387500,8.500000,8.377500,8.460000,6.744709,1060800
2006-03-09,8.442500,8.537500,8.440000,8.477500,6.758660,848400
2006-03-10,8.500000,8.532500,8.467500,8.502500,6.778590,1443200
2006-03-13,8.500000,8.597500,8.500000,8.500000,6.776599,1386800
2006-03-14,8.480000,8.500000,8.402500,8.405000,6.700860,1947600
2006-03-15,8.405000,8.407500,8.262500,8.325000,6.637079,2079200
2006-03-16,8.342500,8.357500,8.275000,8.310000,6.625120,1961200
2006-03-17,8.300000,8.325000,8.222500,8.295000,6.613164,1765200
2006-03-20,8.272500,8.285000,8.147500,8.250000,6.577287,1571200
2006-03-21,8.247500,8.317500,8.212500,8.317500,6.631099,1551600
2006-03-22,8.322500,8.410000,8.307500,8.322500,6.635087,2672400
2006-03-23,7.970000,8.325000,7.970000,8.255000,6.581272,2378400
2006-03-24,8.265000,8.367500,8.250000,8.337500,6.647046,2131200
2006-03-27,8.350000,8.350000,8.240000,8.255000,6.581272,1108800
2006-03-28,8.252500,8.292500,8.247500,8.250000,6.577287,1384000
2006-03-29,8.272500,8.420000,8.272500,8.332500,6.643060,1393200
2006-03-30,8.330000,8.422500,8.275000,8.405000,6.700860,1201200
2006-03-31,8.427500,8.482500,8.385000,8.450000,6.736736,1615200
2006-04-03,8.425000,8.542500,8.375000,8.535000,6.804501,2050400
2006-04-04,8.575000,8.677500,8.510000,8.552500,6.818454,2030800
2006-04-05,8.550000,8.587500,8.510000,8.555000,6.820450,1072000
2006-04-06,8.562500,8.577500,8.397500,8.435000,6.724778,1034800
2006-04-07,8.452500,8.567500,8.427500,8.535000,6.804501,1886000
2006-04-10,8.525000,8.570000,8.427500,8.567500,6.830412,1623200
2006-04-11,8.585000,8.602500,8.422500,8.455000,6.740720,1858000
2006-04-12,8.455000,8.487500,8.412500,8.442500,6.730757,1363600
2006-04-13,8.440000,8.485000,8.377500,8.390000,6.688901,803200
2006-04-17,8.370000,8.412500,8.335000,8.377500,6.678936,1031600
2006-04-18,8.405000,8.497500,8.405000,8.492500,6.770619,1422400
2006-04-19,8.457500,8.502500,8.425000,8.502500,6.806643,1046000
2006-04-20,8.472500,8.485000,8.280000,8.317500,6.658542,2503200
2006-04-21,8.362500,8.400000,8.250000,8.282500,6.630524,2697200
2006-04-24,8.282500,8.375000,8.227500,8.342500,6.678557,2017200
2006-04-25,8.315000,8.325000,8.240000,8.247500,6.602505,1122800
2006-04-26,8.257500,8.470000,8.225000,8.455000,6.768617,2162800
2006-04-27,8.460000,8.502500,8.305000,8.427500,6.746603,2006800
2006-04-28,8.380000,8.445000,8.255000,8.390000,6.716581,1346000
2006-05-01,8.390000,8.465000,8.345000,8.362500,6.694567,948400
2006-05-02,8.357500,8.527500,8.350000,8.500000,6.804643,1057600
2006-05-03,8.475000,8.527500,8.417500,8.422500,6.742600,862800
2006-05-04,8.432500,8.485000,8.335000,8.340000,6.676556,1191600
2006-05-05,8.362500,8.472500,8.337500,8.457500,6.770619,1150400
2006-05-08,8.457500,8.532500,8.427500,8.490000,6.796636,808800
2006-05-09,8.470000,8.525000,8.450000,8.450000,6.764614,1450000
2006-05-10,8.467500,8.492500,8.335000,8.350000,6.684562,1304400
2006-05-11,8.352500,8.480000,8.337500,8.455000,6.768617,1137200
2006-05-12,8.455000,8.497500,8.355000,8.370000,6.700572,1041600
2006-05-15,8.322500,8.470000,8.290000,8.445000,6.760610,826000
2006-05-16,8.400000,8.467500,8.380000,8.435000,6.752605,875600
2006-05-17,8.402500,8.442500,8.305000,8.315000,6.656540,1069600
2006-05-18,8.300000,8.422500,8.282500,8.292500,6.638529,1065600
2006-05-19,8.302500,8.577500,8.295000,8.495000,6.800639,2368400
2006-05-22,8.437500,8.605000,8.395000,8.522500,6.822657,1046800
2006-05-23,8.525000,8.530000,8.415000,8.415000,6.736594,1453200
2006-05-24,8.427500,8.517500,8.325000,8.470000,6.780623,1368800
2006-05-25,8.850000,8.970000,8.675000,8.912500,7.134866,4352800
2006-05-26,9.000000,9.000000,8.845000,8.897500,7.122860,1730000
2006-05-30,8.862500,8.930000,8.720000,8.730000,6.988766,1570800
2006-05-31,8.775000,9.000000,8.775000,8.977500,7.186904,2835200
2006-06-01,8.992500,9.000000,8.917500,8.967500,7.178897,1825200
2006-06-02,8.960000,9.002500,8.890000,8.990000,7.196910,1265200
2006-06-05,8.992500,9.077500,8.837500,8.840000,7.076829,1175200
2006-06-06,8.870000,8.960000,8.767500,8.945000,7.160885,1522800
2006-06-07,8.952500,9.025000,8.860000,8.990000,7.196910,2296000
2006-06-08,8.940000,8.975000,8.735000,8.775000,7.024793,2955200
2006-06-09,8.770000,8.842500,8.647500,8.777500,7.026795,1054000
2006-06-12,8.807500,8.815000,8.685000,8.700000,6.964752,1310000
2006-06-13,8.662500,8.727500,8.585000,8.657500,6.930729,1426000
2006-06-14,8.645000,8.732500,8.557500,8.670000,6.940734,1755600
2006-06-15,8.665000,8.750000,8.612500,8.747500,7.002778,909600
2006-06-16,8.785000,8.945000,8.772500,8.942500,7.158886,2327600
2006-06-19,8.942500,9.067500,8.942500,9.030000,7.228932,3626800
2006-06-20,9.042500,9.097500,8.972500,9.042500,7.238936,2161600
2006-06-21,9.052500,9.230000,9.025000,9.205000,7.369030,2068000
2006-06-22,9.190000,9.190000,9.050000,9.137500,7.314988,1594000
2006-06-23,9.075000,9.215000,9.075000,9.152500,7.326998,647600
2006-06-26,9.147500,9.187500,9.060000,9.177500,7.347013,1024800
2006-06-27,9.190000,9.215000,9.090000,9.137500,7.314988,1140800
2006-06-28,9.137500,9.187500,9.037500,9.132500,7.310990,1156400
