Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,33.180000,33.680000,32.900002,33.669998,25.103054,1847100
2006-01-04,33.540001,33.950001,33.459999,33.880001,25.259628,1815500
2006-01-05,33.849998,34.090000,33.730000,34.040001,25.378918,2057000
2006-01-06,34.040001,34.080002,33.689999,34.049999,25.386366,1290000
2006-01-09,34.000000,34.150002,33.799999,34.090000,25.416191,997500
2006-01-10,33.880001,34.000000,33.669998,33.910000,25.282000,1088000
2006-01-11,33.849998,33.910000,33.529999,33.720001,25.140335,1584000
2006-01-12,33.590000,33.650002,33.330002,33.349998,24.864479,1241600
2006-01-13,33.400002,33.700001,33.320000,33.689999,25.117971,878600
2006-01-17,33.400002,33.480000,33.020000,33.250000,24.789923,1549900
2006-01-18,33.250000,33.500000,33.049999,33.340000,24.857023,986600
2006-01-19,33.290001,33.459999,32.959999,33.130001,24.700464,2085900
2006-01-20,34.299999,34.730000,33.810001,34.169998,25.475834,4942200
2006-01-23,34.470001,35.070000,34.410000,34.939999,26.049921,3011700
2006-01-24,34.900002,35.599998,34.810001,35.310001,26.325781,3450200
2006-01-25,35.220001,35.779999,35.189999,35.669998,26.594177,2743900
2006-01-26,35.919998,36.419998,35.750000,36.000000,26.840212,2204200
2006-01-27,35.799999,36.150002,35.400002,35.680000,26.601631,1754100
2006-01-30,35.570000,35.580002,35.320000,35.480000,26.452518,1991400
2006-01-31,35.480000,35.639999,34.770000,35.389999,26.385422,1945200
2006-02-01,35.480000,35.540001,35.099998,35.540001,26.497261,1895500
2006-02-02,35.540001,35.930000,35.180000,35.439999,26.422705,2063900
2006-02-03,35.200001,35.810001,34.930000,35.340000,26.348143,2016400
2006-02-06,35.299999,35.500000,35.200001,35.459999,26.437611,1213400
2006-02-07,35.360001,35.610001,35.220001,35.500000,26.467432,1595200
2006-02-08,35.720001,35.720001,35.189999,35.630001,26.564360,1569700
2006-02-09,35.540001,35.840000,35.439999,35.619999,26.556902,1010200
2006-02-10,35.570000,36.000000,35.330002,35.980000,26.825312,1522600
2006-02-13,35.980000,36.049999,35.669998,35.849998,26.728386,1017900
2006-02-14,35.779999,36.709999,35.750000,36.599998,27.287550,2082900
