Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,57.219559,57.219559,56.347076,56.970280,37.720631,1616700
2006-01-04,56.970280,57.468842,56.807285,57.190796,37.866638,2729400
2006-01-05,57.430489,57.631832,57.114094,57.401726,38.006290,1504800
2006-01-06,57.526367,57.929050,57.286674,57.737297,38.228489,1367800
2006-01-09,57.919464,58.456375,57.890701,58.437199,38.691891,1412700
2006-01-10,57.766060,58.034515,57.746883,57.881111,38.323708,1330900
2006-01-11,58.485138,59.204220,58.398849,58.657719,38.837902,2021600
2006-01-12,58.667305,58.954937,58.293385,58.638542,38.825203,1406600
2006-01-13,58.916588,59.108341,58.753597,58.878235,38.983902,1301400
2006-01-17,58.341324,58.897411,58.149567,58.619366,38.812508,1424700
2006-01-18,58.619366,58.916588,57.526367,58.053692,38.437969,1989500
2006-01-19,58.024929,58.312561,57.698944,57.823586,38.285610,1349300
2006-01-20,57.094917,57.986576,57.094917,57.372963,37.987251,2334900
2006-01-23,57.315437,57.861938,56.989452,57.248322,37.904720,2064800
2006-01-24,56.193672,56.558006,55.369129,56.136147,37.168343,3124200
2006-01-25,56.327900,56.500481,55.522530,55.733459,36.901714,3207300
2006-01-26,55.743050,56.471718,55.580059,56.155323,37.181042,1887800
2006-01-27,55.848515,56.663471,55.762226,56.375839,37.327045,1489500
2006-01-30,56.136147,56.222435,55.474594,55.647171,36.844597,1633300
2006-01-31,55.465004,55.608822,54.717163,54.765102,36.260563,2260200
2006-02-01,54.765102,55.800575,54.755512,55.493767,36.743011,2591500
2006-02-02,55.378716,55.819752,55.244488,55.608822,36.819202,1696200
2006-02-03,55.100670,55.656761,54.889740,54.937679,36.374825,1302700
2006-02-06,54.793865,55.100670,54.554173,54.985619,36.406559,815200
2006-02-07,54.726749,55.014381,54.314476,54.324066,35.968548,1221900
2006-02-08,54.266541,54.947266,54.256950,54.860977,36.324039,1340800
2006-02-09,54.860977,55.656761,54.860977,55.148609,36.514484,1707800
2006-02-10,55.129433,55.407478,54.515820,54.717163,36.228821,1795000
2006-02-13,54.745926,55.225311,54.630871,55.023968,36.431946,1313600
2006-02-14,55.177372,55.656761,54.860977,55.110260,36.489101,2062500
2006-02-15,55.033558,55.311600,54.602108,55.091084,36.476398,2173700
2006-02-16,55.129433,55.647171,55.062321,55.580059,36.800156,1676100
2006-02-17,56.433365,56.433365,55.608822,56.145733,37.174698,1477400
2006-02-21,56.097794,56.347076,55.752636,56.116970,37.155632,1722500
2006-02-22,56.548416,56.893578,56.462128,56.845638,37.638103,1567000
2006-02-23,56.759350,57.526367,56.759350,56.999043,37.739685,2046100
2006-02-24,57.746883,57.746883,56.836048,57.229145,37.892033,1357000
2006-02-27,56.912750,57.478428,56.912750,57.353786,37.974552,1377000
2006-02-28,56.797699,57.325024,56.471718,56.740173,37.568283,2157200
2006-03-01,56.740173,57.152447,56.701820,57.142857,37.834896,2042800
2006-03-02,56.749760,57.229145,56.711411,57.142857,37.834896,2075300
2006-03-03,57.046978,57.315437,56.807285,56.912750,37.682545,1821400
2006-03-06,56.960690,57.133270,56.299137,56.577183,37.460354,2709000
2006-03-07,56.586769,57.027805,55.992329,56.414188,37.352432,1663100
2006-03-08,56.001919,56.644295,55.925217,56.471718,37.704533,1660900
2006-03-09,56.471718,56.577183,55.675934,55.790989,37.250011,1442200
2006-03-10,55.800575,56.366253,55.685524,56.184086,37.512466,1240800
2006-03-13,56.375839,57.027805,56.270374,56.720997,37.870968,1927500
2006-03-14,56.720997,56.893578,56.174496,56.548416,37.755737,1897700
2006-03-15,56.711411,56.855225,56.299137,56.644295,37.819756,1734900
2006-03-16,56.711411,57.238735,56.548416,57.142857,38.152622,1582000
2006-03-17,57.420902,57.420902,56.327900,56.558006,37.762131,2287000
2006-03-20,56.759350,57.008629,56.279961,56.979866,38.043789,1616500
2006-03-21,57.114094,57.277084,56.596355,56.711411,37.864555,1395000
2006-03-22,56.711411,57.315437,56.634708,57.181210,38.178211,887100
2006-03-23,56.999043,57.200382,56.605946,56.855225,37.960579,1530400
2006-03-24,56.701820,57.018215,56.270374,56.605946,37.794147,1741800
2006-03-27,57.094917,57.651009,56.912750,56.912750,37.998989,2688800
2006-03-28,56.912750,56.922340,56.126556,56.164909,37.499676,1541600
2006-03-29,56.088207,56.490891,55.771812,56.116970,37.467663,1453900
2006-03-30,55.925217,56.222435,55.388302,55.781399,37.243610,1666800
2006-03-31,55.675934,55.886864,55.397892,55.417065,37.000378,2126500
2006-04-03,55.465004,56.011505,55.445827,55.886864,37.314034,1729900
2006-04-04,56.040268,56.241611,55.455418,56.174496,37.506077,1386100
2006-04-05,56.327900,56.423779,55.244488,55.733459,37.211609,1443400
2006-04-06,55.743050,55.829338,55.148609,55.244488,36.885143,1473800
2006-04-07,55.206135,55.666348,54.918503,54.966442,36.699493,1351800
2006-04-10,55.129433,55.196548,54.765102,55.177372,36.840321,1346600
2006-04-11,55.340363,55.397892,54.678810,54.793865,36.584259,1671500
2006-04-12,54.745926,55.206135,54.745926,54.928093,36.673882,1353500
2006-04-13,54.765102,54.908916,54.611698,54.889740,36.648281,1521000
2006-04-17,54.832214,54.966442,54.736336,54.736336,36.545856,1312100
2006-04-18,54.745926,55.321190,54.688400,55.292427,36.917137,1957300
2006-04-19,55.186962,55.417065,54.832214,54.851391,36.622677,1796400
2006-04-20,54.765102,55.292427,54.755512,54.889740,36.648281,1326200
2006-04-21,55.081497,55.263664,54.678810,54.832214,36.609879,1451800
2006-04-24,55.043144,56.922340,55.033558,56.107384,37.461258,3933200
2006-04-25,56.049854,56.711411,55.781399,55.896454,37.320427,2675900
2006-04-26,56.088207,56.673058,56.049854,56.308723,37.595695,2458800
2006-04-27,56.308723,56.855225,56.299137,56.510067,37.730137,1504400
