Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,48.750000,50.110001,48.130001,50.000000,29.348261,87300
2006-01-04,50.000000,50.000000,49.430000,49.430000,29.013685,58700
2006-01-05,49.360001,50.000000,49.340000,49.900002,29.289566,81300
2006-01-06,50.840000,50.840000,49.700001,50.419998,29.594799,87700
2006-01-09,50.450001,50.799999,50.230000,50.500000,29.641748,69000
2006-01-10,50.250000,51.500000,50.240002,51.250000,30.081972,78200
2006-01-11,51.240002,51.240002,50.020000,50.590000,29.694567,83400
2006-01-12,50.590000,50.700001,50.020000,50.340000,29.547827,145300
2006-01-13,50.400002,50.730000,50.049999,50.730000,29.776745,51300
2006-01-17,50.599998,50.599998,49.709999,50.259998,29.500870,84300
2006-01-18,49.680000,49.799999,49.130001,49.349998,29.313759,246800
2006-01-19,49.400002,49.799999,49.369999,49.650002,29.491968,79500
2006-01-20,49.950001,50.029999,49.520000,49.980000,29.687992,104500
2006-01-23,49.980000,50.250000,49.650002,49.770000,29.563242,78600
2006-01-24,49.950001,50.139999,49.730000,50.020000,29.711739,215500
2006-01-25,50.000000,50.380001,49.900002,50.250000,29.848362,154500
2006-01-26,50.480000,50.610001,50.180000,50.610001,30.062201,139100
2006-01-27,50.599998,50.889999,50.470001,50.820000,30.186939,104900
2006-01-30,50.919998,51.099998,50.599998,50.900002,30.234455,168800
2006-01-31,50.799999,51.139999,50.650002,51.049999,30.323561,182600
2006-02-01,51.049999,51.810001,50.840000,51.349998,30.501760,90600
2006-02-02,51.299999,51.939999,51.299999,51.619999,30.662132,172400
2006-02-03,51.480000,52.599998,51.169998,52.049999,30.917547,180200
2006-02-06,52.080002,52.130001,50.970001,52.049999,30.917547,246400
2006-02-07,51.849998,52.160000,51.400002,51.529999,30.608683,183600
2006-02-08,51.500000,51.799999,51.090000,51.750000,30.739363,90800
2006-02-09,51.799999,52.340000,51.650002,52.009998,30.893806,133400
2006-02-10,51.060001,52.500000,51.060001,52.410000,31.131395,109100
2006-02-13,52.290001,52.540001,52.099998,52.299999,31.066059,65100
2006-02-14,52.500000,53.169998,52.369999,52.860001,31.398697,92100
2006-02-15,52.750000,53.500000,52.599998,53.500000,31.778852,73200
2006-02-16,54.450001,54.450001,53.209999,53.779999,31.945175,137100
2006-02-17,52.830002,54.400002,52.830002,54.340000,32.277805,110900
2006-02-21,54.340000,54.439999,53.939999,54.340000,32.277805,192600
2006-02-22,54.299999,55.619999,54.020000,55.349998,32.877754,123100
2006-02-23,54.900002,55.889999,54.700001,55.529999,32.984669,92300
2006-02-24,55.400002,55.400002,54.650002,54.790001,32.545113,102200
2006-02-27,54.730000,54.900002,54.500000,54.650002,32.461948,50700
2006-02-28,54.450001,54.500000,53.400002,54.299999,32.254047,112200
2006-03-01,54.290001,54.360001,53.730000,54.299999,32.254047,114900
2006-03-02,54.099998,54.220001,53.490002,54.130001,32.153061,88800
2006-03-03,53.900002,54.240002,53.779999,53.830002,31.974863,95300
2006-03-06,52.880001,54.990002,52.880001,54.939999,32.634201,95600
2006-03-07,53.990002,55.290001,53.990002,55.230000,32.806469,149600
2006-03-08,55.080002,55.900002,54.500000,55.599998,33.026237,82600
2006-03-09,55.650002,56.250000,55.200001,55.450001,32.937138,122400
2006-03-10,55.450001,55.849998,55.330002,55.849998,33.174747,137800
2006-03-13,55.849998,55.990002,55.430000,55.590000,33.020309,96800
2006-03-14,55.590000,56.610001,55.520000,56.599998,33.620247,105600
2006-03-15,56.500000,57.919998,56.500000,57.770000,34.315212,154900
2006-03-16,57.799999,58.750000,57.799999,58.430000,34.707256,146900
2006-03-17,58.430000,58.430000,57.480000,58.049999,34.481541,329800
2006-03-20,57.799999,57.820000,56.480000,57.549999,34.184536,130500
2006-03-21,57.520000,57.549999,56.209999,56.340000,33.465801,68800
