Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,26.871704,27.425308,26.537786,27.425308,20.255123,3631000
2006-01-04,27.170475,27.223198,26.810194,27.003515,20.072237,2384300
2006-01-05,26.977154,27.231985,26.827768,26.880491,19.980787,2580900
2006-01-06,27.021090,27.065027,26.362040,26.713533,19.856686,2672700
2006-01-09,26.678383,26.889280,26.564148,26.783831,19.908937,3531100
2006-01-10,26.757469,26.906855,26.581722,26.898067,19.993851,3120800
2006-01-11,27.021090,27.284710,26.915642,27.108963,20.150614,2996900
2006-01-12,26.968365,27.100176,26.652021,26.739895,19.876272,1987700
2006-01-13,26.731108,26.862917,26.449913,26.581722,19.758713,1211000
2006-01-17,26.537786,26.748682,26.441124,26.643234,19.804430,2666400
2006-01-18,26.581722,26.898067,26.537786,26.827768,19.941601,3301500
2006-01-19,26.783831,26.924429,26.353251,26.485062,19.686853,2750400
2006-01-20,26.660809,26.660809,25.694201,25.817223,19.190441,3900300
2006-01-23,25.922672,26.098419,25.826010,26.001757,19.327608,2332100
2006-01-24,26.036907,26.247803,26.010546,26.159929,19.445183,4344000
2006-01-25,26.186293,26.256590,25.852373,26.151142,19.438654,2701600
2006-01-26,26.151142,26.159929,25.702988,25.817223,19.190441,3679900
2006-01-27,25.817223,26.107206,25.483305,26.028120,19.347202,2216100
2006-01-30,25.966608,26.230228,25.878735,26.159929,19.445183,2305100
2006-01-31,26.168716,26.397188,26.010546,26.054482,19.366798,3289800
2006-02-01,25.905096,26.291740,25.790861,25.878735,19.236160,3939300
2006-02-02,25.834799,26.028120,25.553602,25.861160,19.223101,3588200
2006-02-03,25.659052,26.098419,25.632689,26.019333,19.340673,2780700
2006-02-06,25.966608,26.344463,25.931459,26.151142,19.438654,3119800
2006-02-07,26.054482,26.195080,25.738136,25.940247,19.281887,4087800
2006-02-08,25.852373,26.080843,25.650263,26.010546,19.334139,3009400
2006-02-09,26.028120,26.239016,25.896309,26.080843,19.386395,3163800
2006-02-10,25.975395,26.230228,25.738136,26.230228,19.497431,2215000
2006-02-13,26.142355,26.441124,26.045694,26.282953,19.536629,2399500
2006-02-14,26.362040,27.214411,25.878735,27.047451,20.104893,4317500
2006-02-15,26.889280,27.205624,26.783831,27.056238,20.111431,2721900
2006-02-16,27.021090,27.398945,27.012302,27.398945,20.366167,3129300
2006-02-17,27.521969,27.583479,27.267136,27.434095,20.392296,3044900
2006-02-21,27.548330,27.680141,27.100176,27.188049,20.209406,2864100
2006-02-22,27.337435,27.724077,27.196836,27.688929,20.581713,2011800
2006-02-23,27.548330,27.715290,27.196836,27.653778,20.555582,2466200
2006-02-24,27.724077,27.724077,27.425308,27.583479,20.503334,1586300
2006-02-27,27.680141,27.847099,27.451670,27.680141,20.575184,1361100
2006-02-28,27.548330,27.680141,27.126537,27.407732,20.372686,1894900
2006-03-01,27.328648,27.521969,26.818981,27.425308,20.385761,2852300
2006-03-02,27.240774,27.425308,26.977154,27.363796,20.340042,1554000
2006-03-03,27.196836,27.275923,27.012302,27.152901,20.183275,1777600
2006-03-06,27.144112,27.240774,26.810194,26.880491,19.980787,1672700
2006-03-07,26.880491,26.942003,26.608084,26.942003,20.026506,2147700
2006-03-08,26.827768,26.854130,26.537786,26.783831,19.908937,2033300
2006-03-09,26.775043,27.065027,26.722321,26.906855,20.000383,1379100
2006-03-10,26.818981,27.434095,26.695957,27.346222,20.326973,1998700
2006-03-13,26.801407,26.915642,26.142355,26.265377,19.523560,5473400
2006-03-14,26.265377,27.196836,26.265377,27.152901,20.183275,3231200
2006-03-15,27.108963,27.363796,27.065027,27.293497,20.287785,2396000
2006-03-16,27.372583,27.750439,27.258348,27.592268,20.509863,3079500
2006-03-17,27.864676,28.532513,27.688929,28.330404,21.058533,4461300
2006-03-20,28.277679,28.383129,28.119509,28.181019,20.947491,2156000
2006-03-21,28.295256,28.339191,28.022846,28.154657,20.927900,2170000
2006-03-22,28.075571,28.172232,27.829525,28.022846,20.829924,1634100
2006-03-23,27.952549,28.383129,27.838312,28.233744,20.986681,1747300
2006-03-24,28.207382,28.541300,27.952549,28.216169,20.973625,1852300
2006-03-27,28.137083,28.435852,28.137083,28.383129,21.097725,1375100
2006-03-28,28.954306,28.954306,28.075571,28.312830,21.045477,2296100
2006-03-29,28.339191,28.365553,28.022846,28.260105,21.006283,2249200
2006-03-30,28.119509,28.383129,27.926186,28.356766,21.078135,2265700
2006-03-31,28.409491,28.769772,28.365553,28.550087,21.221830,3515100
2006-04-03,28.620386,29.068541,28.558876,29.024605,21.574545,4531900
2006-04-04,28.980667,29.297012,28.646749,29.077328,21.613737,3375300
2006-04-05,28.954306,29.253075,28.708260,29.173990,21.685587,3055900
2006-04-06,29.121265,29.121265,28.567663,28.734623,21.358997,2421400
2006-04-07,28.866432,29.077328,28.558876,28.646749,21.293684,2952500
2006-04-10,28.453426,28.471003,28.251318,28.374340,21.234493,1324100
2006-04-11,28.365553,28.418278,28.075571,28.198593,21.102972,2152100
2006-04-12,28.216169,28.286467,28.031635,28.233744,21.129280,1165300
2006-04-13,28.233744,28.330404,27.996485,28.189806,21.096392,1040400
2006-04-17,28.031635,28.163445,27.943762,28.075571,21.010902,1354200
2006-04-18,27.943762,28.919157,27.943762,28.840071,21.583033,3092800
2006-04-19,28.822496,28.866432,28.567663,28.866432,21.602766,1519000
2006-04-20,28.866432,28.963093,28.585238,28.875219,21.609335,1649000
2006-04-21,29.147627,29.147627,28.646749,28.778559,21.537003,1898500
2006-04-24,29.569420,29.613358,28.427065,28.462214,21.300257,1371200
2006-04-25,28.462214,28.585238,28.233744,28.400703,21.254223,1976800
2006-04-26,28.400703,28.752197,28.189806,28.242531,21.135853,1628700
2006-04-27,27.943762,28.242531,27.724077,28.084358,21.017475,3813200
2006-04-28,28.084358,28.207382,27.952549,28.031635,20.978029,3619700
2006-05-01,28.031635,28.286467,27.557117,28.119509,21.043785,3239400
2006-05-02,28.558876,28.611599,27.961336,28.488577,21.319986,3758400
2006-05-03,28.488577,28.655537,28.268892,28.427065,21.273951,3194200
2006-05-04,28.339191,28.646749,28.251318,28.356766,21.221340,2933000
2006-05-05,28.514938,28.831284,28.374340,28.787346,21.543579,3420300
2006-05-08,28.778559,28.936731,28.655537,28.717047,21.490965,2279500
2006-05-09,28.734623,28.857645,28.558876,28.629173,21.425201,2181500
2006-05-10,28.576450,29.209139,28.567663,29.042179,21.734289,2684400
2006-05-11,29.200352,29.297012,28.936731,28.945518,21.661943,3063200
2006-05-12,28.980667,28.998243,28.427065,28.471003,21.306835,2254700
2006-05-15,28.471003,28.558876,28.172232,28.532513,21.352865,2053500
2006-05-16,28.541300,28.541300,28.031635,28.075571,21.010902,3126400
2006-05-17,27.715290,27.724077,27.126537,27.390158,20.497963,3444100
2006-05-18,27.390158,27.671352,27.065027,27.082602,20.267799,2994700
2006-05-19,27.082602,27.363796,26.836555,27.073814,20.261225,3707700
2006-05-22,27.082602,27.495605,26.652021,26.783831,20.044203,3871800
2006-05-23,27.627417,28.497364,25.940247,26.827768,20.077085,2247500
2006-05-24,26.713533,27.205624,26.511423,26.862917,20.103392,2704500
2006-05-25,26.818981,27.302284,26.818981,27.267136,20.405893,2088900
2006-05-26,27.267136,27.495605,27.065027,27.188049,20.346708,1719600
2006-05-30,27.196836,27.284710,27.021090,27.179262,20.340130,2539900
2006-05-31,27.249561,27.398945,27.117750,27.258348,20.399317,2548700
2006-06-01,27.196836,27.715290,26.994728,27.662565,20.701824,2540800
2006-06-02,27.855888,27.864676,27.346222,27.671352,20.708399,3080700
2006-06-05,27.504395,27.504395,26.748682,26.757469,20.024483,3070700
2006-06-06,26.695957,26.704744,25.984182,26.239016,19.636488,6373200
2006-06-07,26.247803,26.397188,25.492092,25.579966,19.143265,4644600
2006-06-08,25.351494,25.641476,24.850615,25.553602,19.123537,5348300
2006-06-09,25.571178,26.028120,25.448154,25.456942,19.051203,3578000
2006-06-12,25.465729,25.553602,25.008787,25.008787,18.715811,2884600
2006-06-13,25.008787,25.325132,24.305799,24.332161,18.209450,8149900
2006-06-14,24.279438,24.639719,24.279438,24.455185,18.301517,5242800
2006-06-15,24.604568,25.272408,24.490334,25.079086,18.768429,4481300
2006-06-16,25.079086,25.193321,24.753954,24.956062,18.676357,4372000
2006-06-19,25.096661,25.228472,24.683655,24.789104,18.551414,3776700
2006-06-20,24.666080,24.912127,24.595781,24.824253,18.577717,5062600
2006-06-21,24.876978,25.342707,24.868189,25.035149,18.735546,3565800
2006-06-22,25.035149,25.184534,24.894552,25.000000,18.709236,2944900
2006-06-23,24.824253,25.246046,24.780315,24.912127,18.643486,2958600
2006-06-26,24.912127,25.439367,24.912127,25.351494,18.972288,3144200
2006-06-27,25.289982,25.562389,24.903339,25.210896,18.867071,3978900
2006-06-28,25.210896,25.509666,25.070299,25.483305,19.070932,2534700
2006-06-29,25.562389,26.159929,25.351494,26.080843,19.518110,3766400
2006-06-30,26.274166,26.318102,25.817223,26.045694,19.491802,4734500
2006-07-03,26.124781,26.274166,25.817223,26.151142,19.570723,1645300
2006-07-05,25.957821,25.966608,25.571178,25.905096,19.530968,3256900
2006-07-06,25.421793,25.430580,25.035149,25.219685,19.014210,4238400
2006-07-07,25.263620,25.377855,24.507908,24.560633,18.517321,5876400
2006-07-10,25.043938,25.298769,24.903339,25.158173,18.967834,3169500
2006-07-11,25.114235,25.202108,24.701231,25.175747,18.981079,3026100
2006-07-12,25.175747,25.210896,24.490334,24.516695,18.484192,4120600
2006-07-13,24.340948,24.472759,23.901581,23.963093,18.066809,6210200
2006-07-14,23.963093,23.963093,23.233744,23.787346,17.934305,5688400
2006-07-17,23.752197,24.068541,23.752197,23.989454,18.086681,2381800
2006-07-18,24.156414,24.384886,23.453426,23.963093,18.066809,3733200
2006-07-19,24.165201,24.586994,24.121265,24.288225,18.311934,4171900
2006-07-20,24.297012,24.323374,23.488577,23.541300,17.748798,3115700
2006-07-21,23.506151,23.514938,22.794376,22.847099,17.225416,7084000
2006-07-24,23.049210,23.523726,22.899824,23.304043,17.569927,4552300
2006-07-25,23.189806,23.752197,23.163445,23.611599,17.801802,4532700
2006-07-26,23.611599,23.611599,22.820738,23.145870,17.450672,4672700
2006-07-27,23.198593,23.506151,22.776802,22.943762,17.298286,3600200
2006-07-28,23.066784,23.778559,23.031635,23.629173,17.815050,3890400
2006-07-31,23.629173,23.725834,23.207382,23.488577,17.709049,3604500
2006-08-01,23.523726,23.655537,22.899824,23.268892,17.543415,6153600
2006-08-02,23.462214,23.558876,23.031635,23.330404,17.589794,4099900
2006-08-03,23.462214,24.376099,23.365553,24.156414,18.212559,6059600
2006-08-04,24.437611,25.043938,23.734623,24.042179,18.126432,4230500
2006-08-07,24.042179,24.437611,23.813707,24.393673,18.391441,3462800
2006-08-08,24.578207,24.683655,24.033392,24.147627,18.205936,4224000
2006-08-09,24.305799,24.305799,23.321617,23.374340,17.622925,4337600
2006-08-10,23.295256,23.514938,23.084358,23.462214,17.689171,2615600
2006-08-11,23.435852,23.567663,23.031635,23.312830,17.576550,2032900
2006-08-14,23.506151,23.664324,22.987698,23.022846,17.357916,3130500
2006-08-15,23.242531,23.725834,23.233744,23.602812,17.795177,5277900
2006-08-16,23.664324,24.314587,23.506151,24.200352,18.245687,3389500
2006-08-17,24.244287,24.446398,24.077328,24.217926,18.258938,2509200
2006-08-18,24.226713,24.226713,23.875219,24.015818,18.106562,2261600
2006-08-21,23.945518,23.954306,23.629173,23.637960,17.821678,2113300
2006-08-22,23.725834,23.927944,23.523726,23.585238,17.781927,2605400
2006-08-23,23.594025,23.725834,23.163445,23.189806,17.483791,2773300
2006-08-24,23.374340,23.471003,22.908611,23.216169,17.503672,3708700
2006-08-25,23.075571,23.637960,22.943762,23.506151,17.722298,2839900
2006-08-28,23.427065,23.971880,23.427065,23.901581,18.020433,3116200
2006-08-29,23.910370,23.954306,23.594025,23.927944,18.040308,2646000
2006-08-30,24.068541,24.068541,23.840071,23.980667,18.080057,1402000
2006-08-31,23.980667,24.200352,23.769772,24.086117,18.159557,2604700
2006-09-01,24.147627,24.516695,24.015818,24.376099,18.378193,2512300
2006-09-05,24.481546,24.639719,24.209139,24.578207,18.530567,2701600
2006-09-06,24.586994,24.595781,24.007030,24.077328,18.152935,3126900
2006-09-07,24.086117,24.094904,23.453426,23.585238,17.781927,4498500
2006-09-08,23.550087,23.787346,23.391916,23.743410,17.901178,1895300
2006-09-11,23.550087,24.305799,23.435852,24.244287,18.278814,4602400
2006-09-12,24.165201,24.595781,24.077328,24.437611,18.424562,4308500
2006-09-13,24.428822,24.639719,24.191565,24.270651,18.298689,3911500
2006-09-14,24.279438,24.947275,24.050966,24.674868,18.603451,2711600
2006-09-15,24.938488,25.114235,24.780315,24.806679,18.702824,2804300
2006-09-18,24.841827,24.841827,23.831284,24.217926,18.258938,4323600
2006-09-19,24.226713,24.261864,23.778559,24.024605,18.113190,3132100
2006-09-20,23.356766,24.033392,23.101933,23.646749,17.828304,9579300
2006-09-21,23.110720,23.339191,22.803164,22.926186,17.285042,6514200
2006-09-22,23.057997,23.462214,22.715290,23.383129,17.629547,4400500
2006-09-25,23.488577,23.725834,23.260105,23.558876,17.762058,3704500
2006-09-26,23.558876,24.253075,23.347979,23.980667,18.080057,5421700
2006-09-27,23.989454,24.384886,23.927944,24.297012,18.318563,4154100
2006-09-28,24.288225,24.499121,24.042179,24.340948,18.351692,2626300
2006-09-29,24.340948,24.455185,24.094904,24.094904,18.166180,2521100
2006-10-02,24.182777,24.604568,23.954306,24.358524,18.364943,4231600
2006-10-03,24.367311,24.376099,23.936731,24.094904,18.166180,3374900
2006-10-04,23.778559,24.349737,23.646749,24.182777,18.379910,4259300
2006-10-05,24.165201,24.393673,24.138840,24.253075,18.433332,3019000
2006-10-06,24.165201,24.270651,24.015818,24.200352,18.393263,2361000
2006-10-09,24.209139,24.648506,23.857645,24.630932,18.720516,3759300
2006-10-10,24.630932,24.885765,24.367311,24.507908,18.627018,3469100
2006-10-11,24.340948,24.472759,24.024605,24.138840,18.346510,4179900
2006-10-12,24.138840,24.332161,23.971880,24.261864,18.440018,3767200
2006-10-13,24.147627,24.200352,23.857645,24.059753,18.286400,3025100
2006-10-16,24.077328,25.070299,24.077328,25.035149,19.027740,4942600
2006-10-17,25.035149,25.035149,24.560633,24.613358,18.707167,2921200
2006-10-18,24.797892,25.149385,24.376099,24.463972,18.593620,2488600
2006-10-19,24.472759,24.674868,24.297012,24.534271,18.647055,2016800
2006-10-20,24.674868,24.674868,24.077328,24.455185,18.586943,1988600
2006-10-23,24.455185,24.560633,24.332161,24.463972,18.593620,1902500
2006-10-24,24.463972,24.683655,24.428822,24.604568,18.700478,2660300
2006-10-25,24.560633,24.569420,24.297012,24.376099,18.526836,2559000
2006-10-26,24.472759,25.254833,24.393673,25.131811,19.101213,5404000
2006-10-27,25.043938,25.052725,24.701231,24.920914,18.940922,3189900
2006-10-30,24.929701,24.991213,24.551846,24.604568,18.700478,3332100
2006-10-31,24.604568,24.868189,23.752197,24.297012,18.466724,7218500
2006-11-01,24.428822,24.428822,23.813707,23.927944,18.186222,4044900
2006-11-02,23.927944,24.103691,23.594025,23.673111,17.992538,2947600
2006-11-03,23.725834,23.989454,23.673111,23.796133,18.086037,2149700
2006-11-06,23.901581,24.182777,23.831284,24.068541,18.293079,2840300
2006-11-07,24.191565,24.446398,23.954306,24.349737,18.506802,2798400
2006-11-08,24.121265,24.534271,24.103691,24.428822,18.566902,5111500
2006-11-09,24.393673,24.560633,24.235500,24.393673,18.540192,3225300
2006-11-10,24.314587,24.666080,24.314587,24.490334,18.613659,2198000
2006-11-13,24.604568,24.727592,24.288225,24.534271,18.647055,2673900
2006-11-14,24.648506,24.903339,24.279438,24.859402,18.894163,2887100
2006-11-15,24.859402,25.193321,24.727592,24.982426,18.987665,3612800
2006-11-16,25.087873,25.228472,24.868189,25.043938,19.034426,2526100
2006-11-17,24.991213,25.492092,24.718805,25.456942,19.348322,4623800
2006-11-20,25.351494,25.597540,25.061512,25.114235,19.087849,3109900
2006-11-21,25.193321,25.351494,25.149385,25.272408,19.208067,1999900
2006-11-22,25.395432,25.465729,25.210896,25.228472,19.174671,2571000
2006-11-24,25.140598,25.325132,25.017574,25.219685,19.167995,756600
2006-11-27,25.219685,25.254833,24.674868,24.824253,18.867453,2569300
2006-11-28,24.824253,24.833040,24.481546,24.639719,18.727196,2063700
2006-11-29,24.674868,25.140598,24.674868,25.026361,19.021063,1974500
2006-11-30,25.166960,25.351494,25.061512,25.210896,19.161316,5364400
2006-12-01,25.210896,25.360281,25.052725,25.272408,19.208067,3664000
2006-12-04,25.272408,25.492092,25.202108,25.483305,19.368364,3027700
2006-12-05,25.571178,25.606327,25.369068,25.518454,19.395073,3057000
2006-12-06,25.518454,26.476274,25.430580,26.405975,20.069628,6425100
2006-12-07,26.537786,26.608084,26.256590,26.362040,20.036232,3962000
2006-12-08,26.405975,26.564148,26.230228,26.326889,20.009516,1966400
2006-12-11,26.318102,26.564148,26.054482,26.159929,19.882618,1863800
2006-12-12,26.124781,26.230228,25.834799,25.984182,19.749050,2111200
2006-12-13,26.239016,26.265377,25.861160,25.940247,19.715652,1736200
2006-12-14,25.887522,26.326889,25.817223,26.247803,19.949409,2323600
2006-12-15,26.318102,26.362040,25.553602,25.729349,19.555363,12190300
2006-12-18,25.729349,25.755713,25.474516,25.615114,19.468538,3478200
2006-12-19,25.483305,25.764500,25.351494,25.650263,19.495260,3512600
2006-12-20,25.632689,26.010546,25.597540,25.852373,19.648865,2300600
2006-12-21,25.905096,25.957821,25.676626,25.738136,19.562040,1966300
2006-12-22,25.790861,25.896309,25.597540,25.702988,19.535330,1229700
