Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,75.150002,75.430000,74.300003,74.980003,9.555551,8818500
2006-01-04,75.250000,75.769997,75.099998,75.519997,9.624369,6594100
2006-01-05,75.830002,76.169998,75.260002,75.330002,9.600158,6790600
2006-01-06,76.089996,76.099998,75.339996,75.949997,9.679170,5629500
2006-01-09,76.000000,76.430000,75.879997,76.180000,9.708483,7382700
2006-01-10,76.300003,76.379997,75.639999,76.080002,9.695741,5803700
2006-01-11,76.300003,76.779999,75.919998,76.470001,9.745441,5714900
2006-01-12,76.650002,77.370003,76.110001,76.349998,9.730146,7424700
2006-01-13,76.800003,77.050003,76.169998,76.440002,9.741618,4659100
2006-01-17,76.099998,76.269997,75.599998,75.800003,9.660053,4320900
2006-01-18,75.809998,76.239998,75.500000,75.870003,9.668975,5155100
2006-01-19,75.959999,76.120003,75.250000,75.559998,9.629467,7529000
2006-01-20,75.559998,75.559998,74.839996,74.839996,9.537710,11844100
2006-01-23,74.849998,75.180000,74.440002,74.720001,9.522418,6255900
2006-01-24,74.750000,74.769997,73.879997,74.209999,9.457422,5267000
2006-01-25,74.300003,74.639999,73.769997,73.849998,9.411542,8516800
2006-01-26,74.489998,74.669998,73.559998,73.750000,9.398797,5588300
2006-01-27,73.820000,75.070000,73.199997,74.730003,9.523692,5609800
2006-01-30,74.639999,75.150002,73.820000,73.910004,9.419188,7052300
2006-01-31,72.480003,73.500000,72.339996,72.339996,9.219104,12794400
2006-02-01,72.550003,73.500000,72.550003,73.500000,9.366941,8923600
2006-02-02,73.250000,73.449997,71.900002,72.029999,9.179600,9618000
2006-02-03,71.599998,72.500000,70.550003,71.699997,9.137545,8008000
2006-02-06,71.400002,71.970001,70.959999,71.379997,9.096764,5842600
2006-02-07,71.389999,71.750000,71.010002,71.050003,9.054709,5824700
2006-02-08,70.800003,71.940002,70.800003,71.349998,9.092940,8408800
2006-02-09,71.660004,72.449997,71.500000,71.820000,9.152839,7650000
2006-02-10,71.949997,72.559998,71.260002,71.870003,9.159211,4818600
2006-02-13,71.599998,71.870003,71.059998,71.250000,9.080195,4233300
2006-02-14,71.699997,72.690002,71.080002,72.589996,9.250963,6687200
2006-02-15,72.699997,73.449997,72.400002,73.379997,9.351645,7575000
2006-02-16,73.250000,73.660004,72.779999,73.199997,9.328705,7653900
2006-02-17,73.300003,73.800003,72.750000,72.870003,9.286651,6137500
2006-02-21,72.680000,72.949997,72.160004,72.199997,9.201265,5943500
2006-02-22,72.650002,73.500000,72.489998,73.379997,9.351645,5778300
2006-02-23,73.400002,73.779999,72.930000,73.379997,9.351645,5053800
2006-02-24,73.750000,73.750000,72.449997,72.449997,9.233125,6562800
2006-02-27,72.800003,72.940002,72.500000,72.720001,9.267534,5634700
2006-02-28,72.300003,72.309998,71.750000,71.900002,9.163031,9221600
2006-03-01,72.199997,72.500000,71.900002,72.050003,9.182151,6518300
2006-03-02,71.889999,72.000000,71.300003,71.610001,9.126074,6794200
2006-03-03,71.300003,72.430000,71.260002,72.110001,9.189798,5219300
2006-03-06,72.110001,72.349998,71.419998,71.500000,9.112058,6049400
2006-03-07,71.500000,72.250000,71.470001,71.790001,9.149015,6156000
2006-03-08,71.800003,72.820000,71.519997,72.650002,9.258615,6286400
2006-03-09,72.699997,73.690002,72.260002,72.830002,9.281555,12123500
2006-03-10,73.080002,73.879997,72.809998,73.860001,9.412818,7585900
2006-03-13,73.510002,73.550003,73.099998,73.500000,9.469509,5607900
2006-03-14,73.449997,74.529999,73.410004,74.459999,9.593189,7179900
2006-03-15,74.459999,74.459999,73.620003,73.870003,9.517174,5150600
2006-03-16,74.169998,74.309998,73.580002,73.900002,9.521040,7337600
2006-03-17,73.849998,74.010002,73.470001,73.550003,9.475946,9607600
2006-03-20,73.500000,73.720001,72.800003,73.589996,9.481100,7740000
2006-03-21,73.379997,73.889999,72.230003,72.459999,9.335513,7338700
2006-03-22,72.620003,73.580002,72.449997,73.290001,9.442449,6128100
2006-03-23,73.599998,73.620003,72.650002,72.750000,9.372878,5333300
2006-03-24,72.250000,73.500000,72.250000,72.940002,9.397355,4115200
2006-03-27,72.870003,73.230003,72.000000,72.050003,9.282692,6174300
2006-03-28,72.000000,72.739998,71.930000,72.029999,9.280115,9666300
2006-03-29,72.029999,72.910004,71.889999,72.820000,9.381898,5344000
2006-03-30,72.430000,72.910004,71.459999,71.720001,9.240176,9611100
2006-03-31,71.720001,71.889999,70.760002,70.860001,9.129377,11566000
2006-04-03,71.000000,71.860001,71.000000,71.309998,9.187352,8613700
2006-04-04,71.300003,71.699997,70.870003,71.080002,9.157723,10106500
2006-04-05,71.000000,71.370003,70.750000,71.180000,9.170602,6388700
2006-04-06,71.110001,71.250000,70.389999,70.459999,9.077841,6831700
2006-04-07,70.550003,70.849998,69.500000,69.750000,8.986368,7547200
2006-04-10,70.110001,70.349998,69.809998,70.040001,9.023732,4673200
2006-04-11,70.070000,70.349998,68.680000,69.320000,8.930966,7422200
2006-04-12,69.599998,69.940002,69.099998,69.589996,8.965753,5869900
2006-04-13,69.620003,69.900002,68.660004,69.000000,8.889739,8342100
2006-04-17,69.000000,69.269997,68.360001,68.680000,8.848511,5293500
2006-04-18,68.699997,69.519997,68.400002,69.440002,8.946428,9269900
2006-04-19,69.199997,69.500000,68.699997,68.959999,8.884583,7098100
2006-04-20,69.500000,70.339996,69.150002,70.040001,9.023732,8016800
2006-04-21,70.480003,70.790001,70.010002,70.540001,9.088145,9989300
2006-04-24,70.360001,71.370003,70.080002,71.309998,9.187352,6604300
2006-04-25,71.199997,71.959999,71.160004,71.620003,9.227294,6493000
2006-04-26,71.949997,72.449997,71.209999,71.370003,9.195081,5236200
2006-04-27,70.699997,72.500000,70.500000,71.930000,9.267230,10585800
2006-04-28,72.099998,73.239998,71.930000,73.160004,9.425703,10250900
2006-05-01,73.099998,73.300003,72.250000,72.400002,9.327783,6626800
2006-05-02,72.269997,73.080002,72.099998,72.900002,9.392203,4941100
