Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,5.688000,5.694000,5.645000,5.691000,4.538457,682000
2006-01-04,5.708000,5.735000,5.703000,5.718000,4.559988,412000
2006-01-05,5.665000,5.671000,5.625000,5.631000,4.490609,302000
2006-01-06,5.623000,5.663000,5.608000,5.649000,4.504963,441000
2006-01-09,5.657000,5.749000,5.657000,5.714000,4.556798,467000
2006-01-10,5.660000,5.696000,5.650000,5.672000,4.523305,356000
2006-01-11,5.620000,5.648000,5.599000,5.640000,4.497785,458000
2006-01-12,5.526000,5.568000,5.479000,5.556000,4.430799,559000
2006-01-13,5.598000,5.650000,5.592000,5.616000,4.478647,487000
2006-01-17,5.550000,5.579000,5.540000,5.570000,4.441963,180000
2006-01-18,5.551000,5.567000,5.504000,5.542000,4.419632,664000
2006-01-19,5.585000,5.602000,5.567000,5.571000,4.442760,536000
2006-01-20,5.596000,5.596000,5.515000,5.540000,4.418037,335000
2006-01-23,5.593000,5.604000,5.562000,5.571000,4.442760,229000
2006-01-24,5.675000,5.696000,5.637000,5.660000,4.513734,926000
2006-01-25,5.644000,5.653000,5.595000,5.629000,4.489014,966000
2006-01-26,5.660000,5.684000,5.644000,5.674000,4.524899,749000
2006-01-27,5.570000,5.590000,5.490000,5.490000,4.378163,501000
2006-01-30,5.604000,5.650000,5.602000,5.635000,4.493797,706000
2006-01-31,5.617000,5.636000,5.580000,5.581000,4.450736,643000
2006-02-01,5.602000,5.629000,5.576000,5.614000,4.477051,353000
2006-02-02,5.666000,5.728000,5.666000,5.725000,4.565571,335000
2006-02-03,5.690000,5.692000,5.665000,5.666000,4.518521,362000
2006-02-06,5.667000,5.688000,5.620000,5.653000,4.508152,991000
2006-02-07,5.668000,5.683000,5.653000,5.667000,4.519318,199000
2006-02-08,5.632000,5.667000,5.615000,5.645000,4.501773,260000
2006-02-09,5.662000,5.667000,5.623000,5.643000,4.500178,1194000
2006-02-10,5.679000,5.703000,5.635000,5.657000,4.511344,521000
2006-02-13,5.637000,5.695000,5.637000,5.694000,4.540849,143000
2006-02-14,5.638000,5.685000,5.633000,5.679000,4.528887,818000
2006-02-15,5.686000,5.707000,5.663000,5.694000,4.540849,338000
