Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,24.360001,24.360001,23.389999,23.850000,17.910160,1391400
2006-01-04,23.809999,24.090000,23.700001,24.059999,18.067858,1083800
2006-01-05,24.100000,24.209999,23.920000,24.150000,18.135441,1129000
2006-01-06,24.000000,24.240000,23.900000,24.010000,18.030317,1825600
2006-01-09,24.000000,24.299999,23.879999,24.280001,18.233070,1353200
2006-01-10,24.049999,24.240000,23.950001,23.959999,17.992767,1548800
2006-01-11,23.959999,24.070000,23.870001,23.950001,17.985256,877700
2006-01-12,23.850000,23.950001,23.670000,23.690001,17.790005,704200
2006-01-13,23.730000,24.010000,23.730000,23.900000,17.947704,1091900
2006-01-17,23.580000,23.730000,23.350000,23.610001,17.729931,959600
2006-01-18,23.610001,23.799999,23.469999,23.520000,17.662344,1762800
2006-01-19,24.500000,24.500000,23.900000,24.299999,18.248085,4074800
2006-01-20,24.450001,24.580000,23.920000,23.950001,17.985256,1672600
2006-01-23,23.959999,24.139999,23.900000,23.990000,18.015297,815300
2006-01-24,24.010000,24.139999,23.879999,23.879999,17.932692,1082900
2006-01-25,24.030001,24.370001,23.799999,24.219999,18.188007,1361300
2006-01-26,24.299999,24.330000,23.770000,23.780001,17.857594,2548700
2006-01-27,23.760000,23.879999,23.500000,23.510000,17.654839,2599400
2006-01-30,23.450001,23.510000,23.250000,23.260000,17.467102,1469900
2006-01-31,23.299999,23.780001,23.260000,23.639999,17.752457,2166900
2006-02-01,23.660000,24.049999,23.580000,23.930000,17.970240,1704800
2006-02-02,23.799999,24.010000,23.690001,23.950001,17.985256,1367700
2006-02-03,23.799999,23.920000,23.450001,23.549999,17.684870,704200
2006-02-06,23.660000,23.799999,23.490000,23.730000,17.820047,702400
2006-02-07,23.770000,23.770000,23.420000,23.670000,17.774988,1230300
2006-02-08,23.900000,24.049999,23.820000,23.990000,18.015297,993800
2006-02-09,24.000000,24.000000,23.700001,23.719999,17.812536,978000
2006-02-10,23.719999,24.000000,23.600000,23.969999,18.000277,1126300
2006-02-13,23.980000,23.990000,23.549999,23.620001,17.737440,705700
2006-02-14,23.600000,23.860001,23.469999,23.860001,17.917667,1116800
2006-02-15,23.950001,24.020000,23.700001,24.010000,18.030317,1357900
2006-02-16,23.920000,24.299999,23.900000,24.299999,18.248085,1454000
2006-02-17,24.150000,24.950001,24.150000,24.389999,18.475342,3081000
2006-02-21,24.760000,24.889999,24.459999,24.510000,18.566236,2071100
2006-02-22,24.680000,24.860001,24.420000,24.549999,18.596535,3844600
2006-02-23,24.559999,24.730000,24.500000,24.510000,18.566236,937100
2006-02-24,24.510000,24.600000,24.250000,24.379999,18.467764,706800
2006-02-27,24.450001,24.799999,24.440001,24.799999,18.785908,1087300
2006-02-28,24.799999,24.969999,24.590000,24.870001,18.838930,2423700
2006-03-01,24.840000,24.950001,24.790001,24.910000,18.869230,1275400
2006-03-02,24.750000,25.000000,24.680000,24.969999,18.914682,1174300
2006-03-03,24.969999,25.000000,24.870001,24.889999,18.854084,1064800
2006-03-06,24.860001,24.969999,24.670000,24.969999,18.914682,1168900
2006-03-07,24.950001,25.000000,24.709999,24.760000,18.755608,1222000
2006-03-08,24.700001,24.840000,24.549999,24.750000,18.748030,825400
2006-03-09,24.750000,25.110001,24.600000,25.010000,18.944986,1647100
2006-03-10,25.100000,25.570000,24.900000,25.450001,19.278282,1440700
2006-03-13,25.450001,25.670000,25.410000,25.639999,19.422207,1362700
2006-03-14,25.549999,25.830000,25.410000,25.700001,19.467657,1781500
2006-03-15,25.670000,25.940001,25.580000,25.820000,19.558558,2166700
2006-03-16,25.809999,25.820000,25.270000,25.480000,19.301006,2414800
2006-03-17,25.500000,25.719999,25.440001,25.610001,19.399479,2130300
2006-03-20,25.600000,25.790001,25.430000,25.590000,19.384331,1114000
2006-03-21,25.590000,25.680000,25.250000,25.549999,19.354029,1376200
2006-03-22,25.549999,25.670000,25.450001,25.520000,19.331303,1376300
2006-03-23,25.450001,25.500000,25.280001,25.379999,19.225258,1245700
2006-03-24,25.320000,25.500000,25.250000,25.440001,19.270704,806600
2006-03-27,25.900000,26.330000,25.799999,26.129999,19.793377,2599900
2006-03-28,26.129999,26.350000,25.889999,25.930000,19.641872,1869300
2006-03-29,25.969999,26.000000,25.750000,26.000000,19.694901,960100
2006-03-30,25.950001,25.969999,25.510000,25.580000,19.376760,1303100
2006-03-31,25.480000,25.660000,25.100000,25.190001,19.081333,2093900
2006-04-03,25.370001,25.830000,25.200001,25.510000,19.323732,2767500
2006-04-04,25.510000,25.670000,25.450001,25.549999,19.354029,1103100
2006-04-05,25.549999,25.610001,25.420000,25.500000,19.316156,1005900
2006-04-06,25.400000,25.520000,25.250000,25.510000,19.323732,1573400
2006-04-07,25.500000,25.809999,25.030001,25.080000,18.998001,1466400
2006-04-10,25.150000,25.370001,25.070000,25.160000,19.058607,1199600
2006-04-11,25.170000,25.170000,24.719999,24.780001,18.770761,1136400
2006-04-12,24.799999,24.980000,24.590000,24.840000,18.816210,1076300
2006-04-13,24.799999,25.090000,24.750000,24.889999,18.854084,1342800
2006-04-17,24.889999,25.000000,24.600000,24.650000,18.672291,1001000
2006-04-18,24.780001,24.820000,24.590000,24.680000,18.695011,1129700
2006-04-19,24.719999,24.940001,24.690001,24.740000,18.740458,1285700
2006-04-20,24.850000,25.730000,24.799999,25.430000,19.263130,2527000
2006-04-21,25.660000,25.750000,25.120001,25.250000,19.126783,1594300
2006-04-24,25.299999,25.559999,25.260000,25.500000,19.316156,1119300
2006-04-25,25.500000,25.750000,25.350000,25.520000,19.331303,1295500
2006-04-26,25.510000,26.000000,25.400000,25.610001,19.399479,1588600
2006-04-27,26.350000,27.799999,26.230000,27.719999,20.997795,5290200
2006-04-28,27.299999,27.580000,27.120001,27.420000,20.770552,2661900
2006-05-01,27.250000,28.200001,27.209999,27.680000,20.967501,2606000
2006-05-02,27.700001,27.770000,27.260000,27.340000,20.709949,1697000
2006-05-03,27.340000,27.490000,27.120001,27.219999,20.619045,1779100
2006-05-04,27.219999,27.750000,27.200001,27.750000,21.020525,949100
2006-05-05,27.750000,28.360001,27.690001,28.309999,21.444717,1950100
2006-05-08,28.350000,28.629999,28.280001,28.320000,21.452301,1426700
2006-05-09,28.379999,28.400000,27.780001,27.980000,21.194744,1389400
2006-05-10,27.900000,28.070000,27.670000,27.799999,21.058399,997400
2006-05-11,27.799999,27.820000,27.270000,27.350000,20.717527,1419700
2006-05-12,27.260000,27.639999,27.100000,27.219999,20.619045,958700
2006-05-15,27.219999,27.340000,27.040001,27.320000,20.694801,1112600
2006-05-16,27.350000,27.379999,26.860001,27.049999,20.490273,918000
2006-05-17,26.660000,26.820000,26.230000,26.340000,19.952448,1342200
