Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,21.860001,22.209999,21.570000,22.200001,11.760822,356800
2006-01-04,22.209999,22.320000,22.000000,22.150000,11.734330,224800
2006-01-05,21.950001,22.570000,21.950001,22.570000,11.956835,290700
2006-01-06,22.700001,22.799999,22.280001,22.459999,11.898563,227600
2006-01-09,22.459999,22.959999,22.450001,22.950001,12.158147,270700
2006-01-10,22.950001,23.260000,22.750000,23.030001,12.200530,275400
2006-01-11,23.100000,23.180000,22.900000,23.100000,12.237616,200600
2006-01-12,23.100000,23.150000,23.010000,23.150000,12.264103,366100
2006-01-13,23.180000,23.180000,22.950001,23.049999,12.211125,323800
2006-01-17,22.900000,23.100000,22.620001,23.100000,12.237616,337500
2006-01-18,23.100000,23.219999,22.850000,22.969999,12.168736,205200
2006-01-19,22.950001,23.520000,22.950001,23.480000,12.438923,226900
2006-01-20,23.559999,23.559999,23.080000,23.150000,12.264103,197900
2006-01-23,23.160000,23.309999,22.959999,23.090000,12.232318,247600
2006-01-24,23.080000,23.290001,23.070000,23.200001,12.290585,245400
2006-01-25,23.250000,23.360001,23.000000,23.100000,12.237616,244800
2006-01-26,23.190001,23.230000,23.030001,23.110001,12.242908,323400
2006-01-27,23.120001,23.490000,23.120001,23.480000,12.438923,221400
2006-01-30,23.350000,23.350000,23.120001,23.200001,12.351604,201800
2006-01-31,23.200001,23.500000,23.150000,23.290001,12.399524,232900
2006-02-01,23.250000,23.570000,23.209999,23.260000,12.383553,267400
2006-02-02,23.290001,23.340000,23.000000,23.120001,12.309016,185700
2006-02-03,23.000000,23.059999,22.600000,22.750000,12.112027,191100
2006-02-06,22.750000,23.000000,22.650000,22.850000,12.165276,178300
2006-02-07,22.879999,22.920000,22.600000,22.780001,12.127999,201200
2006-02-08,22.770000,22.770000,22.520000,22.709999,12.090740,226000
2006-02-09,22.799999,22.860001,22.600000,22.750000,12.112027,153300
2006-02-10,22.790001,22.879999,22.600000,22.780001,12.127999,117600
2006-02-13,22.780001,22.860001,22.600000,22.770000,12.122675,134400
2006-02-14,22.900000,22.900000,22.540001,22.860001,12.170593,232400
2006-02-15,22.940001,22.950001,22.690001,22.940001,12.213188,162300
2006-02-16,22.969999,23.120001,22.940001,23.070000,12.282394,197400
2006-02-17,23.150000,23.500000,23.010000,23.469999,12.495357,406400
2006-02-21,23.580000,23.590000,23.280001,23.480000,12.500682,300100
2006-02-22,23.559999,23.790001,23.410000,23.790001,12.665718,234900
2006-02-23,23.750000,23.750000,23.420000,23.559999,12.543267,239100
2006-02-24,23.500000,23.500000,23.190001,23.290001,12.399524,248900
2006-02-27,23.170000,23.230000,22.910000,23.150000,12.386688,226100
2006-02-28,23.030001,23.110001,22.750000,23.049999,12.333176,210400
2006-03-01,23.170000,23.250000,22.860001,23.250000,12.440189,276600
2006-03-02,23.250000,23.270000,23.020000,23.250000,12.440189,190700
2006-03-03,23.110001,23.200001,22.770000,22.900000,12.252915,265500
2006-03-06,22.930000,23.190001,22.799999,23.190001,12.408086,301900
2006-03-07,23.100000,23.230000,22.980000,23.150000,12.386688,269000
2006-03-08,23.100000,23.360001,23.000000,23.360001,12.499044,299900
2006-03-09,23.430000,23.639999,23.250000,23.600000,12.627454,236800
2006-03-10,23.719999,23.889999,23.530001,23.860001,12.766579,453400
2006-03-13,23.840000,24.049999,23.620001,23.900000,12.787979,365000
2006-03-14,24.040001,24.040001,23.650000,24.010000,12.846834,238800
2006-03-15,24.070000,24.450001,24.020000,24.450001,13.082258,251400
2006-03-16,24.450001,24.719999,24.379999,24.629999,13.178572,389200
2006-03-17,24.680000,24.930000,24.469999,24.930000,13.339094,191000
2006-03-20,24.730000,24.860001,24.270000,24.420000,13.066210,246400
2006-03-21,24.440001,24.490000,24.030001,24.049999,12.868248,171400
2006-03-22,24.030001,24.240000,23.889999,24.240000,12.969899,148300
2006-03-23,24.139999,24.389999,24.049999,24.389999,13.050154,248900
2006-03-24,24.200001,24.219999,23.900000,24.000000,12.841486,2114200
2006-03-27,24.000000,24.129999,24.000000,24.120001,12.905687,824300
2006-03-28,24.030001,24.200001,24.000000,24.170000,12.932447,449600
2006-03-29,24.170000,24.250000,24.100000,24.240000,12.969899,449400
2006-03-30,23.959999,24.110001,23.950001,24.010000,12.909140,777900
2006-03-31,24.010000,24.240000,23.889999,24.209999,13.016677,661900
2006-04-03,23.850000,24.059999,23.530001,23.580000,12.677956,367900
2006-04-04,23.500000,23.600000,23.200001,23.299999,12.527410,549400
2006-04-05,23.230000,23.379999,22.500000,23.240000,12.495143,691700
