Date,Open,High,Low,Close,Adj Close,Volume
2010-10-06,20.760000,20.820000,20.760000,20.820000,15.836394,7700
2010-10-07,20.879999,20.879999,20.680000,20.860001,15.866820,41600
2010-10-08,20.760000,21.129999,20.700001,21.129999,16.072189,27600
2010-10-11,21.129999,21.129999,21.129999,21.129999,16.072189,0
2010-10-12,20.930000,22.040001,20.889999,22.040001,16.764374,76300
2010-10-13,22.150000,22.190001,21.760000,21.799999,16.581810,49500
2010-10-14,21.780001,21.820000,21.570000,21.709999,16.513355,52800
2010-10-15,21.700001,21.700001,21.480000,21.480000,16.338421,24700
2010-10-18,21.410000,21.799999,21.340000,21.740000,16.536177,17900
2010-10-19,21.250000,21.540001,21.230000,21.340000,16.231926,47900
2010-10-20,21.340000,21.790001,21.309999,21.790001,16.574219,32000
2010-10-21,21.660000,21.740000,21.410000,21.480000,16.338421,16300
2010-10-22,21.500000,21.500000,21.340000,21.379999,16.262352,16100
2010-10-25,21.549999,21.750000,21.230000,21.660000,16.475338,35000
2010-10-26,21.549999,21.559999,21.290001,21.299999,16.201500,32000
2010-10-27,21.200001,21.200001,21.010000,21.160000,16.095018,34800
2010-10-28,21.180000,21.340000,21.070000,21.070000,16.026558,24700
2010-10-29,21.170000,21.700001,21.100000,21.620001,16.444901,26100
2010-11-01,21.760000,21.980000,21.540001,21.540001,16.384060,70900
2010-11-02,21.750000,21.910000,21.750000,21.820000,16.597029,22000
2010-11-03,21.889999,22.120001,21.860001,21.930000,16.680708,24000
2010-11-04,22.030001,22.049999,20.820000,20.969999,15.950498,53600
2010-11-05,21.020000,21.110001,20.490000,20.620001,15.684277,117800
2010-11-08,20.629999,21.459999,20.590000,21.200001,16.125437,31800
2010-11-09,21.540001,21.600000,20.840000,20.889999,15.889640,42000
2010-11-10,21.059999,21.309999,20.820000,21.230000,16.148252,41600
2010-11-11,20.990000,21.110001,20.850000,21.030001,15.996138,36400
2010-11-12,20.920000,20.959999,20.600000,20.750000,15.783155,33800
2010-11-15,20.639999,21.040001,20.639999,20.870001,15.874431,20700
2010-11-16,20.730000,20.860001,20.520000,20.860001,15.866820,23700
2010-11-17,20.990000,21.260000,20.870001,21.120001,16.064592,18700
2010-11-18,21.370001,21.430000,21.219999,21.309999,16.209103,15700
2010-11-19,21.299999,21.620001,21.219999,21.620001,16.444901,20800
2010-11-22,21.639999,21.750000,21.410000,21.500000,16.353634,41600
2010-11-23,21.330000,21.360001,21.080000,21.280001,16.186285,17400
2010-11-24,21.510000,21.510000,21.250000,21.379999,16.262352,15400
2010-11-26,21.090000,21.090000,20.799999,20.860001,15.866820,15400
2010-11-29,20.730000,20.799999,20.340000,20.600000,15.669056,45600
2010-11-30,20.250000,20.709999,20.209999,20.690001,15.737512,29900
2010-12-01,20.990000,21.030001,20.639999,20.850000,15.859209,40600
2010-12-02,21.230000,21.230000,20.879999,20.900000,15.897244,36200
2010-12-03,20.920000,21.180000,20.840000,21.000000,15.973317,80400
2010-12-06,21.080000,21.280001,20.969999,21.110001,16.056982,70100
2010-12-07,21.200001,21.209999,20.889999,20.950001,15.935282,35200
2010-12-08,21.160000,21.230000,20.940001,21.000000,15.973317,32700
2010-12-09,21.049999,21.190001,20.920000,21.190001,16.117830,27300
2010-12-10,21.030001,21.190001,20.950001,21.100000,16.049374,39200
2010-12-13,21.360001,21.570000,21.209999,21.250000,16.163467,33200
2010-12-14,21.260000,21.690001,21.260000,21.600000,16.429691,32600
2010-12-15,21.639999,22.309999,21.610001,22.250000,16.924103,90800
2010-12-16,22.270000,22.280001,21.450001,21.799999,16.581810,57300
2010-12-17,21.889999,21.889999,21.430000,21.500000,16.353634,20800
2010-12-20,21.440001,21.530001,21.400000,21.500000,16.353634,22400
2010-12-21,21.430000,21.530001,21.370001,21.420000,16.292776,21400
2010-12-22,21.559999,21.559999,20.450001,21.420000,16.292776,82900
2010-12-23,21.480000,21.700001,21.410000,21.500000,16.353634,17300
2010-12-27,21.500000,21.500000,21.500000,21.500000,16.353634,0
2010-12-28,21.500000,21.500000,21.500000,21.500000,16.353634,0
2010-12-29,21.770000,21.870001,21.639999,21.860001,16.627457,46400
2010-12-30,21.980000,22.020000,21.650000,21.660000,16.475338,15100
2010-12-31,21.629999,21.980000,21.629999,21.670000,16.482941,21500
2011-01-03,21.670000,21.670000,21.670000,21.670000,16.482941,0
2011-01-04,21.860001,21.860001,21.580000,21.670000,16.482941,40100
2011-01-05,21.730000,22.020000,21.730000,21.840000,16.612236,35600
2011-01-06,22.000000,22.000000,21.650000,21.790001,16.574219,32100
2011-01-07,21.959999,21.959999,21.790001,21.930000,16.680708,20800
2011-01-10,21.889999,21.980000,21.790001,21.889999,16.650274,29100
2011-01-11,22.010000,22.180000,21.900000,22.150000,16.848047,28800
2011-01-12,22.309999,22.370001,22.160000,22.309999,16.969740,14300
2011-01-13,22.350000,22.389999,22.150000,22.250000,16.924103,25500
2011-01-14,22.160000,22.480000,22.129999,22.459999,17.083839,36800
2011-01-18,22.490000,22.520000,22.280001,22.290001,16.954523,26500
2011-01-19,22.230000,22.250000,21.780001,21.809999,16.589432,41100
2011-01-20,21.790001,21.920000,21.660000,21.889999,16.650274,25000
2011-01-21,21.920000,22.059999,21.500000,21.500000,16.353634,31100
2011-01-24,21.510000,21.940001,21.500000,21.770000,16.558998,52800
2011-01-25,21.780001,21.780001,21.549999,21.680000,16.490543,15300
2011-01-26,21.799999,22.070000,21.730000,22.070000,16.787188,46100
2011-01-27,22.170000,22.200001,20.100000,22.090000,16.802399,26600
2011-01-28,22.090000,22.139999,21.920000,22.049999,16.771982,31100
2011-01-31,22.180000,22.379999,22.150000,22.170000,16.863256,15400
2011-02-01,22.280001,22.299999,22.090000,22.209999,16.893679,16400
2011-02-02,22.370001,22.400000,22.170000,22.400000,17.038200,13700
2011-02-03,22.389999,22.549999,22.379999,22.530001,17.137079,12200
2011-02-04,22.670000,22.770000,22.450001,22.639999,17.220751,16900
2011-02-07,22.480000,22.690001,22.450001,22.650000,17.228361,23400
2011-02-08,22.650000,22.760000,22.490000,22.650000,17.228361,26800
2011-02-09,22.770000,22.809999,22.299999,22.330000,16.984962,25600
2011-02-10,22.360001,22.450001,22.240000,22.340000,16.992569,34700
2011-02-11,22.350000,22.570000,22.290001,22.540001,17.144688,9700
2011-02-14,22.389999,22.530001,22.290001,22.500000,17.114256,37000
2011-02-15,22.389999,22.510000,22.330000,22.379999,17.022982,18800
2011-02-16,22.559999,22.570000,22.379999,22.500000,17.114256,15700
2011-02-17,22.520000,22.590000,22.219999,22.219999,16.901285,33400
2011-02-18,22.360001,22.459999,22.309999,22.379999,17.022982,10000
2011-02-22,22.350000,22.420000,22.110001,22.190001,16.878462,60500
2011-02-23,22.059999,22.080000,21.870001,22.010000,16.741550,29100
2011-02-24,22.150000,22.180000,21.910000,22.049999,16.771982,25100
2011-02-25,21.980000,22.350000,21.959999,22.309999,16.969740,24700
2011-02-28,22.469999,22.730000,22.410000,22.639999,17.220751,53500
2011-03-01,22.790001,22.860001,22.700001,22.799999,17.342451,34700
2011-03-02,22.870001,22.889999,22.709999,22.740000,17.296812,34200
2011-03-03,22.750000,22.750000,22.389999,22.490000,17.106653,32500
2011-03-04,22.450001,22.500000,22.299999,22.389999,17.030590,23200
2011-03-07,22.459999,22.459999,22.180000,22.190001,16.878462,43800
2011-03-08,22.219999,22.219999,21.959999,22.020000,16.749161,31900
2011-03-09,22.080000,22.080000,21.740000,21.910000,16.665489,41100
2011-03-10,21.790001,22.129999,21.459999,21.990000,16.726339,38700
2011-03-11,21.809999,22.540001,21.799999,22.530001,17.137079,17500
2011-03-14,22.590000,22.670000,22.459999,22.650000,17.228361,27400
2011-03-15,22.139999,22.469999,21.799999,22.379999,17.022982,55200
2011-03-16,22.309999,22.340000,21.870001,22.129999,16.832829,57500
2011-03-17,22.330000,22.379999,22.170000,22.309999,16.969740,31100
2011-03-18,22.389999,22.459999,22.299999,22.309999,16.969740,16500
2011-03-21,22.610001,22.700001,22.540001,22.610001,17.197933,20800
2011-03-22,22.700001,22.840000,22.590000,22.840000,17.372883,51900
2011-03-23,22.580000,22.830000,22.490000,22.820000,17.357668,18800
2011-03-24,22.940001,23.020000,22.700001,22.879999,17.403303,11900
2011-03-25,22.940001,23.020000,22.790001,22.820000,17.357668,10100
2011-03-28,22.930000,23.160000,22.889999,23.049999,17.532610,30200
2011-03-29,23.100000,23.139999,22.969999,23.020000,17.509792,51600
2011-03-30,23.100000,23.290001,23.030001,23.200001,17.646709,28200
2011-03-31,23.280001,23.639999,23.200001,23.629999,17.973785,26500
2011-04-01,23.760000,23.790001,23.549999,23.650000,17.988991,19600
2011-04-04,23.660000,23.770000,22.730000,23.770000,18.080269,20800
2011-04-05,23.719999,23.879999,23.690001,23.840000,18.133514,12500
2011-04-06,23.980000,23.980000,23.590000,23.639999,17.981390,19200
2011-04-07,23.570000,23.600000,23.350000,23.350000,17.760807,33500
2011-04-08,23.650000,23.650000,23.440001,23.530001,17.897715,12300
2011-04-11,23.540001,23.709999,23.420000,23.420000,17.814037,25300
2011-04-12,23.299999,23.650000,23.059999,23.410000,17.806429,40000
2011-04-13,23.510000,23.570000,23.400000,23.570000,17.928150,13500
2011-04-14,23.540001,23.780001,23.500000,23.650000,17.988991,23300
2011-04-15,23.549999,24.010000,23.440001,23.940001,18.209579,18500
2011-04-18,23.860001,23.860001,23.610001,23.750000,18.065056,12800
2011-04-19,24.010000,24.190001,24.000000,24.030001,18.278032,21900
2011-04-20,24.139999,24.400000,23.959999,24.219999,18.422550,18800
2011-04-21,24.389999,24.430000,24.030001,24.200001,18.407343,21700
2011-04-25,24.389999,24.389999,24.080000,24.160000,18.376915,24800
2011-04-26,24.160000,24.180000,23.850000,23.900000,18.179152,10600
2011-04-27,23.860001,24.000000,23.670000,23.870001,18.156330,15200
2011-04-28,23.840000,24.469999,23.840000,24.459999,18.605106,23700
2011-04-29,24.270000,24.389999,23.980000,24.290001,18.475792,8900
2011-05-02,24.250000,24.450001,24.190001,24.340000,18.513832,21400
2011-05-03,24.260000,24.459999,24.250000,24.270000,18.460585,13200
2011-05-04,24.379999,24.379999,23.870001,24.120001,18.346493,26100
2011-05-05,23.740000,23.930000,23.639999,23.780001,18.087873,64000
2011-05-06,24.129999,24.299999,23.940001,24.110001,18.338882,15000
2011-05-09,24.010000,24.080000,23.879999,24.070000,18.308456,13200
2011-05-10,24.230000,24.370001,24.139999,24.370001,18.536655,10000
2011-05-11,24.330000,24.350000,24.100000,24.120001,18.346493,28600
2011-05-12,23.980000,24.270000,23.730000,24.270000,18.460585,23600
2011-05-13,24.170000,24.190001,23.950001,24.040001,18.285633,8100
2011-05-16,23.920000,24.160000,23.850000,24.110001,18.338882,18300
2011-05-17,23.879999,24.000000,23.690001,23.860001,18.148726,19200
2011-05-18,23.809999,24.209999,23.760000,24.209999,18.414940,27500
2011-05-19,24.360001,24.559999,24.360001,24.480000,18.620314,20700
2011-05-20,24.370001,24.510000,24.190001,24.410000,18.567076,20000
2011-05-23,24.410000,24.410000,24.410000,24.410000,18.567076,0
2011-05-24,24.440001,24.510000,24.309999,24.500000,18.635536,31500
2011-05-25,24.440001,24.680000,24.400000,24.580000,18.696375,12200
2011-05-26,24.549999,25.250000,24.510000,25.120001,19.107122,56300
2011-05-27,25.180000,25.360001,25.000000,25.020000,19.031059,32600
2011-05-31,25.490000,25.740000,25.350000,25.350000,19.282066,21200
