Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,8.928890,9.404440,8.862220,9.388890,7.428978,6345000
2006-01-04,9.388890,9.438890,9.266670,9.400000,7.437766,6556500
2006-01-05,9.310000,9.733330,9.278890,9.700000,7.675141,11141100
2006-01-06,9.700000,9.861110,9.506670,9.692220,7.668987,7542000
2006-01-09,9.627780,10.048890,9.617780,9.972220,7.890537,9062100
2006-01-10,9.972220,9.977780,9.728890,9.830000,7.778007,4243500
2006-01-11,10.031110,10.031110,9.712220,9.731110,7.699757,12496500
2006-01-12,9.718890,9.750000,9.266670,9.376670,7.419308,9887400
2006-01-13,9.376670,9.383330,9.062220,9.183330,7.266327,10102500
2006-01-17,9.020000,9.084440,8.908890,9.027780,7.143248,6385500
2006-01-18,8.933330,8.934440,8.683330,8.768890,6.938399,9467100
2006-01-19,8.788890,9.063330,8.764440,8.983330,7.121614,6594300
2006-01-20,8.935560,9.033330,8.872220,8.915560,7.067889,3977100
2006-01-23,8.914440,9.234440,8.888890,9.201110,7.294261,6451200
2006-01-24,9.286670,9.600000,9.247780,9.538890,7.562041,18889200
2006-01-25,9.657780,9.657780,9.293330,9.344440,7.407889,10861200
2006-01-26,9.472220,9.725560,9.451110,9.577780,7.592870,8771400
2006-01-27,9.666670,10.036670,9.638890,9.986670,7.917021,8696700
2006-01-30,9.777780,10.071110,9.777780,10.056670,7.972515,10988100
2006-01-31,9.962220,10.048890,9.887780,9.998890,7.926710,5765400
2006-02-01,9.988890,10.104440,9.913330,10.040000,7.959302,4514400
2006-02-02,10.025560,10.032220,9.947780,10.005560,7.931997,7442100
2006-02-03,9.974440,10.478890,9.972220,10.416670,8.257907,13406400
2006-02-06,10.361110,10.611110,10.305560,10.594440,8.398835,11245500
2006-02-07,10.577780,10.577780,10.283330,10.538890,8.354799,8715600
2006-02-08,10.538890,10.888890,10.484440,10.800000,8.561798,15715800
2006-02-09,10.818890,11.026670,10.577780,10.634440,8.430546,7449300
2006-02-10,10.583330,10.643330,10.403330,10.541110,8.356559,5033700
2006-02-13,10.541110,10.541110,10.216670,10.353330,8.207693,5005800
2006-02-14,10.300000,10.605560,10.056670,10.510000,8.331897,8569800
2006-02-15,10.510000,10.654440,10.414440,10.533330,8.350389,3272400
2006-02-16,10.444440,10.445560,10.026670,10.340000,8.197130,8545500
2006-02-17,10.340000,10.407780,10.203330,10.242220,8.119612,3217500
2006-02-21,10.116670,10.157780,9.837780,10.116670,8.020079,6216300
2006-02-22,10.116670,10.284440,10.052220,10.221110,8.102876,4729500
2006-02-23,10.221110,10.622220,10.143330,10.546670,8.360965,7930800
2006-02-24,10.500000,10.527780,10.354440,10.496670,8.321329,3775500
2006-02-27,10.354440,10.694440,10.277780,10.672220,8.460499,11630700
2006-02-28,10.672220,10.677780,10.474440,10.638890,8.434074,8634600
2006-03-01,10.624440,10.813330,10.601110,10.807780,8.567963,13095000
2006-03-02,10.781110,10.977780,10.722220,10.975560,8.700973,5921100
2006-03-03,10.947780,10.948890,10.830000,10.850000,8.601430,8175600
2006-03-06,10.634440,10.634440,10.220000,10.376670,8.226202,15921900
2006-03-07,10.133330,10.138890,9.862220,10.034440,7.954891,10265400
2006-03-08,9.885560,9.890000,9.634440,9.715560,7.702097,10152000
2006-03-09,9.711110,9.876670,9.625560,9.636670,7.639556,4320000
2006-03-10,9.636670,9.913330,9.543330,9.815560,7.781372,7474500
2006-03-13,9.796670,9.797780,9.594440,9.634440,7.637787,8445600
2006-03-14,9.634440,9.644440,9.555560,9.621110,7.627222,7583400
2006-03-15,9.577780,9.910000,9.572220,9.870000,7.824528,8348400
2006-03-16,9.868890,9.916670,9.783330,9.826670,7.790180,5826600
2006-03-17,9.837780,9.837780,9.607780,9.646670,7.647484,6836400
2006-03-20,9.647780,9.716670,9.505560,9.582220,7.596390,4114800
2006-03-21,9.580000,9.633330,9.515560,9.616670,7.623700,4996800
2006-03-22,9.616670,9.631110,9.535560,9.574440,7.590221,4437000
2006-03-23,9.444440,9.472220,9.288890,9.417780,7.466030,8825400
2006-03-24,9.417780,9.418890,9.224440,9.283330,7.359441,5450400
2006-03-27,9.211110,9.213330,9.088890,9.135560,7.242298,7775100
2006-03-28,9.135560,9.306670,9.085560,9.186670,7.282815,7170300
2006-03-29,9.186670,9.644440,9.185560,9.606670,7.615774,9883800
2006-03-30,9.666670,9.911110,9.661110,9.834440,7.796342,9270900
2006-03-31,9.856670,9.856670,9.611110,9.787780,7.759349,4905000
2006-04-03,9.797780,10.100000,9.777780,9.991110,7.920541,8608500
2006-04-04,9.991110,9.992220,9.774440,9.831110,7.793701,5414400
2006-04-05,9.833330,10.330000,9.816670,10.271110,8.142514,9825300
2006-04-06,10.223330,10.455560,10.147780,10.334440,8.192723,5326200
2006-04-07,10.355560,10.422220,10.204440,10.225560,8.106402,6267600
2006-04-10,10.102220,10.298890,10.101110,10.197780,8.084377,10554300
2006-04-11,10.194440,10.194440,9.944440,10.070000,7.996154,6966000
2006-04-12,10.070000,10.072220,9.803330,9.957780,7.907043,8482500
2006-04-13,9.957780,9.964440,9.740000,9.795560,7.778233,7836300
2006-04-17,9.813330,9.914440,9.590000,9.651110,7.663530,7719300
2006-04-18,9.761110,10.062220,9.704440,9.996670,7.937923,8952300
2006-04-19,9.974440,10.255560,9.897780,10.216670,8.112618,8783100
2006-04-20,10.217780,10.224440,10.066670,10.192220,8.093204,6586200
2006-04-21,10.200000,10.244440,10.153330,10.223330,8.117906,6721200
2006-04-24,10.213330,10.221110,10.032220,10.133330,8.046440,5816700
2006-04-25,10.121110,10.343330,10.091110,10.333330,8.205253,7101000
2006-04-26,10.222220,10.302220,9.974440,10.225560,8.119678,15965100
2006-04-27,10.238890,11.201110,10.167780,10.753330,8.538754,20545200
2006-04-28,10.733330,10.812220,10.491110,10.520000,8.353480,11826000
2006-05-01,10.647780,10.647780,10.410000,10.554440,8.380827,7271100
2006-05-02,10.622220,11.210000,10.527780,11.160000,8.861672,13590000
2006-05-03,11.254440,11.254440,11.081110,11.223330,8.911960,9694800
2006-05-04,11.126670,11.638890,11.126670,11.488890,9.122834,12238200
2006-05-05,11.566670,11.718890,11.538890,11.696670,9.287821,6348600
2006-05-08,11.696670,11.701110,11.453330,11.534440,9.159004,5170500
2006-05-09,11.506670,11.822220,11.480000,11.782220,9.355755,4698000
2006-05-10,11.665560,11.781110,11.341110,11.573330,9.189881,5432400
2006-05-11,11.333330,11.557780,11.175560,11.245560,8.929612,11442600
2006-05-12,11.111110,11.112220,10.794440,10.965560,8.707276,9291600
2006-05-15,10.694440,10.937780,10.627780,10.746670,8.533466,10256400
2006-05-16,10.721110,10.815560,10.650000,10.741110,8.529052,5460300
2006-05-17,10.741110,10.783330,10.414440,10.471110,8.314657,5794200
2006-05-18,10.650000,10.666670,10.355560,10.365560,8.230844,6556500
2006-05-19,10.306670,10.468890,10.168890,10.275560,8.159380,6929100
2006-05-22,10.111110,10.252220,9.850000,10.208890,8.106437,8613000
2006-05-23,10.108890,10.500000,10.088890,10.256670,8.144382,7029000
2006-05-24,10.277780,10.313330,9.614440,10.028890,7.963511,11322000
2006-05-25,10.140000,10.274440,10.005560,10.044440,7.975858,7289100
2006-05-26,10.088890,10.347780,10.027780,10.270000,8.154964,8475300
2006-05-30,10.373330,10.400000,9.961110,10.038890,7.971446,4246200
2006-05-31,10.061110,10.242220,9.931110,10.144440,8.055262,6939000
2006-06-01,10.016670,10.174440,9.858890,10.122220,8.037620,5814900
2006-06-02,10.166670,10.202220,9.964440,9.998890,7.939685,4576500
2006-06-05,9.997780,10.023330,9.494440,9.518890,7.558540,9579600
2006-06-06,9.536670,9.594440,9.300000,9.393330,7.458835,8173800
2006-06-07,9.393330,9.621110,9.337780,9.366670,7.437671,8281800
2006-06-08,9.072220,9.348890,9.024440,9.304440,7.388255,12629700
2006-06-09,9.361110,9.444440,9.133330,9.234440,7.332670,6518700
2006-06-12,9.235560,9.265560,8.794440,8.797780,6.985936,10713600
2006-06-13,8.778890,8.975560,8.760000,8.888890,7.058283,8829900
2006-06-14,9.011110,9.184440,8.983330,9.077780,7.208272,9457200
2006-06-15,9.333330,9.505560,9.221110,9.496670,7.540897,11481300
2006-06-16,9.482220,9.504440,9.332220,9.420000,7.480019,6156900
2006-06-19,9.294440,9.314440,9.124440,9.195560,7.301795,4907700
2006-06-20,9.193330,9.416670,9.090000,9.335560,7.412967,5890500
2006-06-21,9.335560,9.657780,9.258890,9.506670,7.548837,4091400
2006-06-22,9.500000,9.501110,9.318890,9.403330,7.466779,4246200
2006-06-23,9.375560,9.543330,9.307780,9.421110,7.480899,2097900
2006-06-26,9.350000,9.466670,9.285560,9.377780,7.446493,3778200
2006-06-27,9.300000,9.344440,9.117780,9.157780,7.271797,3764700
2006-06-28,9.150000,9.236670,9.044440,9.230000,7.329145,4104000
2006-06-29,9.303330,9.668890,9.296670,9.663330,7.673236,4391100
2006-06-30,9.733330,9.747780,9.460000,9.552220,7.585007,4269600
2006-07-03,9.611110,9.644440,9.506670,9.588890,7.614124,1623600
2006-07-05,9.452220,9.452220,9.322220,9.368890,7.439431,4522500
2006-07-06,9.344440,9.452220,9.256670,9.307780,7.390908,4419000
2006-07-07,9.272220,9.333330,9.201110,9.297780,7.382966,5416200
2006-07-10,9.361110,9.527780,9.290000,9.516670,7.556777,6839100
2006-07-11,9.500000,9.703330,9.466670,9.673330,7.681177,6044400
2006-07-12,9.724440,9.974440,9.656670,9.766670,7.755292,10098900
2006-07-13,9.656670,9.756670,9.463330,9.516670,7.556777,6354000
2006-07-14,9.555560,9.594440,9.214440,9.332220,7.410314,5682600
2006-07-17,9.333330,9.391110,9.114440,9.207780,7.311500,8004600
2006-07-18,9.238890,9.388890,9.198890,9.376670,7.445610,3201300
2006-07-19,9.332220,9.687780,9.316670,9.561110,7.605587,4021200
2006-07-20,9.694440,9.760000,9.617780,9.653330,7.678946,8811900
2006-07-21,9.722220,9.723330,9.484440,9.700000,7.716070,7531200
2006-07-24,9.861110,9.916670,9.615560,9.732220,7.741705,8265600
2006-07-25,9.732220,9.732220,9.388890,9.584440,7.624146,7884900
2006-07-26,9.566670,9.794440,9.554440,9.733330,7.742584,8056800
2006-07-27,9.951110,10.418890,9.902220,10.371110,8.249916,21388500
2006-07-28,10.366670,10.646670,10.295560,10.597780,8.430227,11948400
2006-07-31,10.577780,10.605560,10.367780,10.500000,8.352446,6003900
2006-08-01,10.498890,10.498890,10.230000,10.356670,8.238432,6394500
2006-08-02,10.357780,10.602220,10.300000,10.472220,8.330349,5572800
2006-08-03,10.416670,10.616670,10.372220,10.426670,8.294110,5184000
2006-08-04,10.532220,10.541110,10.286670,10.348890,8.232244,4808700
2006-08-07,10.321110,10.338890,10.197780,10.287780,8.183633,3824100
2006-08-08,10.333330,10.488890,10.261110,10.438890,8.303836,6256800
2006-08-09,10.538890,10.710000,10.538890,10.564440,8.403708,6805800
2006-08-10,10.564440,10.624440,10.508890,10.544440,8.387799,6606900
2006-08-11,10.554440,10.745560,10.500000,10.703330,8.514189,9089100
2006-08-14,10.632220,10.772220,10.632220,10.696670,8.508892,5360400
2006-08-15,10.811110,10.955560,10.733330,10.923330,8.689195,5361300
2006-08-16,11.022220,11.054440,10.862220,10.984440,8.737803,5539500
2006-08-17,10.855560,11.000000,10.851110,10.944440,8.705987,6606000
2006-08-18,10.928890,11.126670,10.892220,11.115560,8.842106,4100400
2006-08-21,11.022220,11.052220,10.930000,10.996670,8.747534,4547700
2006-08-22,10.918890,11.086670,10.908890,10.993330,8.744874,5541300
2006-08-23,10.927780,10.971110,10.817780,10.836670,8.620258,5242500
2006-08-24,10.836670,10.888890,10.750000,10.843330,8.625557,3318300
2006-08-25,10.732220,10.994440,10.732220,10.883330,8.657375,2677500
2006-08-28,10.824440,10.993330,10.754440,10.883330,8.657375,2171700
2006-08-29,10.856670,10.877780,10.583330,10.740000,8.543361,4777200
2006-08-30,10.841110,10.904440,10.790000,10.864440,8.642346,3897900
2006-08-31,10.943330,10.960000,10.824440,10.885560,8.659149,3398400
2006-09-01,10.900000,10.988890,10.800000,10.850000,8.630863,3708000
2006-09-05,10.741110,10.944440,10.741110,10.926670,8.691851,5092200
2006-09-06,10.898890,11.011110,10.840000,10.933330,8.697150,3987900
2006-09-07,10.880000,10.930000,10.751110,10.922220,8.688311,6748200
2006-09-08,10.922220,11.111110,10.866670,11.046670,8.787305,3173400
2006-09-11,10.965560,10.971110,10.655560,10.788890,8.582250,8629200
2006-09-12,10.768890,10.865560,10.637780,10.682220,8.497398,4649400
2006-09-13,10.638890,10.696670,10.554440,10.661110,8.480604,5658300
2006-09-14,10.694440,10.830000,10.577780,10.634440,8.459391,3761100
2006-09-15,10.635560,10.700000,10.506670,10.570000,8.408129,3766500
2006-09-18,10.522220,10.798890,10.515560,10.731110,8.536290,4217400
2006-09-19,10.758890,10.880000,10.706670,10.781110,8.576062,5073300
2006-09-20,10.992220,11.266670,10.781110,11.150000,8.869499,8446500
2006-09-21,11.161110,11.275560,11.016670,11.136670,8.858898,6975000
2006-09-22,11.088890,11.171110,11.000000,11.126670,8.850946,3625200
2006-09-25,11.107780,11.442220,11.107780,11.333330,9.015338,7713000
2006-09-26,11.377780,11.607780,11.245560,11.583330,9.214204,6613200
2006-09-27,11.583330,11.664440,11.442220,11.497780,9.146154,6900300
2006-09-28,11.547780,11.831110,11.508890,11.730000,9.330876,4749300
2006-09-29,11.585560,11.757780,11.551110,11.576670,9.208905,3889800
2006-10-02,11.458890,11.506670,11.277780,11.498890,9.147033,6294600
2006-10-03,11.323330,11.676670,11.280000,11.588890,9.218627,5823900
2006-10-04,11.527780,11.842220,11.456670,11.766670,9.360047,10104300
2006-10-05,11.811110,12.127780,11.777780,12.124440,9.644645,6947100
2006-10-06,12.088890,12.114440,12.015560,12.053330,9.588075,11393100
2006-10-09,12.016670,12.205560,12.000000,12.166670,9.678234,2657700
2006-10-10,12.111110,12.270000,11.920000,11.986670,9.535049,5012100
2006-10-11,11.841110,11.901110,11.627780,11.633330,9.253979,8897400
2006-10-12,11.644440,12.085560,11.624440,11.888890,9.457269,10233000
2006-10-13,12.058890,12.262220,11.880000,12.250000,9.744525,6628500
2006-10-16,12.116670,12.387780,12.116670,12.384440,9.851464,4174200
2006-10-17,12.384440,12.384440,12.042220,12.253330,9.747173,3904200
2006-10-18,12.364440,12.590000,12.265560,12.515560,9.955769,6374700
2006-10-19,12.343330,12.621110,12.295560,12.587780,10.026567,5108400
2006-10-20,12.587780,12.587780,12.327780,12.473330,9.935405,4799700
2006-10-23,12.473330,12.745560,12.473330,12.684440,10.103562,5515200
2006-10-24,12.622220,12.877780,12.494440,12.808890,10.202694,5348700
2006-10-25,13.204440,13.715560,13.204440,13.357780,10.639898,18567000
2006-10-26,13.416670,13.780000,13.372220,13.745560,10.948780,6345000
2006-10-27,13.746670,13.746670,13.404440,13.528890,10.776194,5549400
2006-10-30,13.527780,14.142220,13.395560,14.131110,11.255884,13624200
2006-10-31,14.416670,14.416670,13.733330,13.877780,11.054097,18133200
2006-11-01,13.890000,14.331110,13.765560,14.144440,11.266500,13784400
2006-11-02,14.142220,14.794440,14.142220,14.731110,11.733800,17392500
2006-11-03,14.733330,14.992220,14.585560,14.928890,11.891339,11405700
2006-11-06,15.035560,15.444440,14.967780,15.344440,12.222339,13400100
2006-11-07,15.377780,15.488890,15.187780,15.418890,12.281640,17652600
2006-11-08,15.333330,16.027781,15.326670,15.748890,12.544496,18732600
2006-11-09,15.804440,15.804440,15.180000,15.274440,12.166578,22154400
2006-11-10,15.006670,15.007780,14.261110,14.542220,11.583345,28637100
2006-11-13,14.583330,14.930000,14.576670,14.894440,11.863899,16244100
2006-11-14,14.850000,15.075560,14.625560,14.918890,11.883374,18348300
2006-11-15,15.144440,15.388890,15.012220,15.328890,12.209954,9809100
