Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,19.459999,19.900000,19.459999,19.860001,13.714208,33100
2006-01-04,20.309999,20.410000,20.230000,20.360001,14.059481,21500
2006-01-05,20.280001,20.280001,19.969999,20.090000,13.873030,20000
2006-01-06,20.420000,20.730000,20.420000,20.650000,14.259736,43900
2006-01-09,20.350000,20.690001,20.270000,20.430000,14.107814,19600
2006-01-10,19.950001,20.139999,19.879999,20.059999,13.852315,55700
2006-01-11,20.020000,20.250000,20.010000,20.170000,13.928275,41300
2006-01-12,19.980000,19.980000,19.700001,19.740000,13.631341,21800
2006-01-13,19.950001,20.160000,19.930000,20.080000,13.866128,13000
2006-01-17,20.059999,20.200001,20.000000,20.059999,13.852315,79400
2006-01-18,19.840000,19.879999,19.580000,19.610001,13.541572,20600
2006-01-19,19.719999,20.040001,19.719999,19.910000,13.748734,65100
2006-01-20,20.010000,20.010000,19.690001,19.750000,13.638247,80400
2006-01-23,19.780001,20.040001,19.780001,19.950001,13.776356,30200
2006-01-24,19.780001,19.879999,19.760000,19.879999,13.728013,18800
2006-01-25,19.760000,19.940001,19.620001,19.900000,13.741827,32900
2006-01-26,20.540001,20.830000,20.410000,20.680000,14.280454,26300
2006-01-27,20.760000,20.770000,20.540001,20.580000,14.211396,14000
2006-01-30,20.480000,20.520000,20.250000,20.370001,14.066386,21300
2006-01-31,20.340000,20.570000,20.309999,20.450001,14.121627,10700
2006-02-01,20.600000,20.690001,20.459999,20.629999,14.245925,11200
2006-02-02,20.389999,20.480000,20.290001,20.320000,14.031856,22400
2006-02-03,20.010000,20.299999,19.940001,20.180000,13.935181,12100
2006-02-06,20.100000,20.100000,19.900000,20.020000,13.824692,10800
2006-02-07,19.900000,19.920000,19.660000,19.770000,13.652056,34300
2006-02-08,19.860001,19.930000,19.799999,19.910000,13.748734,17900
2006-02-09,20.010000,20.299999,20.010000,20.100000,13.879934,15200
2006-02-10,20.959999,20.990000,20.740000,20.870001,14.411659,13900
2006-02-13,20.889999,21.059999,20.889999,20.959999,14.473804,17200
2006-02-14,21.090000,21.360001,21.070000,21.360001,14.750023,21600
2006-02-15,21.190001,21.330000,21.040001,21.080000,14.556669,30100
2006-02-16,21.120001,21.190001,21.100000,21.170000,14.618820,11600
2006-02-17,21.200001,21.400000,21.200001,21.389999,14.770736,11600
