Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,21.254999,21.674999,21.245001,21.584999,14.754765,364200
2006-01-04,21.709999,22.340000,21.709999,22.245001,15.205921,286600
2006-01-05,22.135000,22.424999,21.825001,21.980000,15.024777,513400
2006-01-06,22.030001,22.260000,21.740000,22.250000,15.209340,279600
2006-01-09,21.900000,21.900000,21.200001,21.424999,14.645399,410000
2006-01-10,21.325001,21.450001,20.934999,21.200001,14.491600,361200
2006-01-11,21.309999,21.379999,20.815001,21.035000,14.378806,262600
2006-01-12,21.030001,21.115000,20.600000,20.700001,14.149817,376600
2006-01-13,21.790001,21.790001,20.665001,20.930000,14.307032,113200
2006-01-17,20.680000,20.680000,20.110001,20.370001,13.924236,276200
2006-01-18,20.254999,20.670000,20.150000,20.580000,14.067785,576600
2006-01-19,20.615000,20.965000,20.530001,20.940001,14.313876,214400
2006-01-20,21.030001,21.299999,21.030001,21.170000,14.471087,214200
2006-01-23,21.070000,21.684999,20.965000,21.605000,14.768435,404400
2006-01-24,21.510000,21.535000,21.275000,21.400000,14.628314,224200
2006-01-25,21.465000,21.545000,21.180000,21.495001,14.693247,319400
2006-01-26,21.525000,21.795000,21.459999,21.575001,14.747932,155200
2006-01-27,21.635000,21.920000,21.635000,21.790001,14.894901,98600
2006-01-30,21.725000,22.145000,21.709999,21.840000,14.929080,591400
2006-01-31,21.885000,22.344999,21.760000,22.070000,15.086301,281800
2006-02-01,22.025000,22.174999,21.860001,22.059999,15.079468,267400
2006-02-02,21.985001,21.985001,21.850000,21.934999,14.994020,304600
2006-02-03,21.865000,21.900000,21.565001,21.850000,14.935910,181200
2006-02-06,21.820000,21.905001,21.775000,21.825001,14.918821,200600
2006-02-07,21.605000,21.695000,21.299999,21.430000,14.648816,238600
2006-02-08,21.340000,21.375000,21.004999,21.295000,14.556534,459600
2006-02-09,20.895000,20.895000,19.850000,20.240000,13.835370,826200
2006-02-10,20.184999,20.485001,19.879999,20.385000,13.934485,262200
2006-02-13,20.350000,20.355000,19.820000,19.830000,13.555107,353400
2006-02-14,20.110001,20.125000,19.665001,19.985001,13.661062,687200
2006-02-15,19.865000,20.500000,19.850000,19.875000,13.585871,933400
2006-02-16,19.790001,19.820000,19.389999,19.639999,13.425228,799400
2006-02-17,19.660000,19.670000,19.330000,19.605000,13.401310,247400
2006-02-21,19.590000,19.805000,19.590000,19.650000,13.432071,309800
2006-02-22,19.690001,19.754999,19.600000,19.690001,13.459414,253000
2006-02-23,19.629999,19.635000,19.459999,19.590000,13.391055,396200
2006-02-24,19.540001,19.785000,19.525000,19.725000,13.483333,156400
2006-02-27,19.834999,19.985001,19.745001,19.940001,13.630305,265400
2006-02-28,19.965000,20.020000,19.844999,20.014999,13.681572,277000
2006-03-01,19.965000,20.215000,19.924999,20.180000,13.794360,173000
2006-03-02,20.250000,20.584999,20.184999,20.495001,14.009682,442200
2006-03-03,20.410000,20.465000,20.209999,20.350000,13.910563,444400
2006-03-06,20.400000,20.450001,20.125000,20.125000,13.756765,1004400
2006-03-07,20.049999,20.424999,20.040001,20.344999,13.907150,218000
2006-03-08,20.245001,20.264999,19.799999,19.934999,13.626883,252000
2006-03-09,19.975000,19.975000,19.629999,19.750000,13.500425,164600
2006-03-10,19.754999,19.934999,19.670000,19.730000,13.486754,94800
2006-03-13,19.780001,19.885000,19.660000,19.815001,13.544857,105800
2006-03-14,19.785000,19.915001,19.629999,19.670000,13.445739,107000
2006-03-15,19.670000,19.905001,19.645000,19.875000,13.585871,142600
2006-03-16,19.875000,20.309999,19.875000,20.290001,13.869553,187800
2006-03-17,20.240000,20.540001,20.145000,20.325001,13.893479,150000
2006-03-20,20.180000,20.455000,20.139999,20.254999,13.845623,159000
2006-03-21,20.200001,20.299999,20.020000,20.075001,13.722584,188200
2006-03-22,20.035000,20.040001,19.665001,19.775000,13.517514,224400
2006-03-23,19.995001,20.195000,19.889999,19.905001,13.606380,200200
2006-03-24,19.934999,19.934999,19.635000,19.700001,13.466247,134600
2006-03-27,19.535000,19.680000,19.344999,19.405001,13.264598,174600
2006-03-28,19.395000,19.434999,19.325001,19.375000,13.244090,225800
2006-03-29,19.370001,19.440001,19.305000,19.370001,13.240672,132800
2006-03-30,19.485001,19.700001,19.340000,19.344999,13.223583,152000
2006-03-31,19.184999,19.225000,18.934999,19.075001,13.039012,336400
2006-04-03,19.035000,19.084999,18.309999,18.420000,12.591284,401600
2006-04-04,18.610001,18.905001,18.485001,18.770000,12.830532,1392800
2006-04-05,18.809999,19.450001,18.799999,19.355000,13.230414,797000
2006-04-06,19.344999,20.105000,19.285000,19.924999,13.620048,405400
2006-04-07,20.155001,20.250000,19.750000,19.815001,13.544857,557400
2006-04-10,19.834999,19.975000,19.780001,19.905001,13.606380,168800
2006-04-11,19.905001,19.950001,19.590000,19.620001,13.411560,189800
2006-04-12,19.514999,19.600000,18.840000,19.030001,13.008257,474400
2006-04-13,18.930000,19.235001,18.490000,19.200001,13.124465,336000
2006-04-17,19.325001,19.540001,19.200001,19.320000,13.206490,297400
2006-04-18,19.344999,19.575001,19.205000,19.490000,13.322700,1091800
2006-04-19,19.500000,19.850000,19.430000,19.645000,13.428651,358600
2006-04-20,19.684999,19.684999,19.250000,19.309999,13.199655,133000
2006-04-21,19.379999,19.660000,19.379999,19.625000,13.414980,164400
2006-04-24,19.730000,20.340000,19.700001,20.115000,13.749929,416000
2006-04-25,20.295000,20.629999,19.700001,20.525000,14.030184,684600
2006-04-26,20.780001,21.480000,20.750000,21.270000,14.539440,865200
2006-04-27,21.344999,21.684999,21.080000,21.270000,14.539440,355200
2006-04-28,21.320000,21.615000,21.129999,21.209999,14.498431,382000
2006-05-01,21.400000,21.610001,21.360001,21.610001,14.771859,487000
2006-05-02,21.500000,21.690001,21.320000,21.455000,14.665906,640200
2006-05-03,21.405001,21.590000,20.910000,21.250000,14.525772,184000
2006-05-04,21.010000,21.370001,20.959999,21.145000,14.454001,206400
2006-05-05,21.125000,21.375000,21.125000,21.260000,14.532613,167000
2006-05-08,21.025000,21.075001,20.639999,20.924999,14.303616,288200
2006-05-09,20.830000,20.980000,20.525000,20.735001,14.173737,265600
2006-05-10,20.719999,20.815001,20.424999,20.575001,14.064364,300000
2006-05-11,20.500000,20.500000,19.965000,20.225000,13.825121,438400
2006-05-12,20.090000,20.215000,19.809999,19.965000,13.647389,312200
2006-05-15,19.840000,19.924999,19.559999,19.730000,13.486754,187000
2006-05-16,19.730000,19.850000,19.475000,19.584999,13.387638,127000
2006-05-17,19.514999,19.690001,18.805000,19.040001,13.015097,628400
2006-05-18,19.040001,19.049999,18.690001,18.945000,12.950153,338400
2006-05-19,19.004999,19.910000,19.000000,19.645000,13.428651,333000
2006-05-22,19.520000,19.549999,19.035000,19.165001,13.100545,119200
2006-05-23,19.375000,19.750000,19.334999,19.455000,13.298775,222800
2006-05-24,19.455000,19.495001,19.174999,19.385000,13.250929,240200
2006-05-25,19.000000,19.865000,19.000000,19.830000,13.555107,190600
2006-05-26,20.030001,20.184999,19.895000,20.084999,13.729420,186200
2006-05-30,20.145000,20.504999,20.110001,20.434999,13.968667,312000
2006-05-31,20.459999,20.865000,20.459999,20.865000,14.262597,606800
2006-06-01,20.870001,21.365000,20.715000,21.309999,14.566784,445600
2006-06-02,21.434999,21.469999,21.035000,21.325001,14.577043,177000
