Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,26.295000,26.870001,26.225000,26.775000,17.362516,201200
2006-01-04,26.809999,27.280001,26.780001,27.230000,17.657576,195400
2006-01-05,26.879999,26.940001,26.610001,26.709999,17.320370,216000
2006-01-06,26.600000,26.795000,26.510000,26.674999,17.297678,153200
2006-01-09,26.430000,26.715000,26.355000,26.590000,17.242561,158200
2006-01-10,26.514999,26.615000,26.320000,26.555000,17.219870,117400
2006-01-11,26.700001,26.775000,26.500000,26.525000,17.200407,157800
2006-01-12,26.500000,26.745001,26.415001,26.430000,17.138802,115400
2006-01-13,26.434999,26.674999,26.299999,26.370001,17.099895,149200
2006-01-17,26.620001,26.719999,26.299999,26.370001,17.099895,167600
2006-01-18,26.014999,26.070000,25.745001,25.945000,16.824310,114200
2006-01-19,25.920000,26.035000,25.764999,25.980000,16.846996,88800
2006-01-20,26.180000,26.440001,26.150000,26.270000,17.035057,145000
2006-01-23,26.200001,26.684999,26.200001,26.555000,17.219870,172000
2006-01-24,26.375000,26.775000,26.370001,26.665001,17.291193,183600
2006-01-25,26.680000,26.830000,26.434999,26.504999,17.187443,136400
2006-01-26,26.575001,26.635000,26.295000,26.420000,17.132318,132200
2006-01-27,26.545000,26.545000,26.375000,26.434999,17.142048,106200
2006-01-30,26.480000,26.719999,26.450001,26.525000,17.200407,125400
2006-01-31,26.525000,26.719999,26.475000,26.570000,17.229591,169200
2006-02-01,26.635000,26.805000,26.490000,26.695000,17.310650,143400
2006-02-02,26.690001,26.834999,26.504999,26.719999,17.326862,175200
2006-02-03,26.610001,26.750000,26.445000,26.709999,17.320370,147200
2006-02-06,26.725000,26.825001,26.584999,26.764999,17.356043,72600
2006-02-07,26.674999,26.695000,26.500000,26.549999,17.216631,208200
2006-02-08,26.584999,26.690001,26.400000,26.500000,17.184193,108800
2006-02-09,26.625000,27.000000,26.625000,26.955000,17.479244,149200
2006-02-10,26.940001,27.070000,26.745001,27.065001,17.550577,125400
2006-02-13,27.025000,27.240000,26.900000,27.160000,17.612183,219400
2006-02-14,27.125000,27.575001,27.125000,27.465000,17.809959,223000
2006-02-15,27.530001,27.660000,27.325001,27.540001,17.858599,116400
2006-02-16,27.549999,27.695000,27.514999,27.565001,17.874807,129800
2006-02-17,27.605000,27.795000,27.570000,27.750000,17.994774,296600
2006-02-21,27.844999,27.870001,27.715000,27.820000,18.040171,86200
2006-02-22,27.695000,28.065001,27.695000,28.065001,18.199038,119400
2006-02-23,28.190001,28.405001,28.090000,28.184999,18.276854,142800
2006-02-24,28.215000,28.485001,28.110001,28.365000,18.393579,148600
2006-02-27,28.445000,28.850000,28.445000,28.809999,18.682138,142200
2006-02-28,28.830000,28.900000,28.535000,28.719999,18.623781,192800
2006-03-01,28.750000,28.850000,28.660000,28.715000,18.620543,116400
2006-03-02,28.809999,29.035000,28.809999,28.885000,18.730780,146400
2006-03-03,28.750000,28.955000,28.620001,28.879999,18.727537,131000
2006-03-06,28.865000,28.924999,28.625000,28.865000,18.717806,179600
2006-03-07,28.629999,28.629999,28.299999,28.469999,18.461664,160800
2006-03-08,28.320000,28.450001,28.200001,28.235001,18.309275,152400
2006-03-09,28.200001,28.375000,28.155001,28.285000,18.341700,95000
2006-03-10,28.209999,28.795000,28.209999,28.535000,18.503815,160000
2006-03-13,28.565001,28.600000,28.385000,28.575001,18.529753,124400
2006-03-14,28.370001,28.655001,28.270000,28.385000,18.529423,179800
2006-03-15,28.410000,28.555000,28.250000,28.350000,18.506577,191800
2006-03-16,28.340000,28.415001,28.170000,28.270000,18.454353,184400
2006-03-17,28.215000,28.215000,27.860001,27.885000,18.203033,155600
2006-03-20,27.790001,28.200001,27.750000,28.110001,18.349909,95800
