Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,26.830000,27.225000,26.600000,26.830000,26.348108,25000
2006-01-04,27.980000,27.980000,27.389999,27.980000,27.477455,42400
2006-01-05,27.195000,28.370001,27.174999,27.195000,26.706554,46200
2006-01-06,27.590000,27.639999,27.065001,27.590000,27.094458,11600
2006-01-09,28.525000,28.629999,27.545000,28.525000,28.012667,14000
2006-01-10,27.415001,28.225000,27.415001,27.415001,26.922604,11600
2006-01-11,27.940001,28.125000,27.760000,27.940001,27.438173,38600
2006-01-12,27.615000,27.865000,27.344999,27.615000,27.119009,13800
2006-01-13,27.344999,27.735001,27.344999,27.344999,26.853859,16200
2006-01-17,28.379999,28.545000,27.840000,28.379999,27.870270,6200
2006-01-18,27.535000,28.434999,27.535000,27.535000,27.040447,21200
2006-01-19,29.434999,29.740000,28.075001,29.434999,28.906321,100400
2006-01-20,29.650000,29.850000,29.400000,29.650000,29.117458,28400
2006-01-23,29.775000,30.055000,29.625000,29.775000,29.240213,30200
2006-01-24,29.950001,30.200001,29.340000,29.950001,29.412071,26800
2006-01-25,30.690001,31.290001,30.250000,30.690001,30.138783,24600
2006-01-26,30.895000,31.450001,30.500000,30.895000,30.340099,10600
2006-01-27,31.825001,31.850000,31.290001,31.825001,31.253397,81000
2006-01-30,32.125000,32.895000,32.125000,32.125000,31.548006,56800
2006-01-31,32.485001,32.639999,32.095001,32.485001,31.901539,59800
2006-02-01,32.264999,32.974998,32.119999,32.264999,31.685492,114800
2006-02-02,32.215000,33.415001,32.200001,32.215000,31.636391,29800
2006-02-03,31.500000,32.055000,31.209999,31.500000,30.934233,44000
2006-02-06,31.625000,31.889999,31.195000,31.625000,31.056988,64000
2006-02-07,29.900000,31.475000,29.674999,29.900000,29.362970,68800
2006-02-08,30.379999,30.385000,29.549999,30.379999,29.834347,220400
2006-02-09,31.139999,31.219999,30.825001,31.139999,30.580696,49800
2006-02-10,29.165001,31.105000,28.834999,29.165001,28.641171,61200
2006-02-13,27.565001,28.715000,27.565001,27.565001,27.069908,50400
2006-02-14,28.809999,29.584999,27.809999,28.809999,28.292545,35800
2006-02-15,27.930000,29.350000,27.930000,27.930000,27.428352,37800
2006-02-16,28.950001,28.965000,28.030001,28.950001,28.430033,48200
2006-02-17,30.360001,30.570000,29.424999,30.360001,29.814707,97200
2006-02-21,31.785000,32.310001,31.719999,31.785000,31.214111,32600
2006-02-22,31.254999,31.684999,31.150000,31.254999,30.693634,48400
2006-02-23,30.760000,31.264999,30.690001,30.760000,30.207521,12400
2006-02-24,30.889999,31.020000,30.485001,30.889999,30.335188,13800
2006-02-27,30.680000,31.325001,30.490000,30.680000,30.128960,32200
2006-02-28,31.025000,31.410000,30.870001,31.025000,30.467764,21200
2006-03-01,32.134998,32.195000,31.025000,32.134998,31.557823,35400
2006-03-02,32.985001,33.230000,32.494999,32.985001,32.392563,5800
2006-03-03,33.540001,34.764999,32.884998,33.540001,32.937592,11600
2006-03-06,32.384998,33.625000,32.174999,32.384998,31.803337,31200
2006-03-07,30.950001,31.834999,30.950001,30.950001,30.394112,15400
2006-03-08,30.045000,30.385000,29.990000,30.045000,29.505365,41200
2006-03-09,30.475000,30.730000,30.365000,30.475000,29.927643,6400
2006-03-10,30.405001,30.705000,29.945000,30.405001,29.858900,18800
2006-03-13,30.115000,30.150000,29.900000,30.115000,29.574106,9200
2006-03-14,30.209999,30.350000,29.840000,30.209999,29.667400,35600
2006-03-15,31.735001,31.855000,30.684999,31.735001,31.165010,47000
2006-03-16,31.575001,32.290001,31.575001,31.575001,31.007885,219000
2006-03-17,31.594999,32.325001,31.540001,31.594999,31.027525,19600
2006-03-20,32.235001,32.235001,31.825001,32.235001,31.656033,34200
2006-03-21,31.875000,32.185001,31.700001,31.875000,31.302496,24600
2006-03-22,31.450001,31.735001,31.385000,31.450001,30.885132,19600
2006-03-23,32.209999,32.320000,31.469999,32.209999,31.631479,44000
2006-03-24,33.044998,33.055000,32.375000,33.044998,32.451477,37400
2006-03-27,32.480000,38.375000,32.375000,32.480000,31.896633,22400
2006-03-28,31.945000,32.724998,31.844999,31.945000,31.371239,24000
2006-03-29,32.244999,32.320000,31.770000,32.244999,31.665850,22000
2006-03-30,33.160000,33.410000,32.820000,33.160000,32.564419,15600
2006-03-31,32.290001,32.520000,32.040001,32.290001,31.710043,29200
