Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,14.390000,14.550000,14.370000,14.490000,12.572732,419000
2006-01-04,14.620000,14.760000,14.600000,14.700000,12.754946,355300
2006-01-05,14.690000,14.700000,14.500000,14.620000,12.685532,304600
2006-01-06,14.610000,14.610000,14.450000,14.490000,12.572732,274400
2006-01-09,14.680000,14.780000,14.600000,14.750000,12.798330,510000
2006-01-10,14.500000,14.530000,14.330000,14.480000,12.564056,696100
2006-01-11,14.480000,14.490000,14.130000,14.330000,12.433903,409400
2006-01-12,14.450000,14.600000,14.430000,14.600000,12.668180,223200
2006-01-13,14.600000,14.790000,14.520000,14.770000,12.815684,438800
2006-01-17,14.540000,14.540000,14.250000,14.320000,12.425225,323600
2006-01-18,14.130000,14.150000,13.930000,13.930000,12.086830,375500
2006-01-19,14.310000,14.750000,14.310000,14.690000,12.746268,324300
2006-01-20,14.800000,14.900000,14.520000,14.590000,12.659502,454000
2006-01-23,14.510000,14.540000,14.370000,14.430000,12.520672,290900
2006-01-24,14.790000,14.920000,14.780000,14.860000,12.893774,411100
2006-01-25,15.020000,15.390000,15.020000,15.390000,13.353646,342300
2006-01-26,15.350000,15.520000,15.300000,15.520000,13.466448,321000
2006-01-27,15.740000,15.920000,15.650000,15.850000,13.752782,559900
2006-01-30,15.790000,15.800000,15.700000,15.710000,13.631308,295200
2006-01-31,15.910000,16.070000,15.910000,16.059999,13.934996,330800
2006-02-01,16.110001,16.250000,16.049999,16.240000,14.091178,330900
2006-02-02,16.240000,16.240000,15.910000,16.000000,13.882934,526100
2006-02-03,16.230000,16.230000,16.010000,16.100000,13.969702,468900
2006-02-06,16.450001,16.510000,16.389999,16.510000,14.325452,460000
2006-02-07,16.870001,17.290001,16.870001,17.030001,14.776649,662900
2006-02-08,17.020000,17.030001,16.600000,17.000000,14.750620,415800
2006-02-09,17.000000,17.209999,16.900000,17.059999,14.802679,617200
2006-02-10,17.129999,17.129999,16.760000,16.900000,14.663848,588100
2006-02-13,17.600000,17.680000,16.980000,17.190001,14.915476,841500
2006-02-14,17.190001,17.400000,17.049999,17.219999,14.941507,326800
2006-02-15,17.250000,17.450001,17.200001,17.420000,15.115045,368100
2006-02-16,17.900000,17.950001,17.680000,17.940001,15.566242,449000
2006-02-17,17.980000,17.980000,17.600000,17.820000,15.462116,1554700
2006-02-21,17.930000,18.250000,17.910000,18.209999,15.800514,840000
2006-02-22,18.129999,18.280001,18.080000,18.240000,15.826548,1019800
2006-02-23,18.170000,18.170000,18.000000,18.059999,15.670362,678500
2006-02-24,18.070000,18.070000,17.840000,17.850000,15.488148,467800
2006-02-27,17.850000,18.110001,17.750000,18.020000,15.635655,450800
2006-02-28,18.400000,18.450001,18.250000,18.330000,15.904636,490500
2006-03-01,19.010000,19.549999,18.930000,19.379999,16.815704,893000
2006-03-02,20.000000,20.049999,19.610001,19.980000,17.336313,852700
2006-03-03,20.600000,21.000000,20.510000,20.990000,18.212675,1459200
2006-03-06,20.990000,21.469999,20.750000,20.860001,18.099880,1520500
2006-03-07,20.850000,20.879999,19.450001,20.100000,17.440435,1344400
2006-03-08,19.500000,19.750000,19.000000,19.559999,16.971888,1384400
2006-03-09,19.510000,20.190001,19.510000,19.950001,17.310287,727800
2006-03-10,20.250000,20.639999,20.250000,20.530001,17.813541,622000
2006-03-13,20.540001,20.540001,20.000000,20.240000,17.561911,467000
2006-03-14,20.020000,20.250000,20.000000,20.080000,17.423080,426800
2006-03-15,20.059999,20.440001,20.049999,20.350000,17.657358,469300
2006-03-16,20.549999,20.910000,20.500000,20.850000,18.091200,443300
2006-03-17,21.000000,21.200001,20.900000,21.129999,18.334148,577300
2006-03-20,21.309999,21.500000,21.250000,21.459999,18.620485,348700
