Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.475000,3.587500,3.455000,3.567500,2.492168,112000
2006-01-04,3.590000,3.662500,3.587500,3.612500,2.523604,504400
2006-01-05,3.662500,3.675000,3.572500,3.595000,2.511378,165200
2006-01-06,3.602500,3.652500,3.580000,3.582500,2.502646,49200
2006-01-09,3.595000,3.655000,3.595000,3.610000,2.521857,173200
2006-01-10,3.585000,3.585000,3.500000,3.517500,2.457239,268800
2006-01-11,3.537500,3.637500,3.500000,3.570000,2.493913,2154000
2006-01-12,3.552500,3.645000,3.512500,3.600000,2.514871,1118400
2006-01-13,3.602500,3.627500,3.560000,3.600000,2.514871,474000
2006-01-17,3.600000,3.620000,3.575000,3.587500,2.506139,256000
2006-01-18,3.562500,3.642500,3.562500,3.625000,2.532335,152800
2006-01-19,3.647500,3.732500,3.637500,3.690000,2.577743,35600
2006-01-20,3.712500,3.862500,3.712500,3.790000,2.647600,287600
2006-01-23,3.727500,3.875000,3.462500,3.837500,2.680783,281600
2006-01-24,3.775000,3.802500,3.687500,3.700000,2.584728,190000
2006-01-25,3.762500,3.877500,3.762500,3.770000,2.633629,55600
2006-01-26,3.745000,3.822500,3.665000,3.775000,2.637121,91600
2006-01-27,3.725000,3.792500,3.722500,3.755000,2.623150,111200
2006-01-30,3.752500,3.807500,3.745000,3.800000,2.654586,376000
2006-01-31,3.775000,3.787500,3.752500,3.782500,2.642361,373600
2006-02-01,3.777500,3.852500,3.760000,3.825000,2.672051,1030000
2006-02-02,3.837500,3.840000,3.777500,3.802500,2.656332,231600
2006-02-03,3.800000,3.897500,3.750000,3.810000,2.661572,743600
2006-02-06,3.897500,3.897500,3.817500,3.862500,2.698247,236400
2006-02-07,3.720000,3.812500,3.675000,3.722500,2.600447,581200
2006-02-08,3.712500,3.785000,3.712500,3.750000,2.619658,217600
2006-02-09,3.725000,3.780000,3.700000,3.730000,2.605686,686400
2006-02-10,3.755000,3.807500,3.712500,3.760000,2.626643,317600
2006-02-13,3.760000,3.812500,3.750000,3.780000,2.640615,736400
2006-02-14,3.775000,3.877500,3.747500,3.865000,2.699993,478400
2006-02-15,3.802500,3.950000,3.795000,3.942500,2.754133,195200
2006-02-16,3.925000,4.215000,3.925000,4.195000,2.930523,455600
2006-02-17,4.195000,4.375000,4.167500,4.355000,3.042295,236000
2006-02-21,4.312500,4.312500,4.212500,4.252500,2.970692,536000
2006-02-22,4.255000,4.290000,4.232500,4.250000,2.968945,297600
