Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,13.860000,13.860000,13.545000,13.755000,10.118474,2347600
2006-01-04,13.775000,13.782500,13.640000,13.707500,10.083530,2056800
2006-01-05,13.707500,13.847500,13.705000,13.800000,10.151574,1496000
2006-01-06,13.862500,13.987500,13.767500,13.965000,10.272950,1618800
2006-01-09,14.000000,14.587500,14.000000,14.492500,10.660995,3105200
2006-01-10,14.455000,14.500000,14.230000,14.260000,10.489962,2629200
2006-01-11,14.335000,14.432500,14.115000,14.147500,10.407202,2346800
2006-01-12,14.147500,14.265000,14.142500,14.167500,10.421912,1854400
2006-01-13,14.167500,14.225000,14.007500,14.077500,10.355710,1822000
2006-01-17,14.100000,14.100000,13.880000,13.970000,10.276632,1774000
2006-01-18,13.850000,14.037500,13.850000,13.937500,10.252722,1621600
2006-01-19,13.962500,13.987500,13.767500,13.892500,10.219618,1563200
2006-01-20,13.925000,14.005000,13.802500,13.802500,10.153414,1810000
2006-01-23,13.787500,13.837500,13.637500,13.637500,10.032035,2054000
2006-01-24,13.637500,13.907500,13.637500,13.792500,10.146060,1556800
2006-01-25,13.792500,13.937500,13.792500,13.912500,10.234333,1970000
2006-01-26,14.000000,14.072500,13.907500,13.935000,10.250882,1316800
2006-01-27,13.900000,14.075000,13.897500,13.960000,10.269276,1310000
2006-01-30,13.975000,14.032500,13.922500,13.935000,10.250882,878400
2006-01-31,13.960000,13.965000,13.817500,13.870000,10.203068,1347600
2006-02-01,13.767500,13.975000,13.767500,13.945000,10.258238,1541600
2006-02-02,13.857500,13.887500,13.762500,13.787500,10.142377,1773200
2006-02-03,13.737500,13.930000,13.717500,13.865000,10.199388,1967600
2006-02-06,13.865000,13.890000,13.727500,13.792500,10.146060,1526400
2006-02-07,13.737500,13.967500,13.687500,13.775000,10.133183,1980000
2006-02-08,13.875000,14.667500,13.862500,14.657500,10.782369,4656800
2006-02-09,14.582500,14.642500,14.237500,14.327500,10.539616,3835600
2006-02-10,14.252500,14.285000,14.087500,14.277500,10.502835,2608800
2006-02-13,14.215000,14.270000,13.937500,14.220000,10.460534,2369200
2006-02-14,14.170000,14.230000,13.972500,14.117500,10.385135,3495600
2006-02-15,14.155000,14.170000,13.900000,14.025000,10.317087,3800400
2006-02-16,13.992500,14.047500,13.972500,13.997500,10.296861,2222400
2006-02-17,13.972500,13.972500,13.795000,13.820000,10.166284,2689600
2006-02-21,13.820000,13.832500,13.665000,13.777500,10.135024,2325200
2006-02-22,13.775000,14.067500,13.765000,13.975000,10.280309,2200800
2006-02-23,13.912500,14.175000,13.900000,14.037500,10.326283,2792400
2006-02-24,14.000000,14.145000,13.927500,14.057500,10.340998,1714400
2006-02-27,14.100000,14.135000,13.772500,13.822500,10.168127,2611600
2006-02-28,13.805000,13.872500,13.637500,13.700000,10.078014,2521600
2006-03-01,13.710000,13.800000,13.652500,13.755000,10.118474,1425200
2006-03-02,13.692500,13.697500,13.567500,13.640000,10.033877,1775200
2006-03-03,13.540000,13.680000,13.475000,13.640000,10.033877,2732800
2006-03-06,13.595000,13.632500,13.500000,13.502500,9.932726,1780000
2006-03-07,13.500000,13.585000,13.435000,13.530000,9.952954,2348000
2006-03-08,13.425000,13.505000,13.402500,13.447500,9.945558,1332000
2006-03-09,13.447500,13.462500,13.320000,13.415000,9.921520,2044800
2006-03-10,13.412500,13.677500,13.375000,13.645000,10.091630,3436400
2006-03-13,13.645000,13.720000,13.615000,13.675000,10.113817,1736800
2006-03-14,13.487500,13.675000,13.480000,13.577500,10.041704,2348400
2006-03-15,13.577500,13.857500,13.562500,13.857500,10.248789,2230400
2006-03-16,13.900000,13.965000,13.805000,13.825000,10.224753,2193600
2006-03-17,13.917500,13.967500,13.817500,13.967500,10.330145,2262800
2006-03-20,13.992500,14.047500,13.892500,13.997500,10.352328,1864000
2006-03-21,13.997500,14.095000,13.972500,14.087500,10.418893,3239600
2006-03-22,13.847500,14.175000,13.847500,14.155000,10.468814,1162000
2006-03-23,14.092500,14.155000,14.040000,14.040000,10.383764,1402800
2006-03-24,14.040000,14.047500,13.915000,14.010000,10.361574,2119600
2006-03-27,14.010000,14.047500,13.895000,13.955000,10.320901,1879600
2006-03-28,14.017500,14.230000,13.955000,14.067500,10.404101,1547600
2006-03-29,14.125000,14.125000,14.000000,14.017500,10.367124,890800
2006-03-30,14.100000,14.200000,14.035000,14.175000,10.483606,1562400
2006-03-31,14.210000,14.285000,14.170000,14.225000,10.520588,1797600
2006-04-03,14.227500,14.297500,14.157500,14.195000,10.498397,1798400
2006-04-04,14.177500,14.305000,14.102500,14.250000,10.539076,1594800
2006-04-05,14.285000,14.335000,14.185000,14.257500,10.544623,894000
2006-04-06,14.217500,14.400000,14.177500,14.370000,10.627826,1453600
2006-04-07,14.432500,14.492500,14.275000,14.312500,10.585302,1658400
2006-04-10,14.337500,14.362500,14.227500,14.275000,10.557564,1992400
2006-04-11,14.287500,14.317500,14.140000,14.177500,10.485456,1056400
2006-04-12,14.235000,14.235000,14.125000,14.165000,10.476213,666400
2006-04-13,14.065000,14.177500,13.997500,14.015000,10.365274,1242400
2006-04-17,14.255000,15.370000,14.255000,15.250000,11.278663,8348800
2006-04-18,15.250000,15.547500,15.185000,15.447500,11.424732,5108400
2006-04-19,15.480000,15.587500,15.375000,15.510000,11.470953,1790800
2006-04-20,15.510000,15.577500,15.372500,15.517500,11.476501,1760400
2006-04-21,15.577500,15.592500,15.460000,15.540000,11.493142,1493600
2006-04-24,15.542500,15.790000,15.477500,15.750000,11.648457,2591200
