Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,20.000000,20.760000,19.920000,20.709999,8.561644,87000
2006-01-04,20.410000,20.750000,20.410000,20.660000,8.540970,42200
2006-01-05,20.790001,20.799999,20.350000,20.750000,8.578181,39500
2006-01-06,20.950001,20.990000,20.770000,20.930000,8.652590,81400
2006-01-09,20.930000,21.090000,20.790001,20.860001,8.623654,59900
2006-01-10,20.559999,20.639999,20.450001,20.639999,8.532703,68400
2006-01-11,20.520000,20.790001,20.250000,20.580000,8.507903,82300
2006-01-12,20.219999,21.059999,20.219999,21.020000,8.689798,70500
2006-01-13,20.950001,21.299999,20.840000,21.139999,8.739407,75600
2006-01-17,21.400000,21.450001,20.820000,20.920000,8.648459,119000
2006-01-18,20.860001,21.230000,20.680000,21.059999,8.706333,70000
2006-01-19,21.059999,21.700001,21.059999,21.660000,8.954379,59500
2006-01-20,21.850000,22.100000,21.520000,21.650000,8.950246,97900
2006-01-23,21.500000,22.270000,21.500000,22.110001,9.140413,47900
2006-01-24,22.200001,22.690001,22.200001,22.590000,9.338847,59200
2006-01-25,22.540001,22.950001,22.400000,22.580000,9.334711,39800
2006-01-26,22.420000,23.200001,22.350000,23.059999,9.533148,50600
2006-01-27,22.959999,23.469999,22.850000,23.100000,9.549683,67800
2006-01-30,23.299999,23.840000,23.240000,23.520000,9.723314,44100
2006-01-31,23.520000,24.100000,23.459999,23.730000,9.810129,62900
2006-02-01,23.299999,23.719999,22.889999,23.020000,9.516611,84600
2006-02-02,23.270000,23.360001,22.510000,22.799999,9.425661,41500
2006-02-03,22.500000,23.500000,22.500000,23.350000,9.653032,37700
2006-02-06,23.750000,24.330000,23.570000,24.250000,10.025102,158900
2006-02-07,23.400000,24.090000,23.340000,23.980000,9.913480,61000
2006-02-08,23.700001,24.430000,23.700001,24.129999,9.975489,90500
2006-02-09,24.200001,24.400000,24.030001,24.290001,10.041639,53100
2006-02-10,24.660000,24.799999,24.309999,24.700001,10.211132,43100
2006-02-13,24.379999,25.400000,24.270000,24.820000,10.260745,131400
2006-02-14,24.830000,25.100000,24.490000,24.940001,10.310349,113400
2006-02-15,24.420000,25.150000,24.320000,25.030001,10.347559,61500
2006-02-16,24.870001,25.500000,24.770000,25.500000,10.541860,64400
2006-02-17,25.270000,25.290001,24.260000,25.010000,10.339292,127800
2006-02-21,24.879999,24.900000,23.650000,23.700001,9.797727,106000
2006-02-22,23.450001,23.900000,23.420000,23.650000,9.777055,78900
2006-02-23,23.549999,23.700001,22.840000,23.240000,9.607560,79300
2006-02-24,23.040001,23.379999,23.000000,23.260000,9.615828,52600
2006-02-27,23.049999,23.450001,23.049999,23.410000,9.677840,59800
2006-02-28,23.309999,23.570000,23.309999,23.510000,9.719182,47900
2006-03-01,23.760000,24.070000,23.719999,24.059999,9.946553,98100
2006-03-02,24.400000,24.480000,24.250000,24.420000,10.095380,36400
2006-03-03,24.100000,24.400000,23.860001,24.150000,9.983761,30900
2006-03-06,24.150000,24.299999,23.639999,23.920000,9.888676,76600
2006-03-07,23.750000,23.850000,23.170000,23.240000,9.607560,67500
2006-03-08,23.090000,23.809999,22.799999,23.780001,9.830799,76600
2006-03-09,23.780001,23.840000,23.209999,23.600000,9.756387,31300
2006-03-10,23.600000,23.990000,23.580000,23.889999,9.876277,23700
2006-03-13,23.900000,23.940001,23.389999,23.480000,9.706779,66900
2006-03-14,23.490000,24.170000,23.200001,24.010000,9.925881,79800
2006-03-15,24.150000,24.709999,23.920000,24.610001,10.173927,71600
2006-03-16,24.620001,25.070000,24.540001,24.980000,10.326889,179800
2006-03-17,24.840000,24.840000,24.330000,24.379999,10.078842,63700
2006-03-20,24.080000,24.350000,23.770000,24.040001,9.938286,67100
2006-03-21,23.870001,23.990000,23.260000,23.549999,9.735715,56100
2006-03-22,23.600000,24.270000,23.600000,24.219999,10.012696,23900
2006-03-23,24.070000,24.150000,23.150000,23.590000,9.752251,76400
2006-03-24,23.280001,23.639999,22.980000,23.000000,9.508344,70300
2006-03-27,23.080000,24.270000,23.030001,24.160000,9.987895,198400
2006-03-28,24.450001,25.129999,24.049999,24.379999,10.078842,347900
2006-03-29,24.450001,24.450001,23.770000,24.080000,9.954821,146000
2006-03-30,24.200001,24.889999,23.160000,24.889999,10.289677,310500
2006-03-31,25.000000,25.000000,24.559999,24.700001,10.211132,199400
2006-04-03,24.870001,25.219999,24.719999,25.030001,10.347559,138100
2006-04-04,25.250000,25.290001,24.809999,25.139999,10.393029,95700
2006-04-05,25.049999,25.049999,24.510000,24.650000,10.190463,116300
2006-04-06,24.700001,24.959999,24.160000,24.440001,10.103645,82700
2006-04-07,24.450001,24.650000,24.010000,24.299999,10.045772,90800
2006-04-10,24.280001,24.299999,24.070000,24.120001,9.971358,70500
2006-04-11,24.370001,24.500000,24.110001,24.240000,10.020965,82700
2006-04-12,24.280001,24.730000,24.270000,24.680000,10.202863,69100
2006-04-13,24.200001,24.490000,23.950001,24.020000,9.930017,70300
2006-04-17,24.350000,24.469999,24.110001,24.320000,10.054042,58600
2006-04-18,24.320000,24.850000,24.320000,24.670000,10.198730,134400
2006-04-19,24.770000,24.950001,24.600000,24.650000,10.190463,72300
2006-04-20,24.500000,24.670000,24.120001,24.330000,10.058173,63600
2006-04-21,24.370001,25.000000,24.370001,24.719999,10.219398,78200
2006-04-24,24.309999,24.440001,24.150000,24.440001,10.103645,60000
2006-04-25,24.500000,24.620001,24.200001,24.320000,10.054042,64300
2006-04-26,24.100000,25.000000,24.100000,24.860001,10.277280,110400
2006-04-27,24.860001,24.990000,24.549999,24.990000,10.331017,59900
2006-04-28,25.030001,25.030001,24.160000,24.500000,10.128450,91100
2006-05-01,24.250000,24.680000,24.250000,24.410000,10.091246,41500
2006-05-02,24.250000,24.379999,24.150000,24.350000,10.066441,41800
2006-05-03,24.170000,24.450001,24.020000,24.379999,10.078842,35500
2006-05-04,24.290001,24.750000,24.260000,24.700001,10.211132,58200
2006-05-05,24.450001,24.709999,24.350000,24.480000,10.120185,47300
2006-05-08,24.299999,24.510000,24.209999,24.360001,10.070576,95500
2006-05-09,24.120001,24.780001,24.120001,24.500000,10.128450,92600
2006-05-10,24.150000,24.580000,24.150000,24.459999,10.111918,58300
2006-05-11,24.000000,24.059999,23.629999,24.049999,9.942421,120100
2006-05-12,23.500000,23.500000,21.500000,22.450001,9.280972,611700
