Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,10.248889,10.370370,10.133333,10.328889,9.515441,760900
2006-01-04,10.337778,10.355556,10.290370,10.320000,9.507251,436900
2006-01-05,10.322963,10.355556,10.278519,10.328889,9.515441,517900
2006-01-06,10.355556,10.391111,10.290370,10.370370,9.553656,688000
2006-01-09,10.388148,10.435555,10.361482,10.414815,9.594601,736300
2006-01-10,10.400000,10.447408,10.379259,10.447408,9.624625,400200
2006-01-11,10.447408,10.462222,10.287408,10.367408,9.550928,382000
2006-01-12,10.405926,10.456296,10.364445,10.394074,9.575494,973900
2006-01-13,10.394074,10.423704,10.352592,10.379259,9.561846,444300
2006-01-17,10.305185,10.370370,10.299259,10.340741,9.526359,613800
2006-01-18,10.302222,10.367408,10.245926,10.278519,9.469036,706600
2006-01-19,10.287408,10.287408,10.189630,10.222222,9.417174,1004500
2006-01-20,10.281482,10.293333,10.231112,10.251852,9.444471,776400
2006-01-23,10.234074,10.266666,10.103703,10.171852,9.370770,732600
2006-01-24,10.198519,10.290370,10.189630,10.284445,9.474495,743800
2006-01-25,10.290370,10.346666,10.245926,10.296296,9.485417,481900
2006-01-26,10.328889,10.400000,10.266666,10.394074,9.575494,1039500
2006-01-27,10.370370,10.459259,10.367408,10.414815,9.594601,474000
2006-01-30,10.400000,10.414815,10.314075,10.349629,9.534548,615700
2006-01-31,10.317037,10.373333,10.281482,10.352592,9.537275,1199700
2006-02-01,10.320000,10.367408,10.290370,10.311111,9.499067,783900
2006-02-02,10.299259,10.343703,10.192593,10.192593,9.389879,905400
2006-02-03,10.162963,10.231112,10.162963,10.165926,9.365315,1038100
2006-02-06,10.142222,10.281482,10.142222,10.228148,9.422634,999900
2006-02-07,10.195556,10.290370,10.074074,10.074074,9.280695,1438300
2006-02-08,10.082963,10.305185,10.044444,10.287408,9.477229,1420200
2006-02-09,10.296296,10.435555,10.296296,10.385185,9.567301,1341400
2006-02-10,10.400000,10.610371,10.349629,10.545185,9.714704,2442100
2006-02-13,10.554074,10.577778,10.482963,10.557037,9.725621,1664500
2006-02-14,10.370370,10.373333,9.997037,10.299259,9.488143,5448600
2006-02-15,10.447408,10.571852,10.423704,10.533334,9.703784,2608800
2006-02-16,10.548148,10.740741,10.542222,10.737778,9.892129,3248200
2006-02-17,10.610371,10.900741,10.610371,10.897778,10.039530,1944000
2006-02-21,10.897778,10.930370,10.764444,10.785185,9.935803,1999900
2006-02-22,10.814815,10.977777,10.752593,10.951111,10.088663,1376200
2006-02-23,10.951111,10.989630,10.936296,10.939260,10.077744,3370200
2006-02-24,10.903704,10.992593,10.814815,10.983704,10.118689,1485100
2006-02-27,10.974814,11.007407,10.960000,10.980741,10.115960,654000
2006-02-28,10.962963,10.962963,10.788148,10.856297,10.001312,697900
2006-03-01,10.859260,10.888889,10.805926,10.859260,10.004044,1059700
2006-03-02,10.853333,10.891851,10.800000,10.891851,10.034067,841000
2006-03-03,10.862223,10.894814,10.817778,10.844444,9.990395,965200
2006-03-06,10.562963,11.031111,10.562963,10.980741,10.115960,2122200
2006-03-07,10.933333,11.037037,10.874074,10.986667,10.121417,1069200
2006-03-08,10.962963,11.111111,10.945186,11.081482,10.208764,1957600
2006-03-09,11.084444,11.140740,11.057777,11.120000,10.244248,3903400
2006-03-10,11.117037,11.253333,11.051852,11.202963,10.320677,1555300
2006-03-13,11.232593,11.238519,11.125926,11.188148,10.307031,1925700
2006-03-14,11.200000,11.232593,11.081482,11.197037,10.315218,853800
2006-03-15,11.194074,11.585185,11.179259,11.570371,10.659152,8837700
2006-03-16,11.570371,11.786667,11.570371,11.653334,10.735579,2567700
2006-03-17,11.671111,11.671111,11.511111,11.573334,10.661884,4168000
2006-03-20,11.576296,11.576296,11.496296,11.520000,10.612750,1378500
2006-03-21,11.517037,11.540741,11.422222,11.422222,10.522671,1589500
2006-03-22,11.422222,11.466666,11.386666,11.457778,10.555426,2999700
2006-03-23,11.457778,11.611852,11.401482,11.531852,10.623665,1422900
2006-03-24,11.531852,11.576296,11.448889,11.567408,10.656423,596800
2006-03-27,11.567408,11.600000,11.531852,11.552592,10.642772,1037400
2006-03-28,11.570371,11.724444,11.543704,11.620741,10.705557,1232100
2006-03-29,11.626667,11.795555,11.626667,11.712592,10.790174,1857100
2006-03-30,11.703704,11.762963,11.641481,11.700741,10.779253,1045000
2006-03-31,11.703704,11.851851,11.700741,11.795555,10.866601,1100400
2006-04-03,11.795555,11.851851,11.727407,11.819260,10.888441,894300
2006-04-04,11.798518,11.958519,11.718518,11.958519,11.016732,1731600
2006-04-05,11.970370,12.041481,11.902223,11.964444,11.022189,742000
2006-04-06,11.964444,11.985186,11.819260,11.908148,10.970325,3835500
2006-04-07,11.943704,11.970370,11.685925,11.780741,10.852956,851800
2006-04-10,11.783704,11.819260,11.620741,11.739260,10.814737,1150200
2006-04-11,11.733334,11.777778,11.511111,11.579259,10.667337,872700
2006-04-12,11.591111,11.659259,11.528889,11.614815,10.700096,873000
2006-04-13,11.600000,11.629630,11.493333,11.525926,10.618205,1028700
2006-04-17,11.543704,11.647408,11.419259,11.466666,10.563614,824400
2006-04-18,11.514074,11.632592,11.514074,11.623704,10.708284,942300
2006-04-19,11.623704,11.760000,11.605926,11.688889,10.768335,989100
2006-04-20,11.674074,11.748148,11.591111,11.688889,10.768335,880300
2006-04-21,11.762963,11.777778,11.611852,11.662222,10.743770,974700
2006-04-24,11.629630,11.736297,11.558518,11.715555,10.792903,1805500
2006-04-25,11.641481,11.659259,11.496296,11.514074,10.607287,2053900
2006-04-26,11.440000,11.531852,11.125926,11.434074,10.533589,2773500
2006-04-27,11.360000,11.573334,11.271111,11.484445,10.579990,1755900
2006-04-28,11.484445,11.493333,11.291852,11.407408,10.509022,2371900
2006-05-01,11.451852,11.487408,11.386666,11.475555,10.571801,2012800
2006-05-02,11.466666,11.502222,11.407408,11.466666,10.563614,1079500
2006-05-03,11.437037,11.440000,11.185185,11.404445,10.506290,1561900
2006-05-04,11.404445,11.597037,11.362963,11.585185,10.672799,1059000
2006-05-05,11.659259,11.807407,11.659259,11.754074,10.828386,1507200
2006-05-08,11.757037,11.783704,11.668148,11.780741,10.852956,1432500
2006-05-09,11.780741,11.884444,11.757037,11.878518,10.943028,1483200
2006-05-10,11.851851,11.863704,11.798518,11.863704,10.929381,1430500
2006-05-11,11.848889,11.848889,11.644444,11.771852,10.844765,1245300
2006-05-12,11.757037,11.760000,11.608889,11.671111,10.751956,1449900
2006-05-15,11.611852,11.851851,11.442963,11.851851,10.918466,2289600
2006-05-16,11.851851,11.869630,11.754074,11.837037,10.904815,2020500
2006-05-17,11.762963,11.851851,11.733334,11.837037,10.904815,1740700
2006-05-18,11.822222,11.837037,11.677037,11.694815,10.773796,2087200
2006-05-19,11.697778,11.703704,11.517037,11.537778,10.629126,2222100
2006-05-22,11.540741,11.608889,11.386666,11.555555,10.645502,2557500
2006-05-23,11.623704,11.644444,11.374815,11.404445,10.506290,916200
2006-05-24,11.374815,11.377778,10.915556,11.241482,10.356162,2929500
2006-05-25,11.300741,11.339259,11.066667,11.211852,10.328870,1719100
2006-05-26,11.253333,11.499259,11.235556,11.496296,10.590909,1410000
2006-05-30,11.466666,11.487408,11.297778,11.297778,10.408026,990100
2006-05-31,11.342222,11.451852,11.229630,11.392592,10.495373,897000
2006-06-01,11.371852,11.487408,11.342222,11.469629,10.566345,857800
2006-06-02,11.475555,11.558518,11.348148,11.502222,10.596370,1040400
2006-06-05,11.472592,11.490371,11.229630,11.288889,10.399838,1012500
2006-06-06,11.297778,11.362963,11.170370,11.336296,10.443512,1368100
2006-06-07,11.342222,11.422222,11.238519,11.315556,10.424403,1600600
