Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.280999,3.345227,3.254237,3.323818,2.871899,1038000
2006-01-04,3.345227,3.412132,3.326494,3.396075,2.934333,1312800
2006-01-05,3.412132,3.412132,3.388047,3.412132,2.948207,982600
2006-01-06,3.438894,3.465656,3.388047,3.438894,2.971330,1424200
2006-01-09,3.412132,3.476360,3.371989,3.398751,2.936645,1472800
2006-01-10,3.347904,3.358608,3.256913,3.264942,2.821029,2024000
2006-01-11,3.198037,3.243533,3.184657,3.208742,2.772470,2061600
2006-01-12,3.211418,3.294380,3.198037,3.198037,2.763221,1712800
2006-01-13,3.224799,3.270294,3.214095,3.262266,2.818716,783400
2006-01-17,3.278323,3.278323,3.195361,3.227475,2.788656,1273000
2006-01-18,3.278323,3.503122,3.264942,3.438894,2.971330,3162200
2006-01-19,3.626227,3.733274,3.599465,3.690455,3.188687,4224000
2006-01-20,3.612846,3.698483,3.532560,3.564674,3.080008,2688000
2006-01-23,3.604817,3.685103,3.580731,3.599465,3.110069,1386800
2006-01-24,3.644960,3.674398,3.628903,3.639607,3.144753,1122200
2006-01-25,3.666369,3.738626,3.548617,3.719893,3.214123,1620800
2006-01-26,3.773417,3.786798,3.695807,3.786798,3.271931,1134600
2006-01-27,3.776093,3.853702,3.754683,3.818912,3.299679,1872600
2006-01-30,4.006245,4.145406,3.925959,3.925959,3.392171,4602200
2006-01-31,4.067797,4.067797,3.960749,3.974130,3.433793,1830000
2006-02-01,3.971454,3.971454,3.915254,3.923283,3.389859,1484200
2006-02-02,4.089206,4.089206,3.933988,3.936664,3.401421,2072600
2006-02-03,3.883140,3.960749,3.773417,3.818912,3.299679,2564800
2006-02-06,3.818912,3.883140,3.792150,3.834969,3.313553,1412400
2006-02-07,3.818912,3.875112,3.752007,3.786798,3.271931,1251200
2006-02-08,3.749331,3.829616,3.682426,3.786798,3.271931,1450400
2006-02-09,3.842997,3.947368,3.826940,3.837645,3.315865,2012000
2006-02-10,3.840321,3.880464,3.752007,3.773417,3.260369,922000
2006-02-13,3.773417,3.829616,3.719893,3.727921,3.221060,1431600
2006-02-14,3.719893,3.735950,3.543265,3.693131,3.191000,2232000
2006-02-15,3.741302,3.743979,3.698483,3.738626,3.230310,991600
2006-02-16,3.743979,3.818912,3.727921,3.733274,3.225685,1342800
2006-02-17,3.773417,3.805531,3.719893,3.743979,3.234933,1156400
2006-02-21,3.746655,3.789474,3.658341,3.693131,3.191000,1550200
2006-02-22,3.519179,3.741302,3.508475,3.695807,3.193312,1820400
2006-02-23,3.768064,3.778769,3.671722,3.719893,3.214123,1254600
2006-02-24,3.733274,3.757360,3.701160,3.701160,3.197937,758000
2006-02-27,3.743979,3.821588,3.727921,3.813559,3.295054,1984000
2006-02-28,3.800179,3.813559,3.717217,3.717217,3.211811,1262400
2006-03-01,3.717217,3.802855,3.717217,3.778769,3.264994,1678000
2006-03-02,3.813559,3.877788,3.786798,3.845674,3.322802,1178800
2006-03-03,3.856378,3.907226,3.816236,3.885816,3.357487,1965000
2006-03-06,3.944692,3.974130,3.746655,3.768064,3.255744,2184800
2006-03-07,3.746655,3.778769,3.666369,3.693131,3.191000,1854200
2006-03-08,3.666369,3.682426,3.545941,3.661017,3.163252,1782200
2006-03-09,3.682426,3.768064,3.661017,3.679750,3.179438,787000
2006-03-10,3.709188,3.752007,3.709188,3.735950,3.227996,729600
2006-03-13,3.773417,3.800179,3.703836,3.719893,3.214123,638400
2006-03-14,3.607493,3.652988,3.575379,3.631579,3.137816,2684600
2006-03-15,3.599465,3.639607,3.559322,3.636931,3.142441,2044200
2006-03-16,3.586084,3.652988,3.559322,3.652988,3.156315,1203400
2006-03-17,3.618198,3.642284,3.540589,3.591436,3.103132,1498600
2006-03-20,3.658341,3.794826,3.655665,3.794826,3.278868,2085600
2006-03-21,3.757360,3.784121,3.706512,3.741302,3.232621,1039000
2006-03-22,3.711864,3.773417,3.674398,3.760036,3.248807,903400
2006-03-23,3.754683,3.800179,3.711864,3.717217,3.211811,610800
2006-03-24,3.746655,3.746655,3.706512,3.706512,3.202562,579000
2006-03-27,3.679750,3.727921,3.666369,3.709188,3.204874,369800
2006-03-28,3.794826,3.851026,3.757360,3.760036,3.248807,1901400
2006-03-29,3.805531,3.888492,3.792150,3.888492,3.359799,1535800
2006-03-30,3.968778,4.014273,3.933988,3.995540,3.452292,1981400
2006-03-31,3.995540,4.014273,3.909902,3.979483,3.438418,1325600
2006-04-03,3.979483,4.014273,3.923283,4.014273,3.468478,1418200
2006-04-04,4.014273,4.041035,3.955397,4.030330,3.482352,1107400
2006-04-05,4.051740,4.051740,3.936664,4.014273,3.468478,1014000
2006-04-06,3.987511,4.041035,3.942016,3.942016,3.406045,799400
2006-04-07,3.923283,3.955397,3.869759,3.893845,3.364424,1158600
2006-04-10,3.893845,3.947368,3.864407,3.880464,3.352862,634400
2006-04-11,3.877788,3.939340,3.754683,3.778769,3.264994,1261600
2006-04-12,3.677074,3.746655,3.559322,3.666369,3.167877,3567200
2006-04-13,3.615522,3.679750,3.567351,3.669045,3.170189,1967200
2006-04-17,3.746655,3.944692,3.743979,3.920607,3.387547,1922600
2006-04-18,4.033006,4.094558,4.011597,4.086530,3.530910,2166800
2006-04-19,4.145406,4.148082,3.824264,3.853702,3.329738,3753200
2006-04-20,3.853702,3.966102,3.832293,3.907226,3.375985,1826600
2006-04-21,3.987511,3.987511,3.840321,3.875112,3.348238,2019000
2006-04-24,3.851026,3.880464,3.786798,3.856378,3.332051,943800
2006-04-25,3.773417,3.851026,3.773417,3.789474,3.274244,1146600
2006-04-26,3.853702,3.880464,3.816236,3.826940,3.306615,708400
2006-04-27,3.786798,3.840321,3.746655,3.746655,3.237246,989800
2006-04-28,3.701160,3.853702,3.695807,3.824264,3.304303,1122000
2006-05-01,3.826940,3.859054,3.762712,3.776093,3.262682,621200
2006-05-02,3.776093,3.848350,3.738626,3.746655,3.237246,1692800
2006-05-03,3.746655,3.792150,3.698483,3.711864,3.207186,1020200
2006-05-04,3.746655,3.933988,3.719893,3.867083,3.341300,1755400
2006-05-05,3.920607,3.947368,3.883140,3.933988,3.399108,737800
2006-05-08,3.933988,3.960749,3.725245,3.725245,3.218748,1904400
2006-05-09,3.749331,3.821588,3.743979,3.770741,3.258057,909000
2006-05-10,3.800179,3.837645,3.749331,3.765388,3.253433,441200
2006-05-11,3.741302,3.773417,3.687779,3.690455,3.188687,1852400
2006-05-12,3.682426,3.687779,3.532560,3.636931,3.142441,1870400
2006-05-15,3.586084,3.701160,3.548617,3.674398,3.174813,2583400
2006-05-16,3.644960,3.677074,3.591436,3.626227,3.133192,575000
2006-05-17,3.652988,3.663693,3.508475,3.551293,3.068447,1611000
2006-05-18,3.505798,3.505798,3.305085,3.398751,2.936645,2168200
2006-05-19,3.380018,3.460303,3.264942,3.433542,2.966705,2086400
2006-05-22,3.280999,3.329170,3.104371,3.149866,2.721599,3909000
2006-05-23,3.264942,3.350580,3.176628,3.176628,2.744723,2071000
2006-05-24,3.149866,3.181980,3.050848,3.104371,2.682290,1820000
2006-05-25,3.184657,3.337199,3.160571,3.267618,2.823342,2089000
2006-05-26,3.294380,3.342551,3.238180,3.286351,2.839527,1328600
2006-05-30,3.305085,3.339875,3.198037,3.211418,2.774782,1335200
2006-05-31,3.157895,3.259590,3.141838,3.208742,2.772470,1359800
2006-06-01,3.181980,3.238180,3.171276,3.187333,2.753971,976200
2006-06-02,3.318466,3.331846,3.286351,3.302408,2.853401,2088400
2006-06-05,3.302408,3.302408,3.198037,3.200714,2.765533,1220600
2006-06-06,3.179304,3.211418,3.104371,3.131133,2.705413,1370800
2006-06-07,3.077609,3.144514,3.029438,3.037467,2.624481,1879800
2006-06-08,2.949152,2.994648,2.836753,2.965210,2.562049,2293600
2006-06-09,3.090990,3.141838,2.957181,2.965210,2.562049,1570000
2006-06-12,2.935772,2.965210,2.876896,2.879572,2.488055,1261000
2006-06-13,2.809991,2.836753,2.727029,2.769848,2.393250,1600600
