Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,18.994160,19.556648,18.953400,19.483280,12.842916,5929000
2006-01-04,19.450672,19.711536,19.230568,19.605560,12.923519,4872000
2006-01-05,19.605560,19.630016,19.149048,19.401760,12.789178,5100500
2006-01-06,19.483280,19.638168,19.401760,19.475128,12.837543,3366700
2006-01-09,19.466976,19.801208,19.369152,19.793056,13.047112,5170000
2006-01-10,19.605560,19.988705,19.597408,19.964249,13.159960,3713400
2006-01-11,19.899033,19.947945,19.556648,19.850121,13.084729,4276700
2006-01-12,19.890881,20.159897,19.735992,19.939793,13.143838,7084500
2006-01-13,19.972401,20.127289,19.890881,20.053921,13.219066,4122400
2006-01-17,20.363695,20.616407,20.216961,20.477823,13.498494,6790100
2006-01-18,20.379999,20.502279,20.037617,20.184353,13.305043,6920200
2006-01-19,20.216961,20.485975,20.037617,20.445215,13.476999,4298600
2006-01-20,20.746840,20.852816,20.314783,20.396303,13.444759,9382200
2006-01-23,20.543039,20.543039,19.947945,19.988705,13.176076,5898700
2006-01-24,19.964249,20.184353,19.809361,19.947945,13.149209,5236200
2006-01-25,20.110985,20.168049,19.157200,19.377304,12.773060,7064700
2006-01-26,19.499584,19.532192,18.464279,19.263176,12.697825,8518700
2006-01-27,19.442520,19.727840,19.303936,19.483280,12.842916,4448400
2006-01-30,19.401760,19.841969,19.385456,19.662624,12.961138,3623700
2006-01-31,19.483280,19.760448,19.303936,19.434368,12.810673,5312900
2006-02-01,19.295784,19.760448,19.246872,19.369152,12.767681,4267200
2006-02-02,19.263176,19.393608,18.635471,18.928944,12.477509,5518500
2006-02-03,18.896336,19.132744,18.684383,18.790359,12.386155,4005100
2006-02-06,18.871880,19.303936,18.871880,19.100136,12.590354,3301800
2006-02-07,18.871880,18.888184,18.178961,18.350151,12.095983,6448400
2006-02-08,18.056681,18.358303,17.852880,18.301241,12.063740,5546400
2006-02-09,18.325697,18.602863,17.975161,18.040377,11.891784,5250800
2006-02-10,18.097441,18.276785,17.706144,17.852880,11.768193,5450000
2006-02-13,17.934401,18.178961,17.795816,17.901793,11.800437,3779400
2006-02-14,17.689840,17.812120,17.274088,17.486040,11.526382,7259300
2006-02-15,17.567560,18.024073,17.551256,17.738752,11.692964,5077100
2006-02-16,17.738752,18.252329,17.738752,18.056681,11.902534,4725000
2006-02-17,18.056681,18.382759,18.015921,18.138201,11.956273,6024500
2006-02-21,18.545799,18.749599,18.350151,18.496887,12.192705,4423900
2006-02-22,18.423519,18.472431,17.934401,17.958857,11.838053,4931600
2006-02-23,17.771360,18.048529,17.477888,17.803968,11.735954,8676700
2006-02-24,18.015921,18.341999,18.015921,18.227873,12.015379,4247500
2006-02-27,18.236025,18.341999,17.901793,18.040377,11.891784,4234600
2006-02-28,17.486040,17.852880,16.956160,17.583864,11.590865,13526200
2006-03-01,17.983313,18.203417,17.787664,17.812120,11.741323,7355100
2006-03-02,18.056681,18.105593,17.730600,17.869184,11.778941,5649100
2006-03-03,17.877337,17.877337,17.649080,17.665384,11.644605,5038700
2006-03-06,17.363760,17.371912,16.320305,16.532255,10.897669,14132800
2006-03-07,16.540407,16.548559,15.774120,15.888248,10.473157,14823900
2006-03-08,15.977920,16.483343,15.896400,16.352913,10.821091,13107700
2006-03-09,16.320305,16.573015,16.124657,16.157265,10.691626,5833700
2006-03-10,16.198025,16.589319,16.100201,16.271393,10.767148,6099200
2006-03-13,16.352913,16.654535,16.344761,16.589319,10.977525,4702000
2006-03-14,16.589319,16.784967,16.458887,16.744207,11.080025,4272200
2006-03-15,16.646383,16.752359,16.458887,16.646383,11.015291,5559600
2006-03-16,16.654535,17.168112,16.548559,17.086592,11.306581,7327400
2006-03-17,17.094744,17.151808,16.858335,17.029528,11.268823,7658800
2006-03-20,17.029528,17.241480,16.662687,16.817575,11.128570,6837900
2006-03-21,16.670839,16.899096,16.369217,16.393673,10.848062,5580100
2006-03-22,16.426279,16.874640,16.377369,16.621927,10.999106,4157600
2006-03-23,16.711599,17.111048,16.646383,16.890944,11.177118,6125000
2006-03-24,16.915400,17.217024,16.752359,16.964312,11.225668,6349300
2006-03-27,16.866488,17.013224,16.719751,16.931704,11.204090,3877800
2006-03-28,16.972464,17.192568,16.939856,17.078440,11.301189,5403700
2006-03-29,17.102896,17.184416,16.964312,17.102896,11.317371,5389700
2006-03-30,16.988768,17.526800,16.988768,17.469736,11.560121,10493200
2006-03-31,17.461584,17.526800,17.323000,17.437128,11.538546,5916200
2006-04-03,17.526800,17.730600,17.298544,17.437128,11.538546,4855700
2006-04-04,17.355608,17.534952,17.282240,17.404520,11.516961,5771000
2006-04-05,17.543104,17.934401,17.534952,17.909945,11.851417,7126400
2006-04-06,17.958857,18.341999,17.926249,18.317545,12.121134,8670500
2006-04-07,18.333849,18.341999,17.755056,17.909945,11.851417,9372400
2006-04-10,18.024073,18.203417,17.934401,18.097441,11.975484,4412600
2006-04-11,18.097441,18.284937,17.624624,17.852880,11.813654,4121500
2006-04-12,17.852880,17.991465,17.616472,17.869184,11.824442,3787500
2006-04-13,17.657232,17.885489,17.551256,17.795816,11.775891,2713100
2006-04-17,17.893641,18.138201,17.771360,18.130049,11.997060,3420000
2006-04-18,18.301241,18.798512,18.236025,18.765903,12.417826,6102100
2006-04-19,18.798512,18.994160,18.439823,18.945248,12.536501,5143200
2006-04-20,18.912640,19.026768,18.382759,18.643623,12.336905,2866400
2006-04-21,18.814816,18.822968,18.358303,18.537647,12.266784,5179500
2006-04-24,18.570255,18.643623,18.081137,18.276785,12.094164,4889300
2006-04-25,18.309393,18.407215,18.056681,18.146353,12.007851,6722800
2006-04-26,18.260481,18.594711,17.934401,18.081137,11.964700,4365000
2006-04-27,17.934401,18.260481,17.518648,18.064833,11.953907,4989800
2006-04-28,18.138201,18.203417,17.812120,17.877337,11.829838,4208700
2006-05-01,17.958857,18.138201,17.909945,17.999617,11.910757,5477300
2006-05-02,18.146353,18.431671,18.146353,18.358303,12.148102,7180600
2006-05-03,18.358303,18.668079,18.219721,18.333849,12.131919,5102300
2006-05-04,17.934401,18.374607,17.486040,17.958857,11.883783,9073900
2006-05-05,18.325697,18.562103,18.195265,18.488735,12.234416,6915600
2006-05-08,18.415367,18.831120,18.203417,18.814816,12.450191,5271200
2006-05-09,18.847424,19.034920,18.627319,18.969704,12.552678,5232900
2006-05-10,18.822968,19.132744,18.822968,19.010464,12.579654,2963300
2006-05-11,19.132744,19.132744,18.529495,18.651775,12.342303,3955900
2006-05-12,18.505039,18.545799,18.007769,18.032225,11.932330,6090100
2006-05-15,17.844728,17.958857,17.404520,17.632776,11.668007,7154000
2006-05-16,17.730600,17.869184,17.363760,17.420824,11.527751,9729100
2006-05-17,17.323000,17.502344,16.956160,17.037680,11.274218,5470800
2006-05-18,17.021376,17.526800,16.784967,16.866488,11.160935,6256600
2006-05-19,16.874640,17.111048,16.564863,16.980616,11.236459,6045600
2006-05-22,16.915400,16.948008,16.385521,16.776815,11.101599,6773600
2006-05-23,16.964312,17.282240,16.621927,16.662687,11.026076,5378400
2006-05-24,16.670839,16.980616,16.312153,16.630079,11.004501,6313500
2006-05-25,16.711599,17.339304,16.540407,17.192568,11.376710,5884300
2006-05-26,17.119200,17.404520,16.996920,17.396368,11.511572,3496800
2006-05-30,18.505039,18.749599,17.893641,17.967009,11.889175,10261400
2006-05-31,18.162657,18.439823,18.081137,18.423519,12.191259,5570400
2006-06-01,18.423519,18.692535,18.178961,18.651775,12.342303,5713900
2006-06-02,18.708839,18.969704,18.586559,18.961552,12.547287,8944300
2006-06-05,18.994160,19.026768,18.374607,18.407215,12.180468,4796600
2006-06-06,18.276785,18.594711,17.869184,18.138201,12.002459,7548300
2006-06-07,17.934401,18.105593,17.543104,17.608320,11.699142,6859000
2006-06-08,17.526800,17.526800,16.654535,17.339304,11.520410,12598100
2006-06-09,17.298544,17.600168,17.298544,17.526800,11.644983,4849200
2006-06-12,17.461584,17.600168,17.086592,17.135504,11.385001,8031100
2006-06-13,17.013224,17.053984,16.540407,16.573015,11.011280,6704300
2006-06-14,16.540407,16.980616,16.352913,16.956160,11.265847,4415700
2006-06-15,17.119200,17.730600,17.078440,17.673536,11.742479,5694000
2006-06-16,17.673536,17.779512,17.339304,17.681688,11.747891,4099700
2006-06-19,17.649080,17.665384,16.882792,17.013224,11.303758,6543600
2006-06-20,17.013224,17.225176,16.809423,16.882792,11.217097,4113800
2006-06-21,17.062136,17.486040,16.972464,17.184416,11.417500,4022500
2006-06-22,17.111048,17.151808,16.752359,16.833879,11.184603,4664600
2006-06-23,18.464279,18.464279,17.730600,18.138201,12.051209,13822100
2006-06-26,18.121897,18.178961,17.852880,18.138201,12.051209,6563600
2006-06-27,18.178961,18.668079,18.146353,18.602863,12.359932,7912900
2006-06-28,18.594711,18.847424,18.480583,18.790359,12.484507,4663200
2006-06-29,18.871880,19.230568,18.700687,19.043072,12.652411,7106800
2006-06-30,19.116440,19.197960,18.831120,19.043072,12.652411,4965700
2006-07-03,18.594711,19.352848,18.594711,19.344696,12.852813,3253500
2006-07-05,19.091984,19.165352,18.741447,19.067528,12.668656,4603100
2006-07-06,19.067528,19.149048,18.684383,18.814816,12.500754,5530100
2006-07-07,18.871880,18.953400,18.431671,18.635471,12.381598,5226900
2006-07-10,18.578407,18.765903,18.480583,18.627319,12.376181,2717600
2006-07-11,18.684383,18.904488,18.521343,18.831120,12.511587,3827100
2006-07-12,18.871880,18.888184,18.594711,18.765903,12.468256,3450800
2006-07-13,18.749599,18.831120,18.407215,18.578407,12.343681,5946200
2006-07-14,18.668079,18.912640,18.464279,18.880032,12.544082,4285800
2006-07-17,18.757751,18.839272,18.260481,18.447975,12.257021,3983300
2006-07-18,18.586559,18.692535,18.415367,18.635471,12.381598,4983100
2006-07-19,18.749599,18.986008,18.537647,18.896336,12.554917,4202500
2006-07-20,18.708839,18.912640,18.472431,18.488735,12.284109,3162400
2006-07-21,18.708839,18.708839,18.325697,18.358303,12.197442,5366700
2006-07-24,18.309393,19.051224,18.293089,18.888184,12.549501,4061200
2006-07-25,18.945248,19.458824,18.928944,19.271328,12.804070,4021300
2006-07-26,19.271328,19.784904,19.116440,19.646320,13.053216,4832800
2006-07-27,19.776752,19.890881,19.344696,19.499584,12.955725,4621500
2006-07-28,19.654472,19.662624,19.271328,19.442520,12.917807,3963500
2006-07-31,19.524040,20.021313,19.499584,19.768600,13.134460,5570400
2006-08-01,19.768600,20.094681,19.719688,19.915337,13.231949,5282500
2006-08-02,20.029465,20.274023,19.556648,19.825665,13.172374,5163800
2006-08-03,20.249569,20.314783,19.947945,20.127289,13.372774,5671900
2006-08-04,20.331087,20.339239,19.727840,19.931641,13.242787,4238900
2006-08-07,20.331087,20.396303,20.062073,20.078377,13.340280,5308500
2006-08-08,19.890881,20.241417,19.752296,19.907185,13.226537,4111800
2006-08-09,19.972401,20.298479,19.784904,19.923489,13.237373,4444900
2006-08-10,19.817513,19.939793,19.572952,19.768600,13.134460,3288200
2006-08-11,19.727840,20.005009,19.670776,19.850121,13.188624,3111500
2006-08-14,19.768600,20.102833,19.670776,20.053921,13.324028,6089700
2006-08-15,20.070225,20.298479,19.980553,20.241417,13.448606,4754200
2006-08-16,20.355543,20.706079,20.265871,20.428911,13.573174,5544700
2006-08-17,20.249569,20.420759,20.021313,20.176201,13.405271,3380800
2006-08-18,20.241417,20.331087,19.947945,20.322935,13.502766,3733400
2006-08-21,20.322935,20.551191,20.274023,20.298479,13.486515,4093100
2006-08-22,20.062073,20.453367,20.062073,20.445215,13.584012,10919400
2006-08-23,20.290327,20.543039,19.988705,20.062073,13.377448,2274400
2006-08-24,20.176201,20.225113,19.939793,20.192505,13.464427,4873700
2006-08-25,20.249569,20.681623,20.200657,20.518583,13.681858,3187000
2006-08-28,20.412607,20.681623,20.233265,20.551191,13.703596,3973800
2006-08-29,20.445215,20.591951,20.298479,20.567495,13.714468,2593300
2006-08-30,20.567495,20.567495,19.784904,20.086529,13.393758,4811500
2006-08-31,20.094681,20.192505,19.980553,20.078377,13.388323,2713500
2006-09-01,20.208809,20.331087,19.988705,20.241417,13.497040,1817200
2006-09-05,20.233265,20.420759,20.062073,20.355543,13.573139,3063600
2006-09-06,20.339239,20.347391,19.752296,19.752296,13.170897,6407700
2006-09-07,19.972401,20.143593,19.678928,19.964249,13.312220,4232400
2006-09-08,19.931641,20.045769,19.458824,19.524040,13.018688,4966100
2006-09-11,19.352848,19.548496,18.880032,19.100136,12.736031,4778700
2006-09-12,18.953400,19.181656,18.855576,19.043072,12.697975,5781000
2006-09-13,19.083832,19.344696,18.961552,19.010464,12.676237,4985400
2006-09-14,19.034920,19.197960,18.341999,18.529495,12.355522,10187300
2006-09-15,18.692535,18.839272,18.325697,18.782207,12.524035,7462300
2006-09-18,18.847424,19.189808,18.684383,19.140896,12.763207,4703700
2006-09-19,19.075680,19.246872,18.651775,18.749599,12.502290,3065800
2006-09-20,18.708839,18.953400,18.341999,18.350151,12.235932,10561500
2006-09-21,18.439823,19.026768,18.439823,18.716991,12.480547,6958100
2006-09-22,18.741447,18.806664,18.341999,18.602863,12.404444,4090100
2006-09-25,18.586559,18.659927,18.203417,18.456127,12.306602,6511100
2006-09-26,18.456127,19.075680,18.341999,19.018616,12.681667,5241200
2006-09-27,19.157200,19.426216,18.928944,19.230568,12.823000,5427800
2006-09-28,19.197960,19.548496,19.165352,19.515888,13.013254,6432000
2006-09-29,19.483280,19.589256,19.230568,19.458824,12.975205,4073900
2006-10-02,19.556648,19.597408,19.287632,19.450672,12.969767,4772000
2006-10-03,19.442520,19.450672,18.749599,18.774055,12.518599,5584600
2006-10-04,18.912640,19.124592,18.529495,18.708839,12.475111,10370400
2006-10-05,19.010464,19.507736,19.010464,19.303936,12.871924,7782500
2006-10-06,19.189808,19.409912,19.010464,19.393608,12.931719,4336300
2006-10-09,19.401760,19.654472,19.165352,19.246872,12.833876,2773500
2006-10-10,19.149048,19.483280,19.051224,19.434368,12.958903,3003100
2006-10-11,19.695232,19.695232,19.206112,19.255024,12.839310,2590400
2006-10-12,19.255024,19.874577,19.181656,19.760448,13.176331,5522000
2006-10-13,19.825665,20.037617,19.678928,19.768600,13.181767,3627200
2006-10-16,19.695232,20.045769,19.630016,20.037617,13.361146,3154600
2006-10-17,20.013161,20.029465,19.687080,19.931641,13.290483,3940700
2006-10-18,19.956097,20.135441,19.524040,19.654472,13.105661,4130200
2006-10-19,19.564800,20.029465,19.515888,19.988705,13.328530,4725300
2006-10-20,20.045769,20.094681,19.687080,20.005009,13.339399,4608100
2006-10-23,19.850121,20.233265,19.687080,19.882729,13.257860,4062500
2006-10-24,19.752296,20.078377,19.744144,20.070225,13.382887,5250700
2006-10-25,20.070225,20.412607,19.801208,20.159897,13.442677,5623700
2006-10-26,20.159897,20.282175,19.776752,20.053921,13.372016,12403200
2006-10-27,20.053921,20.469671,19.956097,19.980553,13.323091,4677500
2006-10-30,19.996857,19.996857,19.646320,19.727840,13.154586,9927800
2006-10-31,19.809361,19.947945,19.336544,19.915337,13.279610,4091000
2006-11-01,20.045769,20.070225,19.540344,19.841969,13.230684,5125900
2006-11-02,19.841969,20.290327,19.687080,19.915337,13.279610,4991700
2006-11-03,20.135441,20.379999,19.956097,20.176201,13.453547,4999600
2006-11-06,20.257721,20.412607,20.102833,20.412607,13.611193,5559600
2006-11-07,20.412607,20.420759,20.200657,20.379999,13.589445,6129500
2006-11-08,20.363695,21.048464,20.200657,20.983248,13.991696,7496900
2006-11-09,21.089224,21.668016,21.040312,21.578344,14.388506,9525600
2006-11-10,21.602800,21.627256,21.252264,21.619104,14.415687,4386800
2006-11-13,21.521280,21.888121,21.382696,21.708776,14.475476,3848100
2006-11-14,21.733232,21.814753,21.456064,21.651712,14.437427,2824200
2006-11-15,21.757689,22.051161,21.651712,21.684320,14.459167,5323400
2006-11-16,21.847361,21.961489,21.464216,21.529432,14.355896,5060900
2006-11-17,21.456064,21.896273,21.374544,21.773993,14.518965,4353000
2006-11-20,21.725080,21.928881,21.594648,21.602800,14.404815,3940900
2006-11-21,21.684320,22.002249,21.602800,21.953337,14.638552,4163100
2006-11-22,21.871817,22.067465,21.480520,21.765841,14.513527,2725800
2006-11-24,21.806601,22.018553,21.684320,21.692472,14.464611,1119900
2006-11-27,21.749537,22.206047,21.651712,21.725080,14.486351,3561200
2006-11-28,21.790297,22.303871,21.782145,22.230503,14.823367,5834000
2006-11-29,22.336479,23.086464,22.254959,22.752232,15.171254,7991900
2006-11-30,22.760384,22.939728,22.466911,22.629951,15.089725,5166800
2006-12-01,22.638103,22.784840,22.434303,22.784840,15.192998,5317700
2006-12-04,22.744080,22.744080,22.540279,22.662560,15.111464,2646800
2006-12-05,22.703320,22.825600,22.564735,22.711472,15.144077,4271000
2006-12-06,22.646255,22.866360,22.581039,22.646255,15.149533,3876800
2006-12-07,22.621799,22.825600,22.426151,22.515823,15.062281,3279900
2006-12-08,22.597343,22.597343,22.271263,22.352783,14.953209,2979100
2006-12-11,22.263111,22.369087,22.116377,22.197895,14.849597,3274200
2006-12-12,22.254959,22.417999,22.100073,22.303871,14.920486,3809000
2006-12-13,22.466911,22.695168,22.360935,22.556583,15.089543,2681500
2006-12-14,22.466911,22.841904,22.458759,22.548431,15.084093,3287600
2006-12-15,22.564735,22.564735,22.124529,22.132681,14.805968,4287200
2006-12-18,22.173441,22.197895,21.578344,21.594648,14.446047,4399100
2006-12-19,21.562040,22.010401,21.317480,21.896273,14.647820,6905200
2006-12-20,21.839209,22.043009,21.643560,21.651712,14.484221,2685200
2006-12-21,21.757689,21.814753,21.260416,21.521280,14.396964,3228200
2006-12-22,21.594648,21.773993,21.366392,21.537584,14.407875,2309100
2006-12-26,21.447912,21.708776,21.235960,21.423456,14.331524,2934300
2006-12-27,21.521280,21.586496,21.325632,21.496824,14.380607,2967000
2006-12-28,21.627256,21.741385,21.504976,21.594648,14.446047,3411300
2006-12-29,21.521280,21.619104,21.235960,21.293024,14.244275,3130600
2007-01-03,21.293024,21.293024,20.706079,20.942488,14.009773,11185500
2007-01-04,21.309328,21.676168,20.608255,20.885424,13.971598,5996800
2007-01-05,20.828360,21.129984,20.738688,20.999552,14.047943,5845500
2007-01-08,20.999552,21.382696,20.975096,21.138136,14.140659,4716700
2007-01-09,21.048464,21.097376,20.551191,20.869120,13.960693,6088300
2007-01-10,20.869120,20.869120,20.518583,20.640863,13.807999,7153500
2007-01-11,20.640863,21.293024,20.543039,20.673471,13.829812,5975000
2007-01-12,20.673471,21.146288,20.640863,21.056616,14.086119,5579800
2007-01-16,21.081072,21.195200,20.820208,20.926184,13.998866,4224600
2007-01-17,20.926184,21.252264,20.828360,21.187048,14.173374,4881500
2007-01-18,21.276720,21.529432,20.909880,20.983248,14.037042,4925600
2007-01-19,21.113680,21.513128,21.089224,21.480520,14.369695,4572800
2007-01-22,21.594648,21.782145,21.496824,21.643560,14.478768,5061300
2007-01-23,21.668016,22.173441,21.668016,22.116377,14.795063,3757900
2007-01-24,22.018553,22.157137,21.619104,22.132681,14.805968,3468400
2007-01-25,22.067465,22.124529,21.635408,21.676168,14.500580,2768400
2007-01-26,21.725080,21.879969,21.537584,21.619104,14.462408,2888800
2007-01-29,21.562040,21.757689,21.358240,21.521280,14.396964,4492300
2007-01-30,21.602800,22.059313,21.562040,21.977793,14.702359,5216500
2007-01-31,21.969641,22.197895,21.692472,22.002249,14.718713,3810400
2007-02-01,22.116377,22.344631,22.018553,22.238655,14.876861,5008500
2007-02-02,22.303871,22.417999,22.083769,22.352783,14.953209,4091000
2007-02-05,21.937033,22.564735,21.847361,22.303871,14.920486,6864800
2007-02-06,22.442455,22.450607,22.059313,22.214199,14.860502,4252300
2007-02-07,22.214199,22.475063,22.181593,22.295719,14.915036,5875800
2007-02-08,22.377239,22.727776,22.206047,22.703320,15.187704,4897900
2007-02-09,22.809296,22.972336,22.556583,22.670712,15.165893,4899200
2007-02-12,22.678864,22.678864,22.328327,22.466911,15.029556,3086300
2007-02-13,22.515823,22.678864,22.426151,22.597343,15.116816,3790700
2007-02-14,22.719624,22.776688,22.393543,22.483215,15.040463,5151900
2007-02-15,22.744080,22.744080,22.140833,22.312023,14.925948,3609100
2007-02-16,22.230503,22.426151,22.165289,22.417999,14.996838,4140700
2007-02-20,22.417999,22.605495,22.295719,22.605495,15.122269,4186400
2007-02-21,22.605495,23.135376,22.426151,23.094616,15.449469,5567400
2007-02-22,23.070160,23.102768,22.507671,22.833752,15.274960,6805500
2007-02-23,22.597343,22.874512,22.499519,22.752232,15.220429,5508800
2007-02-26,22.825600,23.404392,22.817448,23.070160,15.433110,8059900
2007-02-27,22.760384,22.784840,21.627256,21.961489,14.691450,11735100
2007-02-28,21.969641,22.254959,21.570192,21.985945,14.707811,7303800
2007-03-01,21.806601,22.108225,21.227808,21.920729,14.664181,10041700
2007-03-02,21.749537,21.839209,21.317480,21.382696,14.304263,5490100
2007-03-05,21.284872,21.553888,21.113680,21.178896,14.167922,5440100
2007-03-06,21.276720,21.602800,21.260416,21.431608,14.336982,6568200
2007-03-07,21.806601,22.393543,21.513128,22.157137,14.873254,8342400
2007-03-08,22.222351,22.417999,22.165289,22.246807,14.933445,4199300
2007-03-09,22.287567,22.572887,22.116377,22.360935,15.010055,4041900
2007-03-12,22.197895,22.369087,22.100073,22.287567,14.960802,3272600
2007-03-13,22.075617,22.532127,21.668016,21.692472,14.561337,6627200
2007-03-14,21.692472,22.034857,21.521280,22.026705,14.785695,3899500
2007-03-15,21.806601,22.059313,21.725080,21.920729,14.714556,4050200
2007-03-16,22.010401,22.091921,21.610952,21.676168,14.550394,4612600
2007-03-19,21.651712,22.002249,21.651712,22.002249,14.769281,2925600
2007-03-20,22.075617,22.181593,21.871817,22.173441,14.884194,3923000
2007-03-21,22.295719,22.923424,22.116377,22.833752,15.327434,4946500
2007-03-22,23.037552,23.485912,23.004944,23.298416,15.639347,8782800
2007-03-23,23.306568,23.388088,22.833752,22.996792,15.436878,5137700
2007-03-26,23.233200,23.534824,22.898968,23.282112,15.628405,6167900
2007-03-27,23.135376,23.282112,22.947880,23.151680,15.540848,4659100
2007-03-28,23.314720,23.477760,23.151680,23.249504,15.606512,5001500
2007-03-29,23.249504,23.681561,23.225048,23.591888,15.836349,9388600
2007-03-30,23.591888,23.600040,22.947880,23.200592,15.573678,5278300
2007-04-02,23.241352,23.640800,23.135376,23.551128,15.808983,6257300
2007-04-03,23.559280,23.559280,23.184288,23.249504,15.606512,6490300
2007-04-04,23.249504,23.437000,23.078312,23.127224,15.524426,4407300
2007-04-05,23.200592,23.290264,22.907120,23.176136,15.557269,5988400
2007-04-09,23.176136,23.298416,22.972336,23.086464,15.497072,5247300
2007-04-10,23.053856,23.437000,23.053856,23.331024,15.661231,5352100
2007-04-11,23.437000,23.437000,22.964184,22.988640,15.431402,4516100
2007-04-12,23.754929,23.754929,22.915272,23.233200,15.595571,4765200
2007-04-13,22.507671,23.714169,22.507671,23.208744,15.579155,2626800
2007-04-16,23.208744,23.420696,23.037552,23.322872,15.655762,7078100
2007-04-17,23.273960,23.551128,23.249504,23.461456,15.748789,6776800
2007-04-18,23.127224,23.388088,23.127224,23.298416,15.639347,4747100
2007-04-19,23.714169,23.714169,23.021248,23.062008,15.480652,3165900
2007-04-20,23.706017,23.706017,23.192440,23.657104,15.880125,7932700
2007-04-23,23.763081,24.170679,23.640800,24.023945,16.126366,5437500
2007-04-24,24.032097,24.219591,23.999489,24.081009,16.164669,3497600
2007-04-25,23.722321,24.643496,23.722321,24.627192,16.531303,5740000
2007-04-26,24.545671,24.627192,24.268503,24.439695,16.405447,8608600
2007-04-27,24.292959,24.619040,24.129919,24.529367,16.465637,5844000
2007-04-30,24.464151,24.643496,24.040249,24.048401,16.142788,4880600
2007-05-01,23.991337,24.235895,23.681561,23.975033,16.093534,4635400
2007-05-02,24.015793,24.423391,23.811993,24.358175,16.350725,4549600
2007-05-03,24.211439,24.211439,23.673409,23.803841,15.978613,9169200
2007-05-04,23.877209,24.105465,23.697865,23.942425,16.071642,4551800
2007-05-07,23.942425,24.154375,23.763081,24.105465,16.181086,4974300
2007-05-08,24.007641,24.007641,23.494064,23.820145,15.989566,5347100
2007-05-09,23.869057,24.048401,23.363632,23.722321,15.923901,11178400
2007-05-10,23.518520,23.714169,22.972336,23.029400,15.458764,9426300
2007-05-11,23.102768,23.469608,23.070160,23.314720,15.650293,7330900
2007-05-14,23.273960,23.567432,23.216896,23.420696,15.721431,4318200
2007-05-15,23.420696,23.746777,23.265808,23.437000,15.732375,6395100
2007-05-16,23.445152,23.583736,23.021248,23.265808,15.617460,4941400
2007-05-17,23.265808,23.567432,23.037552,23.241352,15.601042,5533600
2007-05-18,23.241352,23.616344,23.241352,23.600040,15.841812,4236100
2007-05-21,24.863600,25.833689,24.464151,25.320112,16.996437,27657200
2007-05-22,25.760321,26.453239,25.230440,25.572824,17.166069,10024100
2007-05-23,25.475000,25.882601,25.475000,25.638041,17.264881,9526800
2007-05-24,25.597281,25.874449,25.034792,25.132616,16.924524,9389300
2007-05-25,25.572824,25.572824,24.985880,25.271200,17.017853,4310300
2007-05-29,25.116312,25.515760,24.945120,25.450544,17.138618,6842000
2007-05-30,25.328264,26.290199,25.157072,26.241287,17.671116,8731100
2007-05-31,26.363567,26.363567,25.849993,25.890753,17.435064,7943900
2007-06-01,26.061943,26.167919,25.792929,26.127159,17.594261,5768600
2007-06-04,26.086399,26.453239,26.013033,26.436935,17.802874,7444100
2007-06-05,26.233135,26.371719,25.890753,26.070095,17.555838,4909200
2007-06-06,26.021185,26.021185,25.426088,25.605433,17.242922,4890900
2007-06-07,25.613585,25.621737,24.415239,24.521215,16.512802,8639100
2007-06-08,24.472303,24.733168,24.138071,24.676104,16.617105,7877400
2007-06-11,24.725016,25.100008,24.545671,24.822840,16.715918,3945100
2007-06-12,24.659800,24.773928,24.113617,24.219591,16.309685,6539400
2007-06-13,24.423391,25.091856,24.350023,25.018488,16.847673,5755500
2007-06-14,25.140768,25.686953,25.091856,25.499456,17.171558,5796800
2007-06-15,26.127159,26.127159,25.646193,25.907057,17.446043,8460300
2007-06-18,25.915209,25.964121,25.654345,25.858145,17.413109,3640900
2007-06-19,25.825537,26.086399,25.686953,26.021185,17.522894,3950600
2007-06-20,25.548368,26.306503,25.279352,25.352720,17.072746,5251200
