Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,43.480000,44.869999,43.419998,44.869999,42.186657,1457600
2006-01-04,44.520000,45.000000,44.049999,44.680000,42.008011,1116800
2006-01-05,44.830002,44.830002,43.180000,43.849998,41.227657,1142300
2006-01-06,44.549999,45.209999,44.299999,45.000000,42.308887,1120100
2006-01-09,45.169998,45.330002,44.770000,45.189999,42.487518,906800
2006-01-10,45.200001,46.180000,45.150002,45.810001,43.070435,986900
2006-01-11,45.820000,46.000000,45.480000,45.700001,42.967010,891900
2006-01-12,45.950001,46.509998,45.700001,45.810001,43.070435,1191200
2006-01-13,45.750000,46.189999,45.450001,46.090000,43.333675,1092800
2006-01-17,46.549999,46.950001,46.490002,46.840000,44.038830,919300
2006-01-18,46.840000,46.840000,45.310001,46.009998,43.258461,1182600
2006-01-19,46.009998,46.869999,45.930000,46.869999,44.067043,1093300
2006-01-20,47.200001,47.799999,46.980000,47.259998,44.433723,990900
2006-01-23,47.500000,47.770000,46.980000,47.310001,44.480736,932000
2006-01-24,47.320000,47.549999,47.000000,47.070000,44.255100,870800
2006-01-25,47.049999,47.169998,45.330002,46.060001,43.305481,1152100
2006-01-26,45.200001,45.990002,43.410000,44.520000,41.857582,2104700
2006-01-27,44.980000,45.500000,44.840000,45.110001,42.412308,1139100
2006-01-30,45.110001,45.720001,45.110001,45.180000,42.478119,1320700
2006-01-31,45.189999,45.939999,44.939999,45.560001,42.835388,942300
2006-02-01,45.570000,45.720001,44.580002,44.650002,41.979813,1294800
2006-02-02,44.700001,45.240002,43.820000,44.369999,41.716534,1009500
2006-02-03,44.369999,45.160000,43.939999,44.650002,41.979813,849500
2006-02-06,44.900002,45.430000,44.750000,45.070000,42.374691,763400
2006-02-07,44.250000,44.349998,42.820000,43.450001,40.851566,1653800
2006-02-08,43.450001,44.410000,42.650002,43.799999,41.180641,1208700
2006-02-09,43.959999,44.270000,42.130001,42.360001,39.826752,996800
2006-02-10,42.430000,42.520000,40.750000,41.419998,38.942966,1358700
2006-02-13,41.500000,41.990002,40.570000,40.889999,38.481827,916300
2006-02-14,40.650002,41.230000,40.020000,41.060001,38.641808,1056100
